move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.17,40,40,40
3,0.0,0.0,0.1,40,40,40
5,0.0326,0.0462,0.18,39,40,39
7,0.0457,0.0457,0.18,38,40,38
9,0.0783,0.0783,0.16,37,40,37
11,0.0783,0.0783,0.22,37,40,37
13,0.0543,0.0543,0.09,35,39,36
15,0.0,0.0136,0.12,34,38,36
17,0.0,0.0272,0.15,34,38,36
19,-0.0109,-0.0109,0.12,33,37,36
21,-0.0109,-0.0109,0.21,33,36,35
23,-0.0109,0.0163,0.03,33,36,35
25,0.0761,0.0761,0.27,33,36,34
27,0.0761,0.0761,0.15,33,36,34
29,0.0761,0.0761,0.12,33,36,34
31,0.0761,0.0761,0.12,33,36,34
33,0.0761,0.0897,0.18,33,36,34
35,0.0761,0.0897,0.18,33,36,34
37,0.1109,0.1109,0.22,32,36,33
39,0.1109,0.1109,0.16,32,36,33
41,0.0543,0.0543,0.27,30,35,32
43,0.0543,0.0815,0.1,30,35,32
45,0.0543,0.0543,0.17,30,35,32
47,0.0543,0.0543,0.2,30,35,32
49,0.0543,0.0543,0.13,30,35,32
51,0.0543,0.0543,0.07,30,35,32
53,0.0543,0.0543,0.1,30,35,32
55,0.0543,0.0543,0.07,30,35,32
57,0.0543,0.0543,0.1,30,35,32
59,0.0543,0.0543,0.1,30,35,32
61,0.0543,0.0543,0.23,30,35,32
63,0.0543,0.0543,0.1,30,35,32
65,0.0543,0.0543,0.27,30,35,32
67,0.0543,0.0543,0.13,30,35,32
69,0.0543,0.0543,0.23,30,35,32
71,0.0543,0.0543,0.07,30,35,32
73,0.0543,0.0543,0.1,30,35,32
75,0.0543,0.0543,0.1,30,35,32
77,0.0543,0.0543,0.1,30,35,32
79,0.0543,0.0543,0.2,30,35,32
81,0.0543,0.0543,0.2,30,35,32
83,0.0543,0.0543,0.3,30,35,32
85,0.0543,0.0543,0.13,30,35,32
87,0.0543,0.0543,0.13,30,35,32
89,0.0543,0.0543,0.1,30,35,32
91,0.0543,0.0543,0.13,30,35,32
93,0.0543,0.0543,0.13,30,35,32
95,0.0543,0.0543,0.17,30,35,32
97,0.0543,0.0679,0.23,30,35,32
99,0.0543,0.0543,0.13,30,35,32
101,0.0543,0.0543,0.13,30,35,32
103,0.0543,0.0543,0.23,30,35,32
105,0.0543,0.0543,0.13,30,35,32
107,0.0543,0.0543,0.13,30,35,32
109,0.0543,0.0543,0.27,30,35,32
111,0.0543,0.0543,0.13,30,35,32
113,0.0543,0.0543,0.1,30,35,32
115,0.0543,0.0543,0.13,30,35,32
117,0.0543,0.0543,0.27,30,35,32
119,0.0543,0.0543,0.17,30,35,32
121,0.0543,0.0543,0.07,30,35,32
123,0.0543,0.0543,0.13,30,35,32
125,0.0543,0.0543,0.13,30,35,32
127,0.0543,0.0543,0.27,30,35,32
129,0.0543,0.0543,0.17,30,35,32
131,0.0565,0.0565,0.07,30,35,32
133,0.0565,0.0565,0.17,30,35,32
135,0.0565,0.0565,0.17,30,35,32
137,0.0565,0.0565,0.13,30,35,32
139,0.0674,0.0674,0.1,29,35,31
141,0.0674,0.0674,0.03,29,35,31
143,0.0674,0.0674,0.07,29,35,31
145,0.0674,0.0674,0.28,29,35,31
147,0.0674,0.0674,0.24,29,35,31
149,0.0674,0.081,0.1,29,35,31
151,0.0674,0.0674,0.21,29,35,31
153,0.0674,0.081,0.1,29,35,31
155,0.0674,0.0674,0.21,29,35,31
157,0.0674,0.0674,0.14,29,35,31
159,0.0674,0.0674,0.14,29,35,31
161,0.0674,0.0674,0.21,29,35,31
163,0.0674,0.0674,0.21,29,35,31
165,0.0674,0.0674,0.07,29,35,31
167,0.1,0.1,0.18,28,35,30
169,0.1,0.1136,0.11,28,35,30
171,0.1109,0.1109,0.19,27,35,29
173,0.1109,0.1109,0.22,27,35,29
175,0.1652,0.1652,0.08,26,35,28
177,0.1652,0.1652,0.23,26,35,28
179,0.1652,0.1652,0.23,26,35,28
181,0.2196,0.2196,0.23,26,35,27
183,0.2196,0.2196,0.19,26,35,27
185,0.2196,0.2196,0.08,26,35,27
187,0.2196,0.2196,0.23,26,35,27
189,0.2196,0.2196,0.15,26,35,27
191,0.2522,0.2522,0.24,25,35,26
193,0.2522,0.2522,0.12,25,35,26
195,0.2522,0.2522,0.12,25,35,26
197,0.2391,0.237,0.42,24,34,26
199,0.2283,0.2283,0.26,23,33,26
201,0.2283,0.2283,0.17,23,33,26
203,0.2283,0.2283,0.04,23,33,26
205,0.2283,0.2283,0.26,23,33,26
207,0.1978,0.1978,0.26,23,32,26
209,0.1957,0.1957,0.17,23,32,26
211,0.1957,0.1957,0.26,23,32,26
213,0.1957,0.2092,0.22,23,32,26
215,0.2826,0.2826,0.26,23,32,25
217,0.2826,0.2826,0.35,23,32,25
219,0.2826,0.2826,0.26,23,32,25
221,0.2826,0.2826,0.13,23,32,25
223,0.2826,0.2826,0.13,23,32,25
225,0.2826,0.2962,0.26,23,32,25
227,0.2826,0.2826,0.17,23,32,25
229,0.3152,0.3288,0.27,22,32,24
231,0.3152,0.3152,0.27,22,32,24
233,0.3152,0.3152,0.18,22,32,24
235,0.3152,0.3152,0.14,22,32,24
237,0.3152,0.3152,0.23,22,32,24
239,0.3152,0.3152,0.27,22,32,24
241,0.3152,0.3152,0.32,22,32,24
243,0.3152,0.3152,0.36,22,32,24
245,0.3152,0.3152,0.18,22,32,24
247,0.3152,0.3152,0.14,22,32,24
249,0.3152,0.3152,0.27,22,32,24
251,0.3152,0.3152,0.27,22,32,24
253,0.3152,0.3152,0.23,22,32,24
255,0.3152,0.3152,0.27,22,32,24
257,0.3152,0.3424,0.18,22,32,24
259,0.3152,0.3152,0.32,22,32,24
261,0.3152,0.3152,0.14,22,32,24
263,0.313,0.3402,0.18,22,32,24
265,0.313,0.313,0.23,22,32,24
267,0.2804,0.3076,0.14,22,31,24
269,0.2478,0.2478,0.18,22,30,24
271,0.2152,0.2152,0.23,22,29,24
273,0.2152,0.2152,0.23,22,29,24
275,0.2152,0.2152,0.27,22,29,24
277,0.2152,0.2152,0.27,22,29,24
279,0.163,0.163,0.36,22,28,24
281,0.1609,0.1609,0.41,22,28,24
283,0.1609,0.1609,0.32,22,28,24
285,0.1609,0.1609,0.18,22,28,24
287,0.1609,0.1609,0.09,22,28,24
289,0.1609,0.1609,0.27,22,28,24
291,0.1283,0.1283,0.27,22,27,24
293,0.1283,0.1283,0.27,22,27,24
295,0.1283,0.1283,0.27,22,27,24
297,0.1283,0.1554,0.18,22,27,24
299,0.1304,0.1304,0.09,22,26,23
301,0.1304,0.1304,0.18,22,26,23
303,0.1304,0.1576,0.27,22,26,23
305,0.1304,0.1304,0.27,22,26,23
307,0.1304,0.1576,0.23,22,26,23
309,0.1304,0.144,0.14,22,26,23
311,0.1304,0.144,0.09,22,26,23
313,0.1304,0.1304,0.18,22,26,23
315,0.1304,0.1304,0.32,22,26,23
317,0.1304,0.1576,0.18,22,26,23
319,0.1304,0.1576,0.23,22,26,23
321,0.1304,0.1304,0.27,22,26,23
323,0.1304,0.144,0.23,22,26,23
325,0.1304,0.1304,0.14,22,26,23
327,0.1304,0.1304,0.14,22,26,23
329,0.1304,0.1304,0.09,22,26,23
331,0.1304,0.1304,0.32,22,26,23
333,0.1304,0.1304,0.27,22,26,23
335,0.1304,0.1304,0.14,22,26,23
337,0.1304,0.1304,0.18,22,26,23
339,0.1304,0.1576,0.14,22,26,23
341,0.1304,0.1304,0.14,22,26,23
343,0.1304,0.1304,0.23,22,26,23
345,0.1304,0.1304,0.32,22,26,23
347,0.1304,0.1304,0.27,22,26,23
349,0.1304,0.1304,0.09,22,26,23
351,0.1304,0.1304,0.32,22,26,23
353,0.1304,0.1304,0.09,22,26,23
355,0.1304,0.1304,0.27,22,26,23
357,0.1304,0.1304,0.27,22,26,23
359,0.1304,0.1304,0.32,22,26,23
361,0.1304,0.1304,0.32,22,26,23
363,0.1304,0.1304,0.14,22,26,23
365,0.1304,0.1304,0.23,22,26,23
367,0.1304,0.1304,0.18,22,26,23
369,0.1304,0.1304,0.18,22,26,23
371,0.1304,0.1304,0.23,22,26,23
373,0.1304,0.1304,0.41,22,26,23
375,0.1304,0.1304,0.18,22,26,23
377,0.1304,0.1304,0.09,22,26,23
379,0.1304,0.1304,0.23,22,26,23
381,0.1304,0.1576,0.23,22,26,23
383,0.1304,0.1304,0.32,22,26,23
385,0.1304,0.1304,0.27,22,26,23
387,0.1304,0.1304,0.27,22,26,23
389,0.1304,0.1304,0.23,22,26,23
391,0.1304,0.1304,0.32,22,26,23
393,0.1304,0.1304,0.27,22,26,23
395,0.1304,0.1304,0.18,22,26,23
397,0.1304,0.1304,0.09,22,26,23
399,0.1304,0.1576,0.09,22,26,23
401,0.1304,0.1576,0.18,22,26,23
403,0.1304,0.1304,0.05,22,26,23
405,0.1304,0.1304,0.05,22,26,23
407,0.1304,0.1304,0.36,22,26,23
409,0.1304,0.1304,0.18,22,26,23
411,0.1304,0.1304,0.14,22,26,23
413,0.1304,0.1304,0.09,22,26,23
415,0.1304,0.1304,0.14,22,26,23
417,0.1304,0.1304,0.14,22,26,23
419,0.1304,0.1304,0.18,22,26,23
421,0.1304,0.1576,0.41,22,26,23
423,0.1304,0.1304,0.32,22,26,23
425,0.1304,0.1576,0.18,22,26,23
427,0.1304,0.1304,0.32,22,26,23
429,0.1304,0.1304,0.27,22,26,23
