move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.15,40,40,40
3,0.0,0.0,0.07,40,40,40
5,0.0326,0.0598,0.08,39,40,39
7,0.0652,0.0924,0.16,38,40,38
9,0.0652,0.0924,0.13,38,40,38
11,0.0326,0.0326,0.14,37,39,38
13,0.087,0.087,0.08,37,39,37
15,0.087,0.1141,0.16,37,39,37
17,0.1,0.1,0.11,36,39,36
19,0.0457,0.0457,0.14,35,38,36
21,0.0,0.0272,0.12,33,37,35
23,0.0,0.0,0.24,33,37,35
25,0.1087,0.1087,0.12,33,37,34
27,0.1087,0.1087,0.18,33,37,34
29,0.1087,0.1087,0.15,33,37,34
31,0.1087,0.1087,0.12,33,37,34
33,0.0,0.0,0.16,32,36,34
35,0.0,0.0136,0.06,32,36,34
37,0.0109,0.0109,0.09,32,36,33
39,-0.0761,-0.0761,0.19,31,35,33
41,-0.0761,-0.0625,0.13,31,35,33
43,-0.0739,-0.0739,0.26,31,35,33
45,-0.0761,-0.0625,0.19,31,35,33
47,-0.0761,-0.0625,0.16,31,35,33
49,-0.0761,-0.0489,0.26,31,35,33
51,-0.0739,-0.0739,0.06,31,35,33
53,-0.0783,-0.0783,0.13,31,35,33
55,-0.0783,-0.0783,0.23,31,35,33
57,-0.1109,-0.1109,0.1,31,34,33
59,-0.1109,-0.0837,0.19,31,34,33
61,0.0,0.0272,0.1,31,34,32
63,0.0,0.0272,0.1,31,34,32
65,0.0,0.0,0.19,31,34,32
67,0.0,0.0272,0.1,31,34,32
69,0.0,0.0136,0.26,31,34,32
71,0.0326,0.0326,0.03,30,34,31
73,0.0326,0.0598,0.13,30,34,31
75,0.0326,0.0598,0.03,30,34,31
77,-0.0217,-0.0217,0.17,29,33,31
79,-0.0082,-0.0217,0.17,29,33,31
81,-0.0082,0.0054,0.14,29,33,31
83,-0.0082,0.0054,0.21,29,33,31
85,-0.0082,-0.0082,0.31,29,33,31
87,-0.019,-0.0326,0.21,28,32,31
89,-0.0326,-0.019,0.21,28,32,31
91,-0.0326,-0.0326,0.32,28,32,31
93,-0.0326,-0.019,0.14,28,32,31
95,-0.0326,-0.0326,0.07,28,32,31
97,-0.0326,-0.0326,0.18,28,32,31
99,-0.0326,-0.019,0.0,28,32,31
101,-0.0652,-0.0652,0.15,27,31,31
103,-0.0978,-0.0978,0.15,26,30,31
105,-0.1087,-0.1087,0.12,25,29,31
107,-0.1087,-0.1087,0.2,25,29,31
109,-0.1087,-0.1087,0.04,25,29,31
111,-0.0761,-0.0761,0.16,25,29,30
113,-0.0739,-0.0739,0.08,25,29,30
115,-0.0761,-0.0761,0.09,23,28,29
117,-0.0761,-0.0761,0.26,23,28,29
119,-0.0761,-0.0489,0.3,23,28,29
121,-0.0891,-0.0891,0.27,22,27,29
123,-0.0543,-0.0272,0.18,22,27,28
125,-0.0543,-0.0543,0.18,22,27,28
127,-0.0543,-0.0543,0.23,22,27,28
129,-0.0217,-0.0217,0.18,22,27,27
131,-0.0196,0.0076,0.14,22,27,27
133,-0.0087,0.0049,0.19,21,27,26
135,0.0457,0.0592,0.19,21,27,25
137,0.0457,0.0457,0.24,21,27,25
139,0.0457,0.0864,0.19,21,27,25
141,0.0435,0.0571,0.14,21,27,25
143,0.0435,0.0435,0.14,21,27,25
145,0.0435,0.0435,0.33,21,27,25
147,0.0217,0.0625,0.2,20,26,24
149,-0.0326,-0.0326,0.3,20,25,24
151,-0.0652,-0.0516,0.35,20,24,24
153,-0.0652,-0.0245,0.2,20,24,24
155,-0.0435,-0.0435,0.21,19,23,23
157,-0.0543,-0.0136,0.11,19,22,23
159,-0.0522,-0.0522,0.21,19,21,22
161,-0.0522,-0.025,0.26,19,21,22
163,-0.0386,-0.0522,0.16,19,21,22
165,-0.0522,-0.025,0.32,19,21,22
167,-0.0386,-0.0522,0.32,19,21,22
169,-0.0386,-0.0522,0.16,19,21,22
171,-0.0522,-0.0522,0.21,19,21,22
173,-0.0522,-0.0386,0.32,19,21,22
175,-0.0522,-0.0386,0.16,19,21,22
177,-0.05,-0.0228,0.26,19,21,22
179,-0.0391,-0.0391,0.28,18,21,21
181,-0.0739,-0.0603,0.29,17,20,21
183,-0.0739,-0.0739,0.35,17,20,21
185,-0.0739,-0.0332,0.12,17,20,21
187,-0.0739,-0.0739,0.29,17,20,21
189,-0.0739,-0.0603,0.29,17,20,21
191,-0.0739,-0.0603,0.41,17,20,21
193,-0.0739,-0.0332,0.35,17,20,21
195,-0.0739,-0.0603,0.29,17,20,21
197,-0.0739,-0.0739,0.47,17,20,21
199,-0.0739,-0.0603,0.35,17,20,21
201,-0.0603,-0.0603,0.35,17,20,21
203,-0.0467,-0.0467,0.47,17,20,21
205,-0.0467,-0.0739,0.41,17,20,21
207,-0.0603,-0.0739,0.18,17,20,21
209,-0.0603,-0.0603,0.35,17,20,21
211,-0.0277,-0.0413,0.31,16,20,20
213,-0.0299,-0.0027,0.25,16,20,20
215,-0.0168,0.0103,0.27,15,20,19
217,-0.0168,-0.0304,0.47,15,20,19
219,-0.0168,-0.0168,0.27,15,20,19
221,-0.0168,-0.0304,0.4,15,20,19
223,-0.0168,-0.0304,0.53,15,20,19
225,-0.019,0.0082,0.2,15,20,19
227,-0.019,-0.0326,0.33,15,20,19
229,-0.0516,-0.0516,0.33,15,19,19
231,0.0375,0.0647,0.2,15,19,18
233,0.0375,0.0375,0.47,15,19,18
235,0.0375,0.0239,0.33,15,19,18
237,0.0484,0.0348,0.36,14,19,17
239,0.0484,0.0348,0.21,14,19,17
241,0.0484,0.0755,0.21,14,19,17
243,0.062,0.0484,0.29,14,19,17
245,0.0484,0.0348,0.36,14,19,17
247,0.0484,0.062,0.36,14,19,17
249,0.0484,0.0484,0.29,14,19,17
251,0.0484,0.0484,0.43,14,19,17
253,0.0348,0.0755,0.43,14,19,17
255,0.0348,0.0484,0.36,14,19,17
257,0.0348,0.0755,0.29,14,19,17
259,0.0484,0.0755,0.43,14,19,17
261,0.0348,0.0755,0.43,14,19,17
263,0.0375,0.0647,0.38,13,18,17
265,0.0375,0.0647,0.31,13,18,17
267,0.0353,0.0217,0.46,13,18,17
269,0.0353,0.0217,0.31,13,18,17
271,0.0353,0.0625,0.31,13,18,17
273,0.0353,0.0625,0.38,13,18,17
275,0.0701,0.0973,0.23,13,18,16
277,0.0701,0.0701,0.31,13,18,16
279,0.0701,0.0701,0.23,13,18,16
281,0.0701,0.0565,0.38,13,18,16
283,0.0701,0.0973,0.38,13,18,16
285,0.0837,0.0973,0.38,13,18,16
287,0.0837,0.0565,0.54,13,18,16
289,0.0815,0.0679,0.46,13,18,16
291,0.081,0.0674,0.17,12,18,15
293,0.081,0.0946,0.33,12,18,15
295,0.081,0.0946,0.25,12,18,15
297,0.081,0.081,0.25,12,18,15
299,0.081,0.0946,0.42,12,18,15
301,0.081,0.0946,0.33,12,18,15
303,0.1397,0.1533,0.67,12,18,14
305,0.0918,0.1054,0.18,11,16,14
307,0.0918,0.0647,0.27,11,16,14
309,0.0918,0.0783,0.36,11,16,14
311,0.0918,0.0647,0.36,11,16,14
313,0.0918,0.0783,0.45,11,16,14
315,0.0918,0.0783,0.36,11,16,14
317,0.0918,0.0918,0.27,11,16,14
319,0.0918,0.1054,0.36,11,16,14
321,0.1054,0.1054,0.18,11,16,14
323,0.1054,0.1054,0.36,11,16,14
325,0.1076,0.0804,0.36,11,16,14
327,0.094,0.1076,0.18,11,16,14
329,0.094,0.094,0.55,11,16,14
331,0.1054,0.1054,0.6,10,15,13
333,0.1054,0.1054,0.6,10,15,13
335,0.0918,0.1054,0.4,10,15,13
337,0.0918,0.0647,0.4,10,15,13
339,0.1054,0.1054,0.5,10,15,13
341,0.0918,0.1054,0.2,10,15,13
343,0.0962,0.0962,0.2,10,15,13
345,0.0962,0.1098,0.4,10,15,13
347,0.0962,0.0962,0.3,10,15,13
349,0.1462,0.1462,0.56,9,14,11
351,0.1462,0.119,0.56,9,14,11
353,0.1462,0.1462,0.44,9,14,11
355,0.1462,0.1462,0.78,9,14,11
357,0.1462,0.1462,0.67,9,14,11
359,0.1462,0.1462,0.56,9,14,11
361,0.187,0.2141,0.33,9,14,10
363,0.187,0.2005,0.33,9,14,10
365,0.187,0.2141,0.33,9,14,10
367,0.2549,0.2685,0.44,9,14,9
369,0.3011,0.3011,1.0,8,14,8
371,0.3554,0.3418,0.57,7,14,7
373,0.3554,0.3418,0.43,7,14,7
375,0.3554,0.3554,0.43,7,14,7
377,0.3554,0.3554,0.57,7,14,7
379,0.3554,0.3418,0.71,7,14,7
381,0.3511,0.3511,0.43,7,14,7
383,0.3446,0.3038,0.5,6,13,7
385,0.3402,0.3402,0.5,6,13,7
387,0.3402,0.3402,0.5,6,13,7
389,0.2859,0.2859,0.33,6,12,7
