move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0136,0.25,40,40,40
3,0.0,0.0,0.15,40,40,40
5,0.0326,0.0326,0.08,39,40,39
7,0.0326,0.0326,0.13,38,39,38
9,0.0326,0.0326,0.24,38,39,38
11,0.0326,0.0326,0.26,38,39,38
13,0.0435,0.0435,0.14,37,39,37
15,0.0435,0.0435,0.16,37,39,37
17,0.0565,0.0701,0.11,36,39,36
19,0.1435,0.1435,0.17,35,39,35
21,0.1761,0.1761,0.26,34,39,34
23,0.187,0.2141,0.12,33,39,33
25,0.187,0.2005,0.06,33,39,33
27,0.187,0.2005,0.12,33,39,33
29,0.2196,0.2196,0.22,32,39,32
31,0.2196,0.2196,0.06,32,39,32
33,0.2196,0.2332,0.16,32,39,32
35,0.2522,0.2522,0.19,31,39,31
37,0.2522,0.2522,0.19,31,39,31
39,0.2522,0.2658,0.06,31,39,31
41,0.2522,0.2658,0.16,31,39,31
43,0.263,0.263,0.17,30,39,30
45,0.263,0.2766,0.23,30,39,30
47,0.263,0.2766,0.13,30,39,30
49,0.263,0.263,0.1,30,39,30
51,0.263,0.263,0.37,30,39,30
53,0.263,0.263,0.2,30,39,30
55,0.263,0.2766,0.13,30,39,30
57,0.2304,0.244,0.21,29,38,30
59,0.2304,0.244,0.17,29,38,30
61,0.2304,0.2304,0.07,29,38,30
63,0.2304,0.2304,0.07,29,38,30
65,0.2304,0.2304,0.21,29,38,30
67,0.2304,0.2304,0.14,29,38,30
69,0.2304,0.2304,0.1,29,38,30
71,0.244,0.2304,0.1,29,38,30
73,0.244,0.2576,0.28,29,38,30
75,0.244,0.2576,0.17,29,38,30
77,0.244,0.2304,0.21,29,38,30
79,0.244,0.2576,0.14,29,38,30
81,0.244,0.244,0.21,29,38,30
83,0.244,0.2304,0.17,29,38,30
85,0.244,0.244,0.14,29,38,30
87,0.2766,0.2766,0.07,28,38,29
89,0.2766,0.2902,0.21,28,38,29
91,0.2766,0.3038,0.11,28,38,29
93,0.3092,0.3092,0.07,27,38,28
95,0.3092,0.2957,0.22,27,38,28
97,0.3092,0.3364,0.07,27,38,28
99,0.3418,0.369,0.11,27,38,27
101,0.3418,0.3418,0.15,27,38,27
103,0.3527,0.3391,0.12,26,38,26
105,0.3527,0.3527,0.15,26,38,26
107,0.4614,0.4478,0.28,25,38,25
109,0.4614,0.4614,0.16,25,38,25
111,0.4614,0.4614,0.12,25,38,25
113,0.4614,0.4614,0.2,25,38,25
115,0.4614,0.4478,0.2,25,38,25
117,0.4614,0.4614,0.2,25,38,25
119,0.494,0.494,0.21,24,38,24
121,0.494,0.494,0.21,24,38,24
123,0.5484,0.5484,0.26,23,38,23
125,0.5484,0.5348,0.09,23,38,23
127,0.5484,0.5348,0.17,23,38,23
129,0.5484,0.5348,0.22,23,38,23
131,0.5484,0.5484,0.13,23,38,23
133,0.5462,0.5326,0.24,21,36,21
135,0.5462,0.5462,0.19,21,36,21
137,0.5462,0.5462,0.43,21,36,21
139,0.5462,0.5326,0.1,21,36,21
141,0.5462,0.5326,0.29,21,36,21
143,0.5484,0.5755,0.33,21,36,21
145,0.5918,0.5918,0.26,19,36,19
147,0.6027,0.5891,0.11,18,36,18
149,0.6027,0.6027,0.28,18,36,18
151,0.6027,0.6027,0.11,18,36,18
153,0.6027,0.5891,0.22,18,36,18
155,0.6027,0.6027,0.17,18,36,18
157,0.5701,0.5701,0.24,17,35,18
159,0.5701,0.5973,0.24,17,35,18
161,0.5701,0.5701,0.18,17,35,18
163,0.5679,0.5543,0.18,17,35,18
165,0.5679,0.5679,0.24,17,35,18
167,0.5815,0.5679,0.24,17,35,18
169,0.5815,0.5679,0.12,17,35,18
171,0.5815,0.5679,0.35,17,35,18
173,0.638,0.6245,0.24,17,35,17
175,0.6272,0.6272,0.56,16,34,17
177,0.6272,0.6408,0.31,16,34,17
179,0.638,0.638,0.4,15,34,16
181,0.6924,0.6652,0.29,14,34,15
183,0.6924,0.6788,0.21,14,34,15
185,0.6924,0.6924,0.36,14,34,15
187,0.6924,0.6788,0.29,14,34,15
189,0.706,0.706,0.29,14,34,15
191,0.7603,0.7332,0.23,13,34,14
193,0.7712,0.744,0.5,12,34,13
195,0.8255,0.7984,0.55,11,34,12
197,0.8255,0.7984,0.55,11,34,12
199,0.8582,0.8582,0.5,10,34,11
201,0.8038,0.8038,0.5,10,33,11
203,0.8364,0.8364,0.78,9,33,10
205,0.8255,0.7984,0.75,8,32,10
207,0.8255,0.8255,0.75,8,32,10
209,0.8255,0.812,0.75,8,32,10
211,0.8255,0.7984,0.75,8,32,10
213,0.8255,0.8255,0.75,8,32,10
215,0.8255,0.7984,0.75,8,32,10
217,0.8582,0.8582,0.71,7,32,9
219,0.8582,0.831,0.71,7,32,9
221,0.8582,0.831,0.71,7,32,9
223,0.8582,0.8582,1.0,7,32,9
225,0.8582,0.831,0.71,7,32,9
227,0.856,0.856,0.71,7,31,8
229,0.856,0.856,1.0,7,31,8
231,0.8402,0.8402,1.0,7,31,8
233,0.8402,0.813,0.71,7,31,8
235,0.8402,0.813,0.71,7,31,8
237,0.8402,0.8266,0.71,7,31,8
239,0.8402,0.813,0.71,7,31,8
241,0.8293,0.8022,0.67,6,30,8
243,0.8158,0.7886,0.67,6,30,8
245,0.8158,0.8158,1.0,6,30,8
247,0.8158,0.8158,1.0,6,30,8
249,0.8158,0.7886,0.67,6,30,8
251,0.8158,0.7886,0.67,6,30,8
253,0.8293,0.8293,1.0,6,30,8
255,0.8315,0.8043,0.67,6,30,8
257,0.8293,0.8293,0.67,6,30,8
259,0.8315,0.8315,1.0,6,30,8
261,0.875,0.875,0.6,5,29,7
