move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.3666,7.1718,0.25,40,40,40
2,7.4765,7.2016,0.12,40,40,40
4,7.4283,8.3611,0.12,40,40,40
6,7.4688,7.901,0.15,39,39,39
8,7.6517,7.5716,0.13,39,39,39
10,7.638,8.5533,0.21,38,39,38
12,7.6526,8.0234,0.22,37,38,37
14,7.6026,7.0804,0.22,37,38,37
16,7.532,7.4793,0.2,35,37,36
18,7.292,8.1759,0.12,34,37,35
20,6.8529,7.0477,0.12,33,36,35
22,7.2152,6.8345,0.06,33,36,35
24,7.2227,7.5601,0.15,33,36,35
26,7.3961,7.6267,0.19,32,36,34
28,6.2843,6.6983,0.13,31,35,34
30,6.164,6.4464,0.16,31,35,34
32,6.2506,6.2471,0.23,31,35,34
34,5.6142,5.891,0.2,30,34,34
36,5.8091,5.8843,0.2,30,33,34
38,6.0641,6.2045,0.2,30,33,33
40,5.8658,6.0607,0.17,30,33,33
42,6.0179,6.0716,0.2,30,33,33
44,5.7693,6.0893,0.27,30,33,33
46,6.7078,6.2533,0.2,30,33,33
48,6.718,6.5702,0.13,30,33,33
50,7.2823,7.9493,0.2,30,33,33
52,8.1128,14.4951,0.07,29,33,32
54,7.2953,10.7712,0.18,28,33,31
56,4.9781,5.2337,0.04,27,31,31
58,5.2361,5.3445,0.26,27,31,31
60,5.246,5.2694,0.15,27,31,31
62,5.3995,5.251,0.19,27,31,31
64,4.9802,5.3295,0.22,27,31,31
66,5.3316,4.4648,0.15,27,31,31
68,5.3357,5.241,0.19,26,30,30
70,5.312,5.1733,0.0,26,30,30
72,5.1147,5.036,0.23,26,30,30
74,5.1717,5.121,0.15,26,30,30
76,5.1598,5.1487,0.19,26,30,30
78,5.0902,5.3375,0.12,26,30,30
80,5.2185,5.2785,0.2,25,30,29
82,4.9477,4.9143,0.16,25,29,29
84,5.1092,4.9375,0.24,25,29,29
86,5.3164,5.1453,0.2,25,29,29
88,5.8699,5.8026,0.08,24,29,28
90,5.9125,5.8851,0.21,24,29,28
92,5.8997,6.0506,0.17,24,29,28
94,6.0998,7.2469,0.21,24,29,28
96,6.1513,6.1916,0.22,23,29,27
98,6.1116,6.2162,0.13,23,29,27
100,9.5631,6.1989,0.22,23,29,27
102,5.6375,5.6609,0.09,22,28,27
104,5.6932,5.3745,0.23,22,28,27
106,5.6603,8.9373,0.23,22,28,27
108,5.6265,9.0941,0.23,22,28,27
110,5.7126,5.6795,0.09,22,28,27
112,5.7245,5.6673,0.14,22,28,27
114,5.7212,5.5741,0.09,22,28,27
116,5.7724,5.9155,0.29,21,27,26
118,5.7633,5.8267,0.24,21,27,26
120,5.7579,5.7529,0.19,21,27,26
122,5.6629,5.751,0.14,21,27,26
124,5.881,5.8321,0.0,21,27,26
126,5.6033,5.6007,0.19,21,27,26
128,5.7619,5.6526,0.2,20,26,26
130,5.6588,5.5102,0.1,20,26,26
132,5.6938,5.6876,0.3,20,26,26
134,5.6924,5.675,0.2,20,26,25
136,5.1021,5.1855,0.35,20,25,25
138,5.1324,5.2955,0.26,19,24,25
140,5.0285,5.21,0.26,19,24,25
142,5.5473,5.6997,0.22,18,23,25
144,5.7047,5.7027,0.17,18,23,24
146,5.6913,5.6421,0.28,18,23,24
148,5.4847,5.3022,0.17,18,23,24
150,5.4169,11.9008,0.0,18,22,24
152,5.2956,8.8959,0.39,18,22,24
154,5.2219,5.2027,0.18,17,21,24
156,5.5884,5.625,0.24,17,21,24
158,6.1398,9.7333,0.29,17,21,23
160,5.1279,5.0082,0.24,17,20,23
162,4.3094,7.855,0.06,17,19,23
164,4.4089,4.1261,0.24,17,19,23
166,4.3165,4.5998,0.47,17,19,23
168,3.9326,7.707,0.29,17,18,23
170,5.2553,4.8928,0.41,17,18,22
172,5.2904,5.0244,0.24,17,18,22
174,5.6725,5.69,0.18,17,18,21
176,5.7075,5.6675,0.24,17,18,21
178,5.6825,5.5,0.41,17,18,21
