move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.158,7.6852,0.05,40,40,40
2,7.0463,8.2318,0.17,40,40,40
4,7.6638,8.3301,0.08,39,40,39
6,7.3107,8.6709,0.21,39,40,39
8,7.7672,8.4537,0.18,39,40,39
10,8.15,9.0353,0.13,39,40,39
12,8.0058,9.6848,0.13,39,40,39
14,8.1427,8.0355,0.15,39,40,39
16,7.3298,9.1795,0.18,38,40,38
18,8.242,9.4179,0.16,38,40,38
20,8.3404,10.1978,0.18,38,40,38
22,8.3722,9.8559,0.28,36,39,37
24,9.9421,9.6987,0.17,36,39,37
26,10.0057,9.7099,0.17,35,38,37
28,9.0233,9.851,0.14,35,38,37
30,9.4815,9.9419,0.14,35,38,37
32,7.797,8.1973,0.12,34,37,37
34,8.5819,10.0028,0.15,34,37,36
36,8.6512,9.562,0.12,33,37,35
38,9.0616,8.8661,0.12,32,36,34
40,9.7233,13.7951,0.13,31,36,33
42,10.1769,10.5896,0.13,30,35,32
44,10.7824,28.2981,0.17,30,35,32
46,12.0621,11.6604,0.03,29,35,31
48,11.7393,16.8424,0.34,29,35,31
50,11.7327,11.3049,0.24,29,35,30
52,9.7002,9.7093,0.18,28,34,30
54,9.7683,9.6644,0.21,28,34,30
56,9.7175,10.0548,0.18,28,34,30
58,9.7069,9.6847,0.18,28,34,30
60,9.7832,9.8922,0.18,28,34,30
62,9.8324,9.7444,0.25,28,34,30
64,9.7412,9.9654,0.07,28,34,30
66,9.5764,9.4895,0.25,28,34,30
68,9.8199,9.7783,0.11,28,34,30
70,9.7625,10.2195,0.15,27,34,29
72,9.8003,10.3332,0.26,27,34,29
74,9.8141,9.6304,0.37,27,34,29
76,9.6235,9.9194,0.26,27,34,29
78,9.7978,10.624,0.19,27,34,29
80,11.3686,11.822,0.44,27,34,29
82,11.6139,11.7588,0.07,27,34,28
84,10.3325,10.0453,0.31,26,33,28
86,10.0565,10.4764,0.12,26,33,28
88,9.9321,10.7494,0.12,26,33,28
90,10.204,10.2778,0.15,26,33,28
92,10.1955,10.4971,0.08,26,33,28
94,9.3647,9.5364,0.36,25,32,28
96,9.6513,9.6957,0.16,25,32,28
98,9.6166,9.4116,0.24,25,32,28
100,9.4692,9.5859,0.24,25,32,28
102,9.6584,9.8363,0.24,25,32,28
104,9.731,9.6644,0.24,25,32,28
106,9.5384,10.1069,0.12,25,32,28
108,9.6145,15.8279,0.24,25,32,28
110,9.5893,10.4508,0.21,24,32,27
112,9.7261,10.4772,0.29,24,32,27
114,9.5862,15.9364,0.25,24,32,27
116,9.5514,10.5398,0.25,24,32,27
118,9.8525,25.0205,0.38,24,32,27
120,8.998,16.4279,0.22,23,31,27
122,9.3128,8.8227,0.17,23,31,27
124,9.0773,18.5685,0.13,23,31,27
126,9.1166,9.7002,0.3,23,31,27
128,9.1132,8.8904,0.26,23,31,27
130,9.2765,9.1676,0.22,23,31,27
132,9.0913,9.3723,0.3,23,31,27
134,9.0756,9.1384,0.35,23,31,27
136,9.2114,9.5038,0.22,23,31,27
138,9.2693,27.5651,0.35,23,31,27
140,9.3274,9.0384,0.26,23,31,27
142,9.0388,25.2071,0.22,23,31,27
144,8.9721,9.0449,0.36,22,30,26
146,9.0089,9.0253,0.36,22,30,26
148,9.0811,9.0683,0.32,22,30,26
150,9.1374,9.0268,0.27,22,30,26
152,8.9529,9.0479,0.23,22,30,26
154,9.1595,9.0718,0.36,22,30,26
156,9.1864,8.9155,0.32,22,30,26
158,9.095,9.1809,0.23,22,30,26
160,9.0917,9.1642,0.23,22,30,26
162,9.1346,9.0862,0.32,22,30,26
164,8.9335,8.9661,0.14,21,29,25
166,9.0577,10.1294,0.24,21,29,25
168,9.0874,9.2217,0.29,21,29,25
170,9.0117,33.79,0.24,21,29,25
172,9.0327,9.6519,0.1,21,29,25
174,8.9247,18.3089,0.29,21,29,25
176,9.0222,9.1352,0.38,21,29,25
178,9.0396,9.015,0.33,21,29,25
180,8.9544,8.9118,0.38,21,29,25
182,9.1073,12.8531,0.52,21,29,25
184,9.2108,10.1887,0.24,21,29,25
186,9.0139,19.4642,0.29,21,29,25
188,9.2702,22.1268,0.43,21,29,25
190,8.838,8.7216,0.3,20,28,25
192,9.2498,8.7108,0.42,19,27,24
194,9.1799,9.2003,0.26,19,27,24
196,9.5965,9.0991,0.32,19,27,24
198,9.1435,9.3158,0.21,19,27,24
200,8.8053,12.953,0.53,19,27,24
202,9.0252,8.8246,0.32,19,27,24
204,9.2615,12.7668,0.42,19,27,24
206,9.1246,12.3067,0.53,19,27,24
208,8.9861,8.9047,0.42,19,27,24
210,9.7595,8.8726,0.47,19,27,24
212,11.9071,19.87,0.37,19,27,24
214,11.7425,14.0645,0.28,18,27,23
216,12.7046,40.0,0.44,18,27,23
218,12.1937,34.2282,0.39,18,27,23
220,12.004,36.9874,0.28,18,27,23
222,10.7194,10.7263,0.33,18,27,23
224,10.933,25.156,0.44,18,27,23
226,10.2885,22.4435,0.39,18,27,23
228,10.6795,10.8755,0.33,18,27,23
230,10.5516,34.3109,0.44,18,27,23
232,10.8847,31.6898,0.33,18,27,23
234,13.1788,32.1463,0.61,18,26,22
236,12.9545,31.7783,0.41,17,26,21
238,13.162,12.7719,0.38,16,25,21
240,13.0373,24.0982,0.44,16,25,21
242,13.3052,37.2957,0.31,16,25,21
244,11.6163,14.248,0.4,15,24,21
246,12.3575,11.389,0.29,14,24,20
248,13.0744,12.6636,0.31,13,24,19
250,13.0391,13.071,0.5,12,24,18
252,15.1407,14.107,0.27,11,24,17
254,15.4284,15.1834,0.18,11,24,16
256,16.3661,16.5711,0.2,10,24,15
258,15.605,15.245,0.33,9,23,15
260,15.585,15.62,0.33,9,23,15
262,15.53,15.61,0.44,9,23,15
264,15.6,18.075,0.33,9,23,15
266,15.805,15.495,0.33,9,23,15
268,15.425,25.535,0.33,9,23,15
270,15.8639,15.44,0.56,9,23,15
272,15.45,16.0689,0.22,9,23,15
274,15.485,25.755,0.22,9,23,15
276,15.91,15.92,0.11,9,23,15
278,16.51,17.44,0.22,9,23,15
280,15.7,19.105,0.33,9,23,15
282,17.66,16.715,0.11,9,23,15
284,17.335,17.975,0.22,9,23,15
286,17.42,19.7656,0.33,9,23,15
288,18.295,20.57,0.33,9,23,15
290,17.515,20.445,0.33,9,23,15
292,17.435,17.77,0.22,9,23,15
294,17.46,23.93,0.33,9,23,15
296,16.95,35.3,0.22,9,23,15
298,15.8,21.89,0.25,8,22,15
300,16.72,21.565,0.25,8,22,15
302,15.63,16.98,0.75,8,22,15
304,17.0511,16.7006,0.75,8,22,15
306,15.775,17.175,0.62,8,22,15
308,16.2222,19.8106,0.5,8,22,15
310,17.035,22.1678,0.38,8,22,15
312,16.785,24.015,0.25,8,22,15
314,16.565,21.68,0.12,8,22,15
316,16.545,17.0,0.5,8,22,15
318,16.81,16.7511,0.5,8,22,15
320,16.56,16.42,0.38,8,22,15
322,16.46,16.8556,0.62,8,22,15
324,16.425,17.9667,1.0,8,22,15
326,23.62,20.615,0.75,8,22,15
328,18.0611,20.215,0.5,8,22,15
330,18.6317,15.9078,0.5,8,22,15
332,22.8806,27.45,1.0,8,22,15
334,16.4039,18.8689,0.5,8,22,15
336,37.47,29.83,0.5,8,22,15
338,40.0,32.395,0.75,8,22,15
340,35.23,32.475,0.62,8,22,15
342,34.985,40.0,0.5,8,22,15
344,22.3222,21.3994,0.38,8,22,15
346,35.2689,35.095,0.75,8,22,15
348,16.68,24.1967,0.38,8,22,15
350,25.7306,29.955,0.75,8,22,15
352,32.655,23.1894,0.75,8,22,15
354,16.52,20.4439,0.62,8,22,15
356,30.4678,29.94,0.5,8,22,15
358,34.965,37.49,0.62,8,22,15
360,34.9,37.475,0.62,8,22,15
362,40.0,35.035,0.75,8,22,15
364,40.0,37.7722,0.75,8,22,15
366,37.45,34.98,0.62,8,22,15
368,30.24,24.75,0.62,8,22,15
370,21.345,20.7806,0.5,8,22,15
372,18.4361,20.1911,1.0,8,22,15
374,17.1878,22.465,0.62,8,22,15
376,27.48,23.3072,0.75,8,22,15
378,32.87,30.315,0.5,8,22,15
380,20.3722,22.5306,0.62,8,22,15
382,20.725,20.2722,0.62,8,22,15
384,25.09,25.1,0.5,8,22,15
386,25.2,27.705,0.62,8,22,15
388,32.7156,25.2461,0.5,8,22,15
390,25.7844,25.095,0.5,8,22,15
392,20.3422,18.585,0.38,8,22,15
394,23.7478,25.2956,0.75,8,22,15
396,30.4406,30.63,0.62,8,22,15
398,21.2978,23.8133,0.5,8,22,15
400,21.4844,30.5,1.0,8,22,15
402,25.9006,27.81,0.75,8,22,15
404,18.0372,22.5733,1.0,8,22,15
406,20.8883,23.1378,0.62,8,22,15
408,25.9517,30.5756,0.5,8,22,15
410,18.8439,18.8728,0.62,8,22,15
412,29.3744,18.205,0.75,8,22,15
414,19.8706,19.8428,0.62,8,21,15
416,17.4911,22.3072,0.5,8,20,15
418,15.7583,16.5017,0.5,8,20,15
420,21.7539,23.3322,0.57,7,20,14
422,18.5844,21.1317,1.0,7,20,14
424,19.4872,19.5544,0.71,7,20,14
426,20.3939,20.8372,0.71,7,20,14
428,17.33,22.2628,0.43,7,20,14
430,22.3728,19.3078,0.57,7,20,14
432,31.4644,22.2511,0.43,7,20,14
434,25.0333,25.1622,0.71,7,20,14
436,21.4594,19.7639,1.0,7,20,14
438,27.7828,20.9489,0.71,7,20,14
440,33.8156,19.2272,0.43,7,19,14
442,29.2911,23.8844,0.57,7,19,14
444,31.7872,27.7961,0.71,7,19,14
446,31.5589,29.7189,0.71,7,19,14
