move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.678,7.4239,0.1,40,40,40
1,7.5541,7.8557,0.15,40,40,40
2,7.7652,7.8714,0.13,39,40,39
3,7.3834,7.2661,0.18,39,39,40
4,7.6482,7.1621,0.08,39,40,39
5,7.1399,7.3174,0.13,39,39,40
6,7.5997,8.092,0.13,39,40,39
7,6.6362,7.3572,0.23,39,39,40
8,7.1823,8.158,0.1,39,40,39
9,7.3475,7.247,0.34,38,38,40
10,7.7071,8.2411,0.08,38,40,38
11,7.6856,7.5259,0.16,38,38,40
12,8.1442,8.3382,0.18,38,40,38
13,6.6628,6.894,0.21,38,38,40
14,7.9536,8.0682,0.18,38,40,38
15,7.7063,7.3185,0.18,38,37,39
16,7.8412,8.2686,0.16,37,39,37
17,7.633,11.0072,0.21,38,37,39
18,7.464,8.2108,0.19,36,39,36
19,7.7906,7.9443,0.11,37,36,39
20,7.9103,8.9821,0.25,36,39,36
21,7.2391,7.2417,0.08,37,36,39
22,7.7926,9.4664,0.25,36,39,36
23,7.3658,6.7747,0.11,37,36,39
24,8.4644,8.7232,0.03,36,39,36
25,6.9943,10.6355,0.08,37,36,39
26,8.6144,10.8827,0.08,36,39,36
27,7.0304,6.8157,0.14,37,36,39
28,8.4606,9.4154,0.25,36,39,36
29,7.8187,6.5285,0.08,37,36,39
30,7.9934,9.0646,0.22,36,39,36
31,8.071,6.9969,0.11,37,36,39
32,8.1234,8.8205,0.14,36,39,36
33,8.0844,8.3244,0.03,37,36,39
34,7.9887,9.2556,0.08,36,39,36
35,8.8789,7.7537,0.19,36,36,38
36,8.1813,8.7317,0.14,35,38,36
37,8.3497,8.3456,0.25,36,36,38
38,8.1936,8.6897,0.17,35,38,36
39,9.0086,8.6941,0.11,36,36,37
40,5.8864,6.0984,0.26,34,36,36
41,9.2648,11.82,0.11,35,36,36
42,5.9537,5.9344,0.18,34,36,36
43,9.1784,8.2282,0.09,35,36,36
44,5.9441,6.7305,0.21,34,36,36
45,9.0085,9.0102,0.14,35,36,36
46,5.537,5.833,0.24,34,36,36
47,10.4922,9.6078,0.26,35,36,36
48,5.1708,6.5868,0.32,34,36,36
49,10.7918,10.5267,0.18,34,36,35
50,5.0707,5.6743,0.3,33,35,36
51,10.8093,9.4496,0.06,34,36,35
52,5.0595,5.1354,0.12,33,35,36
53,10.3955,9.0799,0.12,34,36,35
54,4.6603,4.8457,0.12,33,34,36
55,10.1144,21.8579,0.15,33,36,34
56,4.8877,5.2389,0.27,33,34,36
57,9.3942,9.5493,0.21,33,36,34
58,5.5513,5.7939,0.12,33,34,36
59,9.0435,8.9834,0.22,32,35,34
60,6.1559,6.1619,0.18,33,34,35
61,8.9164,11.9917,0.16,32,35,34
62,5.9317,6.1384,0.27,33,34,35
63,9.0265,30.6447,0.19,32,35,34
64,6.3111,6.272,0.18,33,34,35
65,9.6681,18.1855,0.06,32,35,34
66,6.1314,6.2026,0.15,33,34,35
67,9.9306,9.4342,0.22,32,35,34
68,6.8934,6.376,0.18,33,34,35
69,9.777,10.0604,0.19,32,35,34
70,6.1657,6.0966,0.18,33,34,35
71,10.3545,33.9415,0.16,32,35,34
72,7.8744,7.9905,0.09,33,34,34
73,7.6495,7.1752,0.13,31,33,34
74,8.3873,9.4025,0.28,32,34,33
75,7.2249,7.3042,0.19,31,32,34
76,8.3277,10.3539,0.32,31,34,32
77,7.3685,7.4853,0.16,31,32,33
78,7.8858,8.0471,0.2,30,33,32
79,7.6056,7.3086,0.13,31,32,33
80,7.9088,8.2042,0.27,30,33,32
81,7.5707,7.1101,0.16,31,32,33
82,8.0581,8.2913,0.28,29,33,31
83,6.9295,7.2441,0.13,31,31,33
84,8.1114,8.9914,0.28,29,33,31
85,7.0871,7.3519,0.1,31,31,33
86,8.1353,8.5683,0.1,29,33,31
87,7.2849,7.533,0.19,31,30,32
88,8.285,8.1356,0.36,28,32,30
89,7.2956,7.2596,0.26,31,30,32
90,8.3281,9.3273,0.32,28,32,30
91,7.2311,7.3199,0.19,31,30,32
92,8.7858,9.1368,0.29,28,32,30
93,7.1563,11.1973,0.06,31,30,32
94,8.9871,9.2471,0.21,28,32,30
95,7.3122,7.1697,0.16,31,30,32
96,9.1869,8.8076,0.25,28,32,30
97,7.1839,7.1539,0.23,30,29,32
98,10.395,18.4458,0.15,27,32,29
99,7.4972,7.1749,0.27,30,29,32
100,10.0931,9.9854,0.3,27,32,29
101,6.7548,6.4547,0.2,30,29,32
102,10.7178,10.8479,0.3,27,32,29
103,5.9099,6.072,0.37,30,28,32
104,11.6759,22.1727,0.23,26,32,28
105,5.4832,5.2762,0.13,30,27,32
106,12.434,28.007,0.2,25,32,27
107,4.7702,15.117,0.13,30,26,32
108,12.2438,37.115,0.21,24,32,26
109,4.6721,4.5812,0.2,30,25,32
110,12.5534,21.3831,0.22,23,32,25
111,4.429,32.8194,0.23,30,25,32
112,12.2751,37.165,0.22,23,32,25
113,5.1291,5.1764,0.1,30,25,31
114,10.8118,10.8328,0.36,22,31,25
115,5.5136,8.8523,0.21,29,25,30
116,10.565,10.4653,0.29,21,30,25
117,5.6658,5.2202,0.17,29,25,30
118,10.6654,10.5829,0.24,21,30,25
119,5.5323,5.9046,0.14,29,25,30
120,10.5183,10.4584,0.43,21,30,25
121,5.5863,40.0,0.14,29,25,30
122,10.6641,10.6926,0.45,20,30,24
123,5.2802,5.0032,0.21,28,24,30
124,10.6766,10.7537,0.2,20,30,24
125,5.5064,5.2897,0.11,28,24,30
126,10.726,10.6575,0.25,20,30,24
127,5.3995,5.2571,0.21,28,24,30
128,10.6469,10.5223,0.3,20,30,24
129,5.4084,5.2062,0.14,28,24,30
130,10.7988,16.4502,0.35,20,30,24
131,5.3796,5.4212,0.19,27,23,30
132,10.8507,22.5392,0.32,19,30,23
133,5.3199,5.1958,0.04,27,23,30
134,10.8102,10.7602,0.32,19,30,23
135,5.1385,5.0195,0.15,27,23,30
136,10.959,10.9582,0.42,19,30,23
137,5.1751,5.0277,0.04,27,23,30
138,11.0517,13.5556,0.37,19,30,23
139,5.554,5.1204,0.15,27,23,29
140,10.771,10.8812,0.22,18,29,23
141,6.1869,5.1833,0.22,27,23,29
142,10.7608,10.8367,0.56,18,29,23
143,5.714,5.2646,0.22,27,23,29
144,10.7557,10.7891,0.28,18,29,23
145,5.7215,15.5025,0.19,27,23,29
146,10.6632,10.7324,0.28,18,29,23
147,5.5237,5.2521,0.19,27,23,29
148,10.8555,10.8148,0.28,18,29,23
149,5.3585,8.4887,0.22,27,23,29
150,10.8114,10.766,0.28,18,29,23
151,5.5206,5.6158,0.26,27,23,29
152,10.7999,10.7523,0.28,18,29,23
153,5.3972,5.1881,0.19,27,23,29
154,10.8309,10.8086,0.44,18,29,23
155,5.3576,5.5692,0.11,27,23,29
156,11.4047,11.2393,0.5,18,29,23
157,5.2307,5.5321,0.19,27,23,29
158,12.0239,12.2311,0.44,18,29,23
159,4.5191,4.3389,0.04,26,22,29
160,12.6999,15.5905,0.29,17,29,22
161,3.701,4.1551,0.12,26,22,29
162,13.4109,13.5152,0.47,17,29,22
163,3.9669,3.5118,0.31,26,21,29
164,13.8951,14.928,0.5,16,29,21
165,3.2852,2.8387,0.35,26,20,29
166,15.3033,14.8736,0.33,15,29,20
167,2.4117,6.1584,0.19,26,19,29
168,15.9245,15.9634,0.36,14,29,19
169,2.6483,2.2461,0.12,26,19,29
170,15.802,16.0436,0.5,14,29,19
171,2.1385,1.822,0.19,26,18,28
172,16.8376,17.0658,0.57,14,28,18
173,2.5674,5.6617,0.27,26,18,28
174,17.3909,17.6005,0.38,13,27,17
175,2.3,2.0558,0.24,25,17,27
176,17.3523,19.4777,0.46,13,27,17
177,3.0476,2.2841,0.12,25,17,27
178,17.1094,19.6648,0.46,13,27,17
179,2.5427,6.2545,0.08,25,17,27
180,17.2023,19.2376,0.46,13,27,17
181,2.6103,6.2308,0.2,25,17,27
182,18.0841,20.32,0.42,12,27,16
183,1.5341,1.4187,0.28,25,16,27
184,17.9605,18.3409,0.33,12,27,16
185,1.6085,1.8109,0.2,25,16,27
186,17.9605,22.4109,0.5,12,27,16
187,1.418,5.4394,0.16,25,16,27
188,18.0214,20.2409,0.33,12,27,16
189,1.5288,1.4018,0.2,25,16,27
190,18.0027,22.2732,0.42,12,27,16
191,1.6841,9.4132,0.16,25,16,27
192,18.425,18.7211,0.27,11,27,15
193,1.3922,1.6604,0.2,25,15,27
194,18.37,20.56,0.55,11,27,15
195,1.4994,1.4192,0.2,25,15,27
196,18.41,27.05,0.64,11,27,15
197,1.6604,1.8797,0.24,25,15,27
198,18.41,18.4,0.45,11,27,15
199,1.9873,2.175,0.24,25,15,27
200,18.6161,37.85,0.45,11,27,15
201,2.5957,2.6143,0.38,24,15,26
202,18.5828,18.3589,0.6,10,26,15
203,2.43,1.9825,0.21,24,15,26
204,18.215,18.18,0.6,10,26,15
205,1.8214,2.0135,0.17,24,15,26
206,18.245,18.11,0.5,10,26,15
207,3.0836,2.5815,0.08,24,15,26
208,18.09,18.2789,0.6,10,26,15
209,3.868,2.817,0.25,24,15,26
210,18.8839,18.32,0.6,10,26,15
211,2.5883,2.7454,0.25,24,15,26
212,18.4417,18.54,0.6,10,26,15
213,2.2951,1.564,0.25,24,15,26
214,18.9128,18.0,0.5,10,26,15
215,1.9724,2.6138,0.17,24,15,26
216,23.2589,20.4639,0.7,10,26,15
217,1.86,1.9468,0.33,24,15,26
218,20.6689,18.505,0.7,10,26,15
219,3.1961,4.4411,0.21,24,15,26
220,23.6806,25.3339,1.0,10,26,15
221,2.5965,2.4951,0.17,24,15,26
222,35.47,31.205,0.7,10,26,15
223,2.8083,2.3474,0.17,24,15,26
224,18.7506,19.2344,0.6,10,26,15
225,2.8507,1.7582,0.38,24,15,26
226,18.6222,20.7672,0.6,10,26,15
227,3.8757,2.7563,0.21,24,15,26
228,29.6,31.11,0.7,10,26,15
229,3.217,2.4715,0.17,24,15,26
230,29.4778,29.5889,0.7,10,26,15
231,2.7732,2.2793,0.21,24,15,26
232,31.66,29.9717,0.4,10,26,15
233,3.6615,2.8122,0.29,24,15,26
234,21.1967,18.7189,0.3,10,26,15
235,4.0649,3.595,0.12,24,15,26
236,18.9622,20.515,0.4,10,26,15
237,3.69,2.7087,0.25,24,15,26
238,18.66,22.2389,0.4,10,26,15
239,3.417,2.1948,0.29,24,15,26
240,18.3578,18.4917,0.4,10,26,15
241,3.2933,2.3781,0.33,24,15,26
242,18.1522,24.9939,0.4,10,26,15
243,3.7012,2.1405,0.33,24,15,26
244,18.4733,20.9906,0.4,10,26,15
245,2.7791,3.0238,0.21,24,15,26
246,18.3794,17.955,0.7,10,26,15
247,3.0841,1.9351,0.21,24,15,26
248,18.6417,18.3617,0.7,10,26,15
249,2.2867,1.9557,0.33,24,15,26
250,18.6478,17.895,0.7,10,26,15
251,2.2276,2.5009,0.17,24,15,26
252,20.4717,20.365,0.5,10,26,15
253,2.4816,2.9462,0.21,24,15,26
254,19.1639,18.6944,0.6,10,26,15
255,2.004,1.7856,0.12,24,15,26
256,18.3244,18.3739,0.6,10,26,15
257,2.8995,2.6662,0.25,24,15,26
258,27.26,21.9156,0.4,10,26,15
259,3.4139,3.3498,0.12,24,15,26
260,29.87,30.3028,0.67,9,25,15
261,3.1987,2.3,0.29,24,15,25
262,25.1311,24.8944,0.33,9,25,15
263,2.2457,2.1779,0.26,23,14,25
264,21.5328,22.9661,0.78,9,25,14
265,2.2057,2.0532,0.35,23,14,25
266,29.7678,24.8172,0.33,9,25,14
267,2.1607,1.9177,0.35,23,14,25
268,32.5756,25.0567,0.56,9,25,14
269,2.0251,1.9364,0.39,23,14,25
270,40.0,32.9539,0.56,9,25,14
271,2.3849,1.997,0.26,23,14,25
272,37.8444,37.8222,1.0,9,25,14
273,2.4444,2.5876,0.22,23,14,25
274,22.6717,24.9461,0.67,9,25,14
275,2.6734,2.346,0.13,23,14,25
276,26.1122,23.9111,0.56,9,25,14
277,2.4574,2.2084,0.39,23,14,25
278,23.9356,31.9011,0.56,9,25,14
279,2.7149,2.1553,0.22,23,14,25
280,31.7633,31.7483,0.56,9,25,14
281,2.3331,2.2636,0.22,23,14,25
282,23.9939,27.285,0.33,9,25,14
283,2.9171,2.8258,0.32,22,14,24
284,18.3294,33.4261,0.75,8,24,14
285,3.0227,3.0034,0.23,22,14,24
286,18.38,40.0,0.5,8,24,14
287,3.4755,3.1363,0.24,21,14,23
288,18.1856,18.1672,1.0,7,23,14
289,3.2492,3.1179,0.29,21,14,23
290,18.1672,18.2228,0.43,7,23,14
291,3.1635,3.1531,0.38,21,14,23
292,18.1178,18.1361,0.71,7,23,14
293,3.3448,3.3547,0.19,21,14,23
294,18.2094,18.2228,0.57,7,23,14
295,3.3916,3.169,0.24,21,14,23
296,18.6778,18.245,0.57,7,23,14
297,3.5,3.6154,0.24,21,14,23
298,18.76,21.3511,0.29,7,23,14
299,3.7223,3.6004,0.24,21,14,23
300,20.0378,20.36,1.0,7,23,14
301,3.232,3.5593,0.24,21,14,23
302,24.2067,19.4683,0.71,7,23,14
303,3.3601,3.3261,0.24,21,14,23
304,20.0,31.7256,1.0,7,23,14
305,3.6457,2.9685,0.14,21,14,23
306,26.6906,20.4356,0.71,7,23,14
307,3.3936,3.5853,0.24,21,14,23
308,18.7117,22.35,0.71,7,23,14
309,3.4927,3.1198,0.1,21,14,23
310,28.6094,24.9517,0.71,7,23,14
311,3.3751,3.2085,0.33,21,14,23
312,25.6133,31.3261,1.0,7,23,14
313,3.5032,2.8804,0.14,21,14,23
314,24.9139,29.6744,1.0,7,23,14
315,3.5159,2.995,0.14,21,14,23
316,35.4544,31.7844,1.0,7,23,14
317,3.3,3.1837,0.19,21,14,23
318,29.5422,25.5906,0.43,7,23,14
319,3.3055,3.4068,0.24,21,14,23
320,22.6228,19.3256,1.0,7,23,14
321,3.4013,3.3124,0.14,21,14,23
322,19.6828,19.6128,1.0,7,23,14
323,3.2625,2.7684,0.1,21,14,23
324,20.135,21.555,1.0,7,23,14
325,3.3422,3.0407,0.19,21,14,23
326,21.9556,18.525,0.71,7,23,14
327,3.4298,3.2734,0.29,21,14,23
328,19.2667,36.2544,0.29,7,23,14
329,3.6333,3.7961,0.2,20,14,22
330,19.3767,19.4967,1.0,6,22,14
331,3.8758,3.4368,0.25,20,14,22
332,19.0689,19.4139,0.5,6,22,14
333,3.8465,3.1899,0.1,20,14,22
334,17.47,19.425,0.5,6,22,14
335,3.8862,3.9226,0.2,20,14,22
336,20.9156,19.0711,0.33,6,22,14
337,3.7667,3.4255,0.3,20,14,22
338,21.7239,18.6711,0.67,6,22,14
339,3.8405,3.4163,0.15,20,14,22
340,19.3767,19.7972,1.0,6,22,14
341,3.7356,3.7268,0.3,20,14,22
342,20.9139,25.2483,0.67,6,22,14
343,3.8736,3.9257,0.2,20,14,22
344,27.8522,30.53,0.67,6,22,14
345,4.0081,3.8553,0.25,20,14,22
346,24.2878,25.0928,0.5,6,22,14
347,3.7845,4.0095,0.2,20,14,22
348,22.7972,26.9706,0.67,6,22,14
349,3.6647,3.2252,0.2,20,14,22
350,25.0039,22.105,1.0,6,22,14
351,3.8366,4.1273,0.15,20,14,22
352,23.23,27.0483,0.5,6,22,14
353,3.6496,4.0494,0.3,20,14,22
354,26.6261,22.9472,0.5,6,22,14
355,3.7845,3.6731,0.4,20,14,22
356,21.9872,33.1044,0.67,6,22,14
357,3.7144,3.5124,0.3,20,14,22
358,20.5872,21.6711,0.5,6,22,14
359,3.5845,3.5833,0.25,20,14,22
360,19.3872,20.0044,0.17,6,22,14
361,3.6915,3.6423,0.45,20,14,22
362,21.2272,19.8428,0.67,6,22,14
363,3.9242,3.6181,0.35,20,14,22
364,25.125,23.125,0.67,6,22,14
365,3.6216,3.6281,0.25,20,14,22
366,25.525,30.8444,0.67,6,22,14
367,4.1325,3.2408,0.3,20,14,22
368,33.505,30.7833,0.67,6,22,14
369,3.7157,3.7379,0.45,20,14,22
370,28.4889,28.5278,1.0,6,22,14
371,3.7298,4.1139,0.2,20,14,22
372,31.2217,28.65,1.0,6,22,14
373,3.9347,3.9706,0.25,20,14,22
374,18.1261,21.3483,0.67,6,22,14
375,3.6671,3.7038,0.25,20,14,22
376,18.9156,19.0867,0.67,6,22,14
377,3.7425,3.667,0.2,20,14,22
378,17.8361,17.48,1.0,6,22,14
379,3.7183,3.5562,0.25,20,14,22
380,20.8683,18.5767,0.67,6,22,14
381,4.2668,3.3373,0.35,20,14,22
382,17.8644,18.5217,0.67,6,22,14
383,3.5957,4.1015,0.25,20,14,22
384,18.3206,17.8144,0.67,6,22,14
385,4.0298,3.4791,0.3,20,14,22
386,20.47,17.8089,1.0,6,22,14
387,3.5693,3.8626,0.25,20,14,22
388,18.5972,19.5678,0.67,6,22,14
389,3.8731,4.0368,0.35,20,14,22
390,19.2856,19.7728,0.67,6,22,14
391,4.5094,4.6244,0.35,20,14,22
392,18.71,17.9217,1.0,5,21,14
393,5.4125,4.4284,0.32,19,14,21
394,19.5267,19.815,1.0,5,21,14
395,4.9671,4.3923,0.32,19,14,21
396,19.2261,18.2211,1.0,5,21,14
397,5.16,5.7039,0.32,19,14,21
398,18.3044,19.5978,0.6,5,21,14
399,5.1166,4.9759,0.21,19,14,21
400,18.8311,18.6833,1.0,5,21,14
401,5.3173,11.861,0.32,19,14,21
402,17.4722,18.5822,0.6,5,21,14
403,5.0842,4.9158,0.42,19,14,21
404,18.7433,18.7722,0.6,5,21,14
405,5.4965,5.7217,0.21,19,14,21
406,18.7544,18.0278,1.0,5,21,14
407,5.5832,5.4092,0.26,19,14,21
408,19.2278,19.0267,1.0,5,21,14
409,5.5936,5.7762,0.37,19,14,21
410,18.2939,19.2211,1.0,5,21,14
411,5.173,5.0468,0.21,19,14,21
412,17.7833,18.3544,1.0,5,21,14
413,4.822,4.8974,0.32,19,14,21
414,18.4878,18.4661,0.6,5,21,14
415,4.8625,5.0516,0.37,19,14,21
416,18.7261,18.4044,1.0,5,21,14
417,4.9508,5.3456,0.21,19,14,21
418,16.6278,16.7272,0.6,5,20,14
419,5.3839,12.3846,0.17,18,14,20
420,16.7778,16.6778,1.0,5,20,14
421,5.476,5.5301,0.28,18,14,20
422,16.6556,16.5056,1.0,5,20,14
423,5.263,5.5941,0.33,18,14,20
424,16.65,16.7111,1.0,5,20,14
425,5.3839,5.4421,0.44,18,14,20
426,16.7056,16.7056,0.6,5,20,14
427,5.1433,5.646,0.17,18,14,20
428,16.6056,16.7056,1.0,5,20,14
429,5.1848,4.8912,0.22,18,14,20
430,16.7778,16.7556,0.6,5,20,14
431,5.0408,8.5829,0.22,18,14,20
432,16.7167,16.7778,0.6,5,20,14
433,5.158,5.3086,0.39,18,14,20
434,16.7222,16.65,0.6,5,20,14
435,5.2138,5.1467,0.39,18,14,20
436,16.6389,16.65,1.0,5,20,14
437,5.4748,8.7058,0.28,18,14,20
438,16.7217,16.75,0.2,5,20,14
439,5.814,4.8462,0.28,18,14,20
440,16.7889,16.7494,1.0,5,20,14
441,5.2301,5.8485,0.39,18,14,20
442,16.4944,16.7383,1.0,5,20,14
443,5.5732,8.9412,0.22,18,14,20
444,16.755,16.7889,0.6,5,20,14
445,5.3929,5.5741,0.17,18,14,20
446,16.8833,16.5889,1.0,5,20,14
447,5.2138,5.8022,0.33,18,14,20
448,16.6944,16.8333,1.0,5,20,14
449,5.1177,8.6732,0.28,18,14,20
450,16.4111,16.7778,0.6,5,20,14
451,4.9838,8.9302,0.22,18,14,20
452,16.7222,16.6778,0.6,5,20,14
453,5.0025,4.7796,0.39,18,14,20
454,16.7944,16.7272,1.0,5,20,14
455,5.0404,9.0379,0.28,18,14,20
456,16.8278,16.8444,0.6,5,20,14
457,4.9812,8.5408,0.22,18,14,20
458,16.8444,16.6494,1.0,5,20,14
459,5.2012,5.568,0.33,18,14,20
460,16.55,16.6556,1.0,5,20,14
461,5.1062,8.5112,0.33,18,14,20
462,16.8661,16.655,1.0,5,20,14
463,5.1476,5.0229,0.39,18,14,20
464,16.6889,16.8111,0.6,5,20,14
465,5.0442,8.5967,0.33,18,14,20
466,16.8056,16.6056,1.0,5,20,14
467,5.3944,11.9812,0.33,18,14,20
468,16.5944,16.7606,0.6,5,20,14
469,5.2957,5.1071,0.39,18,14,20
470,16.7278,16.8933,1.0,5,20,14
471,4.9446,5.1175,0.28,18,14,20
472,16.8222,16.7278,0.6,5,20,14
473,5.0342,4.8817,0.39,18,14,20
474,16.8828,16.8944,1.0,5,20,14
475,4.9092,5.0226,0.22,18,14,20
476,16.7494,16.4489,1.0,5,20,14
477,4.8783,5.4617,0.33,18,14,20
478,16.605,16.6606,1.0,5,20,14
479,4.8617,4.8462,0.33,18,14,20
480,16.655,16.7944,1.0,5,20,14
481,5.1996,5.6209,0.28,18,14,20
482,16.7556,16.6717,0.6,5,20,14
483,4.7879,4.9991,0.22,18,14,20
484,16.7994,16.8494,0.2,5,20,14
485,4.8912,5.3992,0.33,18,14,20
486,16.5778,16.6778,1.0,5,20,14
487,5.0004,5.6586,0.39,18,14,20
488,16.8828,16.8611,0.6,5,20,14
489,4.7562,6.5113,0.28,18,14,20
490,16.9111,16.7944,1.0,5,20,14
491,5.4235,4.8432,0.33,18,14,20
492,16.8222,16.8111,0.6,5,20,14
493,5.1076,6.3307,0.22,18,14,20
494,16.6167,16.7944,0.2,5,20,14
495,4.9575,8.9574,0.44,18,14,20
496,16.7106,16.7667,0.6,5,20,14
497,5.0725,5.0738,0.33,18,14,20
498,16.6717,16.615,0.6,5,20,14
499,5.1821,5.0854,0.28,18,14,20
500,16.7222,16.7333,1.0,5,20,14
501,4.8788,4.7929,0.33,18,14,20
502,15.91,16.4667,1.0,5,20,14
503,5.2181,8.9484,0.39,18,14,20
504,16.6222,16.0556,1.0,5,20,14
505,4.997,5.6038,0.44,18,14,20
506,16.7333,16.5722,0.6,5,20,14
507,5.0308,6.2887,0.33,18,14,20
508,15.6056,16.3722,1.0,5,20,14
509,5.1316,9.0212,0.39,18,14,20
510,16.2,16.3111,1.0,5,20,14
511,9.4648,6.5151,0.33,18,14,20
512,15.7889,16.0328,1.0,5,20,14
513,6.6635,9.9974,0.33,18,14,20
514,16.1778,16.0556,0.6,5,20,14
515,6.1505,36.5817,0.33,18,14,20
516,16.1944,16.1056,1.0,5,20,14
517,9.8901,6.7076,0.33,18,14,20
518,16.0556,15.6667,0.6,5,20,14
519,6.1195,23.273,0.28,18,14,20
520,15.7439,16.0278,1.0,5,20,14
521,5.9344,5.8752,0.44,18,14,20
522,15.6611,15.6722,0.6,5,20,14
523,6.7239,29.6817,0.33,18,14,20
524,16.0383,15.7994,1.0,5,20,14
525,5.5332,23.0146,0.39,18,14,20
526,16.5606,15.9939,1.0,5,20,14
527,6.7595,19.9052,0.33,18,14,20
528,16.2611,16.55,0.6,5,20,14
529,6.1444,6.2102,0.5,18,14,20
530,16.45,16.2111,1.0,5,20,14
531,6.7777,23.4369,0.33,18,14,20
532,16.0333,16.3833,1.0,5,20,14
533,6.3258,19.5028,0.22,18,14,20
534,16.2939,15.7889,1.0,5,20,14
535,5.8884,10.7883,0.39,18,14,20
536,16.1667,16.2944,1.0,5,20,14
537,6.683,6.9498,0.5,18,14,20
538,16.2778,15.4944,1.0,5,20,14
539,7.5098,15.8014,0.28,18,14,20
540,16.5772,16.0,1.0,5,20,14
541,8.3017,23.6716,0.28,18,14,20
542,16.6328,16.1994,1.0,5,20,14
543,7.5414,36.6643,0.33,18,14,20
544,16.7111,17.3328,1.0,5,20,13
545,4.8955,4.2048,0.35,17,13,20
546,17.8544,18.2533,1.0,5,20,13
547,4.8833,11.1479,0.41,17,13,20
548,18.9072,18.2094,1.0,5,20,13
549,4.5019,3.8575,0.29,17,13,20
550,22.5922,18.1683,1.0,5,20,13
551,4.4688,4.1633,0.24,17,13,20
552,22.0533,24.8872,0.2,5,20,13
553,4.7719,3.9683,0.24,17,13,20
554,17.6089,26.305,0.6,5,20,13
555,4.7348,3.9833,0.41,17,13,20
556,18.5344,17.3039,1.0,5,20,13
557,-0.5829,4.0362,0.47,17,13,20
558,24.2272,26.1994,1.0,5,20,13
559,4.2393,4.521,0.24,17,13,20
560,24.1383,26.915,1.0,5,20,13
561,-0.15,11.6146,0.29,17,13,20
562,35.3167,35.2444,1.0,5,20,13
563,-4.9792,2.7817,0.5,16,12,20
564,37.5889,35.4889,1.0,5,20,12
