move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.5549,11.0872,0.1,40,40,40
2,7.545,7.7948,0.12,40,40,40
4,7.6121,7.5916,0.1,39,40,39
6,7.8326,7.8106,0.13,38,40,38
8,7.499,11.8621,0.13,38,40,38
10,7.3357,7.9201,0.11,37,39,37
12,7.0297,6.6792,0.25,36,38,37
14,6.7898,6.6649,0.06,35,36,37
16,6.7869,6.8156,0.2,35,35,36
18,7.4501,16.7218,0.26,35,35,36
20,7.4083,7.2383,0.18,34,35,35
22,7.1169,10.8203,0.15,34,35,35
24,6.3484,5.8867,0.09,33,34,35
26,6.2159,6.5408,0.24,33,34,35
28,8.0912,27.0254,0.15,33,34,35
30,8.0984,10.058,0.18,33,34,35
32,7.1759,7.4634,0.12,32,33,34
34,8.3094,8.1353,0.09,32,33,33
36,6.6546,6.5725,0.13,31,32,33
38,6.4654,6.6753,0.26,31,32,33
40,6.2921,6.044,0.17,30,31,33
42,6.186,6.1679,0.17,30,31,33
44,6.191,5.6066,0.13,30,31,33
46,6.3289,9.5512,0.13,30,31,33
48,6.1973,6.4061,0.07,30,31,33
50,6.2941,16.4383,0.14,29,31,32
52,6.4751,6.5344,0.07,29,31,32
54,6.0405,5.5699,0.1,29,30,32
56,6.9229,6.8734,0.24,29,30,31
58,6.8363,7.6294,0.14,29,30,31
60,5.7772,5.7736,0.18,28,29,31
62,5.7531,26.2588,0.36,28,29,31
64,5.4688,12.0923,0.18,28,29,31
66,4.8344,11.8536,0.07,28,28,31
68,4.5761,4.9403,0.25,28,28,31
70,4.8766,5.4401,0.04,28,28,31
72,5.1659,22.693,0.21,28,28,31
74,4.8957,5.2252,0.23,26,27,30
76,5.8514,5.8355,0.19,26,27,29
78,5.9438,5.8507,0.15,26,27,29
80,6.1336,9.3924,0.31,26,27,29
82,6.0015,5.934,0.12,26,27,29
84,6.3734,6.3084,0.19,26,27,29
86,6.2558,6.2028,0.15,26,27,29
88,6.3946,6.6094,0.04,26,27,29
90,6.4652,6.3739,0.28,25,27,28
92,6.6163,6.5518,0.29,24,26,27
94,6.6189,36.6455,0.17,24,26,27
96,6.393,6.5115,0.13,23,25,27
98,6.4866,13.183,0.26,23,25,27
100,6.6085,6.5183,0.3,23,24,26
102,6.8302,6.9366,0.22,23,24,26
104,6.9116,7.3655,0.13,23,24,26
106,6.9175,6.6,0.27,22,24,25
108,6.6934,7.2471,0.09,22,24,25
110,6.4226,10.0704,0.41,22,24,25
112,6.0218,6.0387,0.23,22,23,25
114,5.9818,5.91,0.27,22,23,25
116,6.1568,9.3374,0.27,22,23,25
118,6.5138,6.1554,0.14,22,23,25
120,6.6994,6.5558,0.14,21,22,25
122,6.9728,7.3056,0.14,21,22,24
124,7.0599,7.1421,0.24,21,22,24
126,7.0164,7.0599,0.29,21,22,24
128,7.0544,7.219,0.29,21,22,24
130,7.981,7.7444,0.33,21,22,24
132,8.4054,8.37,0.19,21,22,24
134,7.5197,7.8258,0.25,20,20,24
136,9.0721,8.2163,0.2,20,20,23
138,8.6024,9.1802,0.25,20,20,23
140,8.6362,9.1355,0.05,20,20,23
142,8.6446,9.2594,0.2,20,20,23
144,9.8169,8.7224,0.15,20,20,23
146,9.6888,9.0102,0.25,20,20,23
148,9.0641,10.3649,0.35,20,20,23
150,9.7626,10.1218,0.15,20,20,23
152,10.524,10.3024,0.32,19,20,22
154,9.9613,10.5072,0.26,19,20,22
156,9.3846,9.5585,0.26,19,20,22
158,10.3899,10.2682,0.21,19,20,22
160,9.8175,10.2871,0.28,18,20,21
162,11.1795,19.2354,0.28,18,20,21
164,10.6885,28.5021,0.11,18,20,21
166,11.8224,20.626,0.22,18,20,21
168,10.6883,40.0,0.22,18,20,21
170,11.2083,9.5636,0.24,17,19,20
172,11.8521,11.0081,0.24,17,19,20
174,11.3197,11.5943,0.24,17,19,20
176,10.8886,11.319,0.12,17,19,20
178,11.0088,19.5529,0.29,17,19,20
180,5.6424,10.5821,0.18,17,19,20
182,11.6212,10.4121,0.18,17,19,20
184,0.5386,-9.4724,0.25,16,18,20
186,10.9331,9.76,0.44,16,17,19
188,10.2529,9.76,0.44,16,17,19
