move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.3211,7.5111,0.2,40,40,40
2,7.6349,7.5981,0.15,40,40,40
4,7.6057,40.0,0.08,39,40,39
6,7.647,7.8144,0.08,38,39,39
8,8.3137,9.0824,0.19,37,39,38
10,7.7083,9.5373,0.24,37,39,38
12,8.062,10.7852,0.14,36,38,37
14,7.7896,11.7664,0.06,36,38,37
16,7.7084,6.9374,0.06,36,38,37
18,7.9339,8.2202,0.19,36,38,37
20,8.9231,18.5654,0.09,35,38,36
22,9.396,10.4687,0.12,33,38,34
24,9.5786,9.5362,0.09,32,38,33
26,9.5046,13.019,0.31,32,38,33
28,9.5341,30.968,0.16,32,38,33
30,9.7903,19.599,0.26,31,38,32
32,11.0751,25.6399,0.1,30,38,31
34,11.7675,15.1461,0.14,29,38,30
36,12.3879,14.4967,0.24,29,37,29
38,11.7281,11.613,0.28,29,37,29
40,10.1565,10.2628,0.11,28,36,29
42,10.5162,10.42,0.22,27,35,28
44,10.2746,10.362,0.19,27,35,28
46,10.2899,10.496,0.26,27,35,28
48,10.4629,10.4542,0.19,27,35,28
50,10.2802,10.4922,0.15,27,35,28
52,10.7907,10.6118,0.26,27,35,28
54,10.0852,10.7339,0.33,27,35,28
56,10.634,10.6633,0.22,27,35,28
58,11.5687,11.9678,0.3,27,35,28
60,11.4144,12.3827,0.23,26,35,27
62,11.6633,11.5385,0.2,25,34,26
64,11.8874,12.3682,0.08,24,34,25
66,11.985,12.5128,0.25,24,34,25
68,12.331,12.0822,0.22,23,33,24
70,12.8488,34.4427,0.26,23,33,24
72,12.4742,11.8652,0.09,22,32,24
74,12.7164,12.5823,0.23,22,32,24
76,13.2103,13.1913,0.19,21,32,23
78,13.2154,13.171,0.1,21,32,23
80,13.2886,13.2825,0.19,21,32,23
82,13.4333,15.9447,0.24,21,32,23
84,13.2399,16.1392,0.14,21,32,23
86,13.9234,14.2377,0.05,20,32,22
88,15.3017,14.8651,0.2,20,32,22
90,16.1877,17.7258,0.21,19,32,21
92,15.742,18.0357,0.05,19,32,21
94,16.7431,15.7807,0.26,19,32,21
96,17.1688,17.1821,0.16,19,32,21
98,18.8193,18.7768,0.0,18,32,20
100,19.2205,25.618,0.12,17,32,19
102,20.452,18.813,0.19,16,32,18
104,17.1165,17.1573,0.33,15,31,18
106,17.1369,26.3749,0.33,15,31,18
108,17.0604,26.4132,0.2,15,31,18
110,17.04,17.1627,0.33,15,31,18
112,17.0604,19.4012,0.2,15,31,18
114,17.0762,19.4327,0.13,15,31,18
116,17.1015,23.9408,0.33,15,31,18
118,17.0965,17.1677,0.2,15,31,18
120,17.06,40.0,0.13,15,31,18
122,16.9635,19.4213,0.14,14,30,18
124,16.9531,16.9327,0.36,14,30,18
126,16.9685,23.8485,0.14,14,30,18
128,16.9585,16.9173,0.14,14,30,18
130,17.0196,19.2585,0.21,14,30,18
132,16.9377,17.0385,0.29,14,30,18
134,16.9888,16.9842,0.21,14,30,18
136,16.9738,17.06,0.07,14,30,18
138,16.9635,17.0872,0.14,14,30,18
140,16.9892,19.1558,0.36,14,30,18
142,17.1092,19.3246,0.21,14,30,18
144,16.7531,21.7879,0.29,14,30,18
146,16.9373,17.0913,0.36,14,30,18
148,17.0035,19.2219,0.21,14,30,18
150,16.8238,17.2064,0.36,14,30,18
152,16.9112,16.9365,0.64,14,30,18
154,17.1115,17.4605,0.14,14,30,18
156,16.7058,17.1094,0.29,14,30,18
158,16.7012,19.5255,0.21,14,30,18
160,16.3981,16.4135,0.46,13,29,18
162,16.6091,18.7242,0.46,13,29,18
164,16.3777,21.2168,0.38,13,29,18
166,16.3727,21.1419,0.23,13,29,18
168,16.3215,18.8287,0.15,13,29,18
170,16.3623,16.3269,0.46,13,29,18
172,16.3523,18.6885,0.23,13,29,18
174,16.5142,35.2969,0.23,13,29,18
176,16.6358,16.2554,0.33,12,28,18
178,16.4722,21.0991,0.33,12,28,18
180,16.4535,17.1653,0.42,12,28,18
182,16.5768,16.7377,0.17,12,28,18
184,16.6074,17.8304,0.25,12,28,18
186,17.5333,17.4267,0.42,12,28,18
188,18.0106,18.5445,0.33,12,28,17
190,18.798,18.7527,0.33,12,28,17
192,18.5741,18.5656,0.25,12,28,17
194,16.6567,16.7033,0.45,11,27,17
196,16.6717,16.58,0.55,11,27,17
198,16.805,16.705,0.55,11,27,17
200,16.6767,21.2317,0.18,11,27,17
202,16.6683,16.725,0.64,11,27,17
204,16.8635,17.0633,0.45,11,27,17
206,17.242,17.3245,0.64,11,27,17
208,16.6467,17.39,0.27,11,27,17
210,17.3585,37.655,0.64,11,27,17
212,17.5002,31.0503,0.27,11,27,17
214,17.3782,24.6044,0.36,11,27,17
216,17.3511,26.4517,0.36,11,27,17
218,17.0726,22.3158,0.18,11,27,17
220,17.0118,17.5759,0.36,11,27,17
222,17.4264,17.4531,0.45,11,27,17
224,17.4121,22.1867,0.36,11,27,17
226,17.2444,17.3327,0.45,11,27,17
228,18.2083,18.6246,0.27,11,27,17
230,19.0776,24.8332,0.09,11,27,17
232,18.1623,19.3938,0.18,11,27,17
234,18.4177,23.9011,0.1,10,27,16
236,18.0467,26.9295,0.22,9,26,16
238,18.3139,22.2182,0.22,9,26,16
240,17.2182,18.1314,0.44,9,26,16
242,17.3382,22.1436,0.33,9,26,16
244,17.9055,22.1055,0.33,9,26,16
246,17.4291,17.5936,0.44,9,26,16
248,17.8145,17.3805,0.22,9,26,16
250,17.5836,24.9116,0.11,9,26,16
252,17.4045,17.9541,0.56,9,26,16
254,17.3741,18.2841,0.67,9,26,16
256,17.8,32.0172,0.44,9,26,16
258,18.1532,27.1761,0.22,9,26,16
260,17.79,29.2227,0.11,9,26,16
262,17.8577,18.1086,0.44,9,26,16
264,18.1323,28.8927,0.22,9,26,16
266,18.6775,33.4941,0.33,9,26,16
268,18.5277,27.1773,0.22,9,26,16
270,18.4091,18.2155,0.44,9,26,16
272,17.7745,40.0,0.11,9,26,16
274,17.215,18.2336,0.5,8,25,16
276,18.4312,18.6268,0.5,8,25,16
278,18.9956,25.4939,0.25,8,25,15
280,18.77,25.205,0.12,8,25,15
282,18.88,18.935,0.38,8,25,15
284,19.1667,18.755,0.25,8,25,15
286,18.955,18.59,0.38,8,25,15
288,19.0856,19.2167,0.38,8,25,15
290,19.5094,18.9944,0.38,8,25,15
292,19.3028,20.2356,0.25,8,25,15
294,18.9661,18.12,0.71,7,25,14
296,19.0561,17.965,0.29,7,25,14
298,18.9394,40.0,0.29,7,25,14
300,18.9056,18.6439,0.33,6,24,14
302,18.225,18.085,0.67,6,24,14
304,18.7739,18.2289,0.67,6,24,14
306,18.51,18.47,0.67,6,24,14
308,18.8678,18.13,0.33,6,24,14
310,18.3539,17.935,0.5,6,24,14
312,18.7056,19.5522,0.5,6,24,14
314,18.97,19.3783,0.6,5,23,13
316,19.2967,19.1128,0.5,4,23,12
318,19.1783,19.3017,1.0,4,23,12
320,19.2794,19.1144,0.5,4,23,12
322,19.1606,19.2894,1.0,4,23,12
324,19.19,19.1456,0.5,4,23,12
326,19.2722,19.3167,0.5,4,23,12
328,19.3878,19.1428,0.5,4,23,12
330,19.2544,19.5406,0.5,4,23,12
332,19.3328,20.67,0.5,4,23,12
334,21.9733,25.805,1.0,4,23,12
336,21.1167,24.195,0.5,4,23,12
338,29.0428,23.7683,1.0,4,23,12
340,25.0928,25.6783,1.0,4,23,12
342,24.7822,23.8778,0.5,4,23,12
344,31.8256,22.9256,1.0,4,23,12
346,20.0039,24.5878,1.0,4,23,12
348,26.7828,23.835,0.5,4,23,12
350,30.7078,26.4611,0.5,4,23,12
352,24.5089,27.9506,0.5,4,23,12
354,20.6478,20.2578,0.5,4,23,12
356,20.5139,24.7144,0.5,4,23,12
358,25.845,24.7094,1.0,4,23,12
360,21.7111,27.5789,0.5,4,23,12
362,25.5422,38.2433,0.5,4,23,12
364,30.1017,28.3344,0.5,4,23,12
366,23.7178,28.9111,1.0,4,23,12
368,23.7889,23.4544,0.5,4,23,12
370,22.6144,27.1811,0.5,4,23,12
372,26.5983,23.0011,0.5,4,23,12
374,20.6033,24.4539,1.0,4,23,12
376,27.8911,24.3272,0.5,4,23,12
378,23.9272,24.2283,1.0,4,23,12
380,23.895,26.705,0.5,4,23,12
382,22.4839,26.04,0.5,4,23,12
384,30.1139,32.2856,0.5,4,23,12
386,26.245,29.8456,1.0,4,23,12
388,29.3756,27.5478,0.5,4,23,12
390,25.2694,25.2856,1.0,4,23,12
392,25.2478,23.1017,0.5,4,23,12
394,22.9139,22.9417,0.5,4,23,12
396,23.3572,25.12,0.5,4,23,12
398,37.8389,40.0,0.5,4,23,12
400,37.8333,40.0,0.5,4,23,12
402,31.3611,40.0,1.0,4,23,12
404,35.5278,40.0,0.5,4,23,12
406,28.8722,33.7883,1.0,4,23,12
408,27.1928,29.1878,1.0,4,23,12
410,29.1222,29.2044,0.5,4,23,12
412,23.47,33.505,0.5,4,23,12
414,24.8861,27.2433,0.5,4,23,12
416,28.1033,23.765,1.0,4,23,12
418,31.205,33.6944,0.5,4,23,12
420,37.8389,31.3056,0.5,4,23,12
422,33.4333,31.2889,0.5,4,23,12
424,40.0,31.2778,0.5,4,23,12
426,33.5056,29.2383,0.5,4,23,12
428,25.4094,28.3867,0.5,4,23,12
430,33.4222,33.6944,1.0,4,23,12
432,40.0,35.6161,1.0,4,23,12
434,37.9278,31.4433,0.5,4,23,12
436,24.5106,25.9028,0.5,4,23,12
438,29.6594,32.2428,0.5,4,23,12
440,30.0194,27.2883,0.5,4,23,12
442,33.565,32.0317,1.0,4,23,12
444,36.1661,34.31,0.5,4,23,12
446,33.7372,33.91,0.5,4,23,12
448,38.1217,35.5439,1.0,4,23,12
450,35.4994,33.4439,1.0,4,23,12
452,40.0,33.3717,0.5,4,23,12
454,40.0,37.8383,1.0,4,23,12
456,35.6606,33.5056,0.5,4,23,12
458,35.5556,40.0,0.5,4,23,12
460,35.6494,40.0,0.5,4,23,12
462,33.3883,37.7717,0.5,4,23,12
464,33.3722,36.0328,0.5,4,23,12
466,38.2433,37.8333,0.5,4,23,12
468,21.5617,20.9633,1.0,4,23,12
470,21.8411,21.5139,0.5,4,23,12
472,24.0861,20.615,0.5,4,23,12
474,28.4067,31.525,1.0,4,23,12
476,30.035,31.6306,0.5,4,23,12
478,26.4961,21.9128,1.0,4,22,12
480,25.1489,30.9417,1.0,4,22,12
482,23.7078,22.295,0.5,4,22,12
484,25.58,17.8078,0.33,3,22,11
486,33.2372,25.9644,1.0,3,22,11
488,17.7283,18.69,1.0,3,22,11
490,18.5178,21.3978,0.33,3,22,11
492,20.1906,18.7172,0.33,3,22,11
494,37.6056,40.0,1.0,3,22,11
496,37.6667,35.2717,1.0,3,22,11
498,28.6206,35.4606,1.0,3,22,11
500,33.0878,37.7556,1.0,3,22,11
502,23.9983,28.9761,0.33,3,22,11
504,40.0,37.6722,1.0,3,22,11
506,40.0,35.2772,1.0,3,22,11
508,35.2272,33.0272,1.0,3,22,11
510,35.41,32.9828,1.0,3,22,11
512,40.0,37.6994,1.0,3,22,11
514,30.8828,28.6156,0.33,3,22,11
516,31.2917,23.8989,0.33,3,22,11
518,40.0,40.0,1.0,3,22,11
520,37.6444,40.0,0.33,3,22,11
522,40.0,37.6056,1.0,3,22,11
524,26.2989,31.4267,0.33,3,22,11
526,33.4828,33.5217,1.0,3,22,11
528,30.3456,31.0822,1.0,3,22,11
530,33.1883,35.3333,1.0,3,22,11
532,31.0883,28.8883,1.0,3,22,11
534,35.4167,35.6939,1.0,3,22,11
536,31.5422,29.0428,0.33,3,22,11
