move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.535,7.7933,0.1,40,40,40
2,7.1721,6.9504,0.12,40,40,40
4,7.1332,7.1719,0.08,39,39,39
6,7.367,7.2541,0.11,38,38,39
8,7.4737,33.4781,0.18,38,38,39
10,7.5638,6.8108,0.19,37,37,39
12,7.1177,7.593,0.11,37,37,39
14,7.4331,11.2182,0.14,37,37,39
16,9.0725,8.9339,0.19,36,37,38
18,9.7739,10.2142,0.11,36,37,37
20,9.9023,12.4793,0.17,35,37,36
22,10.2236,12.0764,0.06,35,37,36
24,10.0087,10.3436,0.17,35,37,36
26,10.3533,13.4423,0.09,35,37,36
28,7.8586,7.5944,0.24,34,36,36
30,7.7701,8.7957,0.06,34,36,36
32,8.1458,8.3251,0.09,34,36,36
34,7.2461,7.4432,0.12,33,35,36
36,6.959,6.2615,0.12,33,34,36
38,6.742,7.7413,0.15,33,34,36
40,6.2027,22.5595,0.13,31,33,35
42,6.7768,10.6711,0.17,30,33,34
44,6.9467,7.5032,0.1,30,33,34
46,4.9625,12.2241,0.03,29,32,34
48,5.4312,5.1855,0.14,28,31,34
50,5.8796,5.5966,0.07,28,31,34
52,5.2008,5.61,0.14,28,30,34
54,6.6605,6.2999,0.07,28,30,33
56,6.6423,9.8688,0.04,28,30,33
58,6.5913,6.4111,0.18,28,30,33
60,5.9085,5.7632,0.11,28,29,32
62,6.599,7.0749,0.18,28,29,32
64,6.5771,10.5884,0.07,28,29,32
66,7.4136,23.6392,0.18,28,29,32
68,6.9163,6.951,0.12,26,28,31
70,6.5755,7.0039,0.28,25,28,30
72,6.9601,11.2691,0.16,25,28,30
74,7.4845,9.1342,0.21,24,28,29
76,6.3339,6.5834,0.09,23,27,29
78,7.4716,6.715,0.22,23,27,29
80,7.6394,7.4132,0.09,23,27,28
82,7.2535,6.7848,0.22,23,26,28
84,7.109,9.8035,0.3,23,26,28
86,6.6463,6.2232,0.13,23,25,28
88,6.6993,7.5574,0.09,23,25,28
90,6.9968,6.688,0.04,23,25,28
92,6.2728,6.1265,0.18,22,24,28
94,6.4781,6.4829,0.14,22,24,28
96,5.838,6.6965,0.18,22,24,28
98,6.1606,7.4492,0.18,22,24,28
100,7.0756,13.1329,0.14,22,24,28
102,5.4213,5.3059,0.14,22,23,28
104,6.4503,9.7285,0.27,22,23,28
106,7.6262,13.8973,0.27,22,23,28
108,7.6794,20.0558,0.19,21,23,27
110,8.5608,6.3829,0.19,21,23,27
112,6.6841,6.063,0.19,21,23,27
114,7.9628,33.5144,0.2,20,23,26
116,5.0807,5.6571,0.05,19,21,26
118,4.7707,5.0062,0.05,19,21,26
120,4.6474,4.4752,0.37,19,20,26
122,4.3874,3.9281,0.11,19,20,26
124,4.7802,4.5002,0.16,19,20,26
126,4.6667,4.651,0.05,19,20,26
128,4.5029,4.284,0.21,19,20,26
130,4.7984,3.7721,0.16,19,19,26
132,2.7429,4.3714,0.05,19,18,26
134,3.6139,3.3136,0.26,19,18,26
136,3.6964,3.3809,0.26,19,18,26
138,3.5638,4.9458,0.21,19,18,26
140,2.2252,2.2852,0.16,19,17,26
142,2.1867,2.2451,0.16,19,17,26
144,2.5425,2.4128,0.05,19,17,26
146,1.8782,6.8757,0.11,19,16,26
148,1.3263,0.9532,0.18,17,15,25
150,1.1661,1.0953,0.18,17,15,25
152,1.4268,1.3189,0.0,17,15,25
154,1.0971,0.7632,0.12,17,15,25
156,0.9355,1.1877,0.35,17,15,25
158,0.8455,1.1465,0.18,17,15,25
160,0.9057,0.9453,0.24,17,15,25
162,0.7282,1.2555,0.29,17,15,25
164,0.7126,0.1797,0.18,17,14,25
166,0.0158,0.0361,0.29,17,13,25
168,-0.9205,-0.6466,0.12,17,12,25
170,-0.9734,-0.8424,0.12,17,12,25
172,-1.1371,-1.7029,0.12,17,12,25
174,-0.9924,-1.3761,0.18,17,12,25
176,-1.8649,-1.7655,0.35,17,11,25
178,-2.3807,-14.2926,0.35,17,10,25
180,-3.0929,-3.0979,0.18,17,10,25
182,-5.7747,-0.8579,0.06,17,10,25
184,-10.1855,-1.1903,0.0,17,9,25
186,-6.1632,2.1021,0.47,17,9,25
188,-1.8307,35.7,0.18,17,9,25
190,-2.0379,-1.7429,0.06,17,9,25
192,-1.4546,-2.3585,0.29,17,9,25
194,-5.7215,-2.7106,0.24,17,9,25
196,1.7229,-5.4711,0.35,17,9,25
198,-6.045,-6.8869,0.12,17,9,25
200,-2.2802,-1.6528,0.12,17,9,25
202,-2.1678,1.6083,0.12,17,9,25
204,-2.7422,-2.2778,0.18,17,9,25
206,-2.4776,32.0,0.24,17,9,25
208,-2.413,-2.9213,0.18,17,9,25
210,-9.4312,22.8837,0.06,17,9,25
212,-5.8362,-6.3976,0.18,17,9,25
214,-14.1398,-14.1732,0.19,16,8,24
216,-6.4826,-6.8689,0.12,16,8,24
218,-13.3291,-21.5182,0.19,16,8,24
220,-32.6216,-32.5038,0.25,16,8,24
222,-17.4873,-17.7905,0.06,16,8,24
224,-40.0,-40.0,0.12,16,8,24
