move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,6.9477,6.9963,0.1,40,40,40
1,7.4534,7.7081,0.1,40,40,40
2,7.6336,7.0187,0.13,39,40,39
3,7.1668,6.3064,0.08,39,39,40
4,7.7469,7.3501,0.08,39,40,39
5,7.268,7.5889,0.08,39,39,40
6,7.6498,7.3377,0.21,39,40,39
7,6.9304,7.2863,0.1,39,39,40
8,7.5922,11.2877,0.13,38,40,38
9,6.8992,6.972,0.16,38,38,40
10,7.9825,7.9111,0.13,38,40,38
11,6.7973,7.6065,0.08,38,38,40
12,8.4791,30.5346,0.05,38,40,38
13,6.602,6.3261,0.08,37,37,40
14,7.3173,10.8326,0.11,36,39,37
15,7.718,6.8968,0.19,37,37,39
16,7.1856,7.2412,0.11,36,39,37
17,7.0698,10.2842,0.08,37,36,39
18,7.4924,7.6785,0.09,35,39,36
19,7.209,6.6676,0.05,37,36,39
20,7.3419,7.9539,0.11,35,39,36
21,7.4247,7.4303,0.11,37,35,38
22,7.3993,14.1729,0.09,34,38,35
23,7.0686,7.2093,0.11,37,35,38
24,7.5411,7.6,0.15,34,38,35
25,7.0724,7.1477,0.11,37,35,38
26,8.0537,8.0869,0.12,34,38,35
27,6.8858,7.0352,0.14,37,35,38
28,7.604,14.6389,0.06,34,38,35
29,7.2819,7.9872,0.14,37,34,37
30,7.3733,7.998,0.03,33,37,34
31,7.2227,7.7754,0.08,37,34,37
32,7.5571,8.5916,0.18,33,37,34
33,6.6885,7.6252,0.14,37,34,37
34,10.0506,8.8742,0.12,33,37,34
35,5.8959,5.576,0.14,36,33,37
36,10.617,9.8232,0.15,33,37,33
37,5.8117,5.4039,0.11,36,32,37
38,10.2429,17.8319,0.09,32,37,32
39,5.0202,4.8988,0.11,36,31,37
40,10.9557,10.4594,0.13,30,37,30
41,3.6766,3.8831,0.06,36,29,37
42,12.5982,20.9013,0.1,29,37,29
43,3.6065,3.8237,0.14,36,29,37
44,12.051,12.3364,0.24,29,37,29
45,2.9851,2.6258,0.14,36,28,37
46,14.0107,22.2269,0.11,27,37,27
47,2.0886,1.7636,0.14,36,26,37
48,15.1474,15.7362,0.0,25,37,25
49,2.5364,2.8957,0.14,36,25,36
50,12.7387,13.6857,0.17,24,36,25
51,2.829,6.5872,0.09,35,25,35
52,12.5071,12.4724,0.13,23,35,25
53,2.9195,2.7207,0.06,35,25,35
54,12.3553,15.3588,0.09,23,35,25
55,2.9636,2.8263,0.17,35,25,35
56,12.5592,26.27,0.04,23,35,25
57,2.8625,2.9282,0.14,35,25,35
58,12.465,15.2156,0.22,23,35,25
59,3.1371,2.9818,0.17,35,25,35
60,12.7492,18.2411,0.17,23,35,25
61,2.9373,2.9673,0.14,35,25,35
62,12.455,12.7641,0.13,23,35,25
63,2.9198,2.6396,0.14,35,25,35
64,12.6587,12.6738,0.17,23,35,25
65,2.372,3.1519,0.17,35,25,35
66,12.7965,12.6313,0.17,23,35,25
67,2.8303,14.6281,0.17,35,25,35
68,13.1798,12.9977,0.13,23,35,25
69,3.6818,1.9206,0.12,34,24,35
70,12.8852,14.1837,0.23,22,35,24
71,3.4645,2.8524,0.26,34,24,34
72,11.6793,11.7048,0.24,21,34,24
73,4.1311,4.3584,0.24,34,24,34
74,11.7397,17.32,0.19,21,34,24
75,4.0921,4.1177,0.24,34,24,34
76,11.7115,11.7002,0.1,21,34,24
77,3.7414,4.2045,0.18,34,24,34
78,11.656,11.6271,0.15,20,33,24
79,4.0991,4.0409,0.18,33,24,33
80,11.9522,12.0861,0.25,20,33,24
81,3.4501,3.4709,0.19,32,23,33
82,12.4033,12.5652,0.15,20,33,23
83,3.5585,3.7127,0.22,32,23,33
84,12.3264,20.771,0.25,20,33,23
85,3.3469,3.4772,0.19,31,23,32
86,12.3364,12.3372,0.37,19,32,23
87,3.75,3.6499,0.19,31,23,32
88,12.4324,13.0361,0.26,19,32,23
89,3.7367,3.7735,0.23,30,23,31
90,12.2231,12.3141,0.22,18,31,23
91,3.841,4.3735,0.13,30,23,31
92,12.0756,12.7497,0.33,18,31,23
93,3.8106,3.79,0.17,30,23,31
94,13.9583,12.9029,0.22,18,31,23
95,3.6527,3.5229,0.17,30,23,31
96,14.0708,15.1572,0.22,18,31,23
97,3.6465,6.7562,0.1,30,22,31
98,14.7571,14.7578,0.24,17,31,22
99,3.1484,3.0688,0.2,30,21,31
100,15.5768,37.3717,0.25,16,31,21
101,3.1729,2.4452,0.13,30,20,31
102,15.0523,23.0782,0.33,15,31,20
103,2.5195,2.5804,0.2,30,20,31
104,16.0245,33.4403,0.07,15,31,20
105,1.2432,1.8343,0.23,30,19,31
106,17.039,31.271,0.43,14,31,19
107,1.187,1.5927,0.27,30,19,31
108,17.0555,40.0,0.29,14,31,19
109,1.9723,2.6262,0.13,30,19,31
110,17.6077,18.8152,0.36,14,31,19
111,2.0125,1.4147,0.1,30,19,31
112,16.4397,40.0,0.21,14,31,19
113,3.5917,1.8897,0.2,30,19,31
114,17.2998,37.7667,0.5,14,31,19
115,2.6958,2.3118,0.17,30,19,30
116,14.7459,17.6941,0.31,13,30,19
117,2.6452,2.224,0.3,30,19,30
118,14.64,14.897,0.23,13,30,19
119,2.8353,2.596,0.13,30,19,30
120,15.1662,14.9397,0.38,13,30,19
121,3.0425,2.4897,0.2,30,19,30
122,15.8711,20.6278,0.38,13,30,19
123,1.7729,1.729,0.28,29,18,30
124,15.724,18.3597,0.08,12,30,18
125,2.2693,2.4126,0.14,29,18,30
126,16.0905,21.2843,0.33,12,30,18
127,2.8052,2.0982,0.14,29,18,30
128,16.3391,20.3717,0.42,12,30,18
129,2.8605,2.4485,0.14,29,18,30
130,15.7258,37.65,0.33,12,30,18
131,2.7246,6.235,0.28,29,18,30
132,15.6412,15.6008,0.25,12,30,18
133,2.4171,2.4048,0.1,29,18,30
134,16.1526,15.7673,0.33,12,30,18
135,2.5492,1.8687,0.28,29,18,30
136,15.776,15.8294,0.42,12,30,18
137,2.7289,2.7344,0.21,29,18,30
138,15.68,40.0,0.42,12,30,18
139,2.7293,2.1102,0.18,28,18,29
140,15.7064,30.4008,0.36,11,29,18
141,3.0681,2.5344,0.21,28,18,29
142,15.9082,20.5303,0.36,11,29,18
143,2.4524,2.2974,0.14,28,18,29
144,15.811,23.0469,0.36,11,29,18
145,2.7949,2.6854,0.29,28,18,29
146,15.7227,27.9709,0.55,11,29,18
147,2.8819,2.6638,0.18,28,18,29
148,16.6094,18.0019,0.27,11,29,18
149,3.2924,2.8629,0.21,28,18,29
150,16.6278,16.2055,0.45,11,29,18
151,3.2148,2.5117,0.25,28,18,29
152,16.2329,20.9971,0.36,11,29,18
153,3.0764,2.6291,0.14,28,18,29
154,17.2487,19.6037,0.36,11,29,18
155,3.3107,3.08,0.11,28,18,29
156,16.8717,27.7277,0.27,11,29,18
157,3.7451,2.9415,0.14,28,18,29
158,17.3495,19.0653,0.55,11,29,18
159,3.6946,2.8422,0.25,28,18,29
160,16.9235,21.5323,0.5,10,29,17
161,2.0042,2.3309,0.18,28,17,29
162,18.7219,35.7077,0.4,10,29,17
163,4.713,3.9754,0.22,27,17,28
164,18.3965,17.832,0.78,9,28,17
165,1.781,2.5792,0.11,27,16,28
166,18.5818,35.6727,0.33,9,28,16
167,3.4727,3.6547,0.15,27,16,27
168,17.4473,17.6145,0.25,8,27,16
169,3.4029,2.9173,0.33,27,16,27
170,17.3814,19.6736,0.25,8,27,16
171,2.7483,2.6717,0.15,27,16,27
172,17.4855,17.595,0.5,8,27,16
173,3.4519,3.2294,0.15,27,16,27
174,17.5255,17.2323,0.5,8,27,16
175,3.2208,2.8251,0.15,27,16,27
176,17.1273,19.4168,0.12,8,27,16
177,3.2832,3.0326,0.11,27,16,27
178,17.3764,21.7573,0.25,8,27,16
179,4.097,3.6967,0.22,27,16,27
180,17.1977,17.0218,0.38,8,27,16
181,3.2459,3.2758,0.22,27,16,27
182,17.2041,17.6482,0.62,8,27,16
183,2.5879,2.9641,0.19,27,16,27
184,17.8523,16.8005,0.25,8,27,16
185,2.1359,2.2675,0.15,27,16,27
186,18.3309,18.3591,0.75,8,27,16
187,1.2421,1.2468,0.15,26,15,27
188,18.8522,18.59,0.43,7,27,15
189,1.3166,1.1506,0.12,26,15,27
190,19.2,25.12,0.29,7,27,15
191,1.5798,1.6894,0.23,26,15,27
192,18.4978,18.3878,0.57,7,27,15
193,1.2848,1.4748,0.15,26,15,27
194,18.5428,38.0,0.29,7,27,15
195,1.953,1.8324,0.04,25,15,26
196,18.4178,20.8533,0.17,6,26,15
197,1.685,1.7257,0.32,25,15,26
198,18.3178,18.1528,0.33,6,26,15
199,1.7529,1.7121,0.2,25,15,26
200,18.3328,18.4628,0.17,6,26,15
201,1.6921,1.8886,0.2,25,15,26
202,18.17,22.9039,0.17,6,26,15
203,1.9981,2.1093,0.2,25,15,26
204,18.21,18.01,0.67,6,26,15
205,2.3127,1.8342,0.16,25,15,26
206,18.2,27.4517,0.0,6,26,15
207,2.0862,2.1561,0.28,25,15,26
208,18.9511,18.9506,0.33,6,26,15
209,2.102,1.8291,0.12,25,15,26
210,19.1856,18.4689,0.67,6,26,15
211,1.9036,2.0391,0.16,25,15,26
212,18.9867,37.9778,0.33,6,26,15
213,1.8807,1.8782,0.2,25,15,26
214,18.4589,18.6294,0.67,6,26,15
215,2.1563,2.0746,0.24,25,15,26
216,18.7122,19.4739,0.67,6,26,15
217,1.8743,1.947,0.24,25,15,26
218,18.8606,19.5694,0.33,6,26,15
219,1.6263,1.8322,0.24,25,14,25
220,19.575,21.4644,0.2,5,25,14
221,1.6658,1.6693,0.16,25,14,25
222,19.5356,19.8528,1.0,5,25,14
223,1.7769,2.4602,0.36,25,14,25
224,19.5511,21.7683,0.2,5,25,14
225,1.7216,2.0009,0.32,25,14,25
226,19.4067,19.3067,1.0,5,25,14
227,1.9047,2.107,0.4,25,14,25
228,19.3978,21.7856,0.2,5,25,14
229,1.7696,5.4053,0.28,25,14,25
230,20.7256,22.2022,0.6,5,25,14
231,1.8874,2.2904,0.2,25,14,25
232,20.0356,23.935,0.6,5,25,14
233,1.9991,2.0187,0.24,25,14,25
