move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.3861,7.2124,0.05,40,40,40
2,7.5445,7.376,0.1,39,40,39
4,7.1262,7.9719,0.15,39,40,39
6,7.5946,7.7862,0.08,38,39,39
8,7.7568,7.2648,0.03,38,39,39
10,7.5795,7.9809,0.21,38,39,39
12,8.2616,8.7064,0.13,38,39,39
14,8.9819,9.5491,0.16,38,39,38
16,8.5067,9.6158,0.24,38,39,38
18,8.7358,9.8859,0.11,37,39,37
20,9.2381,24.8163,0.11,36,39,36
22,9.0206,19.3664,0.08,36,39,36
24,8.6146,9.4369,0.03,35,39,35
26,8.1577,7.9868,0.09,33,37,34
28,8.309,21.2754,0.12,33,37,34
30,8.43,11.7977,0.12,33,37,34
32,8.5932,8.179,0.09,32,36,33
34,8.5851,8.9007,0.12,32,36,33
36,8.4429,9.1984,0.16,31,36,32
38,9.2736,9.2157,0.07,30,35,31
40,9.6943,10.3474,0.1,29,35,30
42,10.0952,13.3196,0.07,28,35,29
44,10.0484,11.6451,0.07,28,35,29
46,9.1291,10.2515,0.11,27,34,29
48,9.3828,24.7839,0.27,26,33,28
50,10.0489,9.7767,0.16,25,32,27
52,9.9929,9.9141,0.12,25,32,27
54,10.3434,10.3868,0.16,25,32,27
56,10.9228,17.0228,0.12,25,32,27
58,12.057,13.1859,0.25,24,32,26
60,11.8022,14.3853,0.22,23,32,25
62,12.9373,20.7744,0.14,22,32,24
64,12.3317,14.8846,0.23,22,32,24
66,12.684,12.3327,0.27,22,32,24
68,12.5672,29.0683,0.32,22,32,24
70,13.2869,18.71,0.33,21,32,23
72,13.7731,18.8122,0.33,21,32,23
74,13.5536,12.6673,0.38,21,32,23
76,15.1391,15.6744,0.3,20,32,22
78,15.9149,15.8506,0.26,19,32,21
80,15.6945,35.6367,0.21,19,32,21
82,13.7262,13.8325,0.39,18,31,21
84,13.9558,13.62,0.28,18,31,21
86,13.8533,13.59,0.11,18,31,21
88,13.8942,13.9029,0.28,18,31,21
90,13.6112,13.8017,0.22,18,31,21
92,13.9788,14.2617,0.17,18,31,21
94,15.5077,14.9412,0.18,17,31,20
96,15.2854,15.1724,0.29,17,31,20
98,14.931,20.3724,0.41,17,31,20
100,16.0612,22.706,0.29,17,31,20
102,15.4942,35.0017,0.29,17,31,20
104,15.9349,15.3458,0.44,16,30,20
106,15.369,15.5713,0.19,16,30,20
108,16.1464,21.3776,0.33,15,30,19
110,16.2757,16.2596,0.27,15,30,19
112,16.9395,16.5049,0.2,15,30,19
114,16.8921,17.3364,0.33,15,30,19
116,16.9623,35.5006,0.2,15,30,19
