move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0147,0.2,40,40,40
3,0.0,0.0,0.07,40,40,40
5,0.0353,0.05,0.15,39,40,39
7,0.0212,0.0212,0.16,38,39,39
9,0.0588,0.0588,0.13,38,39,38
11,0.0612,0.0759,0.13,38,39,38
13,0.0,0.0147,0.22,37,38,38
15,-0.0588,-0.0441,0.11,36,37,38
17,-0.0588,-0.0441,0.06,36,37,38
19,-0.0588,-0.0441,0.14,36,37,38
21,-0.0588,-0.0588,0.11,36,37,38
23,-0.0588,-0.0588,0.11,36,37,38
25,-0.0471,-0.0471,0.14,35,37,37
27,-0.0471,-0.0324,0.03,35,36,36
29,-0.0471,-0.0471,0.14,35,36,36
31,-0.0471,-0.0471,0.17,35,36,36
33,-0.0847,-0.07,0.18,34,35,36
35,-0.0847,-0.07,0.03,34,35,36
37,-0.0847,-0.07,0.24,34,35,36
39,-0.0847,-0.0847,0.16,32,34,35
41,-0.0847,-0.07,0.12,32,34,35
43,-0.0847,-0.0847,0.0,32,34,35
45,-0.0824,-0.0824,0.09,32,33,34
47,-0.0824,-0.0824,0.09,32,33,34
49,-0.0824,-0.0676,0.16,32,33,34
51,-0.0941,-0.0941,0.16,31,32,34
53,-0.0588,-0.0441,0.13,31,32,33
55,-0.0588,-0.0588,0.16,31,32,33
57,-0.0588,-0.0588,0.1,31,32,33
59,-0.0941,-0.0794,0.1,30,31,33
61,-0.0353,-0.0059,0.2,30,31,32
63,0.0588,0.0588,0.13,30,31,31
65,0.0588,0.0588,0.17,30,31,31
67,0.0588,0.0588,0.07,30,31,31
69,0.0588,0.0588,0.17,30,31,31
71,0.0588,0.0588,0.13,30,31,31
73,0.0706,0.0706,0.1,29,31,30
75,0.0706,0.0706,0.21,29,31,30
77,0.0706,0.0706,0.14,29,31,30
79,0.0706,0.1,0.14,29,31,30
81,0.0706,0.0706,0.17,29,31,30
83,0.0824,0.0824,0.11,28,31,29
85,0.1176,0.1324,0.11,27,31,28
87,0.12,0.12,0.15,27,31,28
89,0.12,0.1347,0.15,27,31,28
91,0.1176,0.1176,0.07,27,31,28
93,0.1176,0.1324,0.11,27,31,28
95,0.1176,0.1176,0.04,27,31,28
97,0.12,0.1347,0.3,27,31,28
99,0.12,0.1347,0.15,27,31,28
101,0.12,0.1347,0.11,27,31,28
103,0.12,0.12,0.19,27,31,28
105,0.1318,0.1465,0.12,26,31,27
107,0.1294,0.1441,0.12,26,31,27
109,0.1318,0.1318,0.16,25,30,26
111,0.1294,0.1294,0.12,25,30,26
113,0.1294,0.1441,0.24,25,30,26
115,0.1906,0.2053,0.12,24,30,25
117,0.1906,0.1906,0.12,24,30,25
119,0.1906,0.22,0.17,24,30,25
121,0.1906,0.1906,0.0,24,30,25
123,0.1906,0.1906,0.29,24,30,25
125,0.1906,0.1906,0.29,24,30,25
127,0.2376,0.2376,0.05,22,30,23
129,0.2524,0.2376,0.14,22,30,23
131,0.2524,0.2524,0.14,22,30,23
133,0.2524,0.2524,0.23,22,30,23
135,0.2524,0.2524,0.27,22,30,23
137,0.2524,0.2524,0.14,22,30,23
139,0.2547,0.24,0.18,22,30,23
141,0.2524,0.2376,0.14,22,30,23
143,0.2171,0.2024,0.19,21,29,23
145,0.2171,0.2171,0.24,21,29,23
147,0.1818,0.1818,0.14,21,28,23
149,0.2194,0.2047,0.24,21,28,22
151,0.2194,0.2047,0.19,21,28,22
153,0.2194,0.2194,0.1,21,28,22
155,0.2194,0.2341,0.1,21,28,22
157,0.2194,0.2194,0.14,21,28,22
159,0.2194,0.2341,0.24,21,28,22
161,0.2194,0.2341,0.14,21,28,22
163,0.2194,0.2194,0.29,21,28,22
165,0.2147,0.2,0.29,21,28,22
167,0.2147,0.2024,0.24,21,28,22
169,0.2147,0.2024,0.14,21,28,22
171,0.2147,0.2024,0.19,21,28,22
173,0.1559,0.1706,0.15,20,27,22
175,0.1753,0.1459,0.3,20,26,21
