move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.23,40,40,40
2,0.0,0.0,0.07,40,40,40
4,0.0118,0.0118,0.1,39,40,39
6,0.0118,0.0118,0.13,39,40,39
8,0.0118,0.0118,0.1,39,40,39
10,0.0471,0.0471,0.26,38,40,38
12,0.0471,0.0618,0.11,38,40,38
14,0.0494,0.0494,0.06,36,39,37
16,0.0235,0.0382,0.12,34,38,36
18,0.0824,0.0824,0.12,34,38,35
20,0.0824,0.0824,0.15,34,38,35
22,0.0824,0.0971,0.15,34,38,35
24,0.0235,0.0235,0.18,33,37,35
26,0.0235,0.0235,0.15,33,37,35
28,0.0212,0.0212,0.12,33,37,35
30,-0.0376,-0.0376,0.06,33,36,35
32,-0.0376,-0.0376,0.12,33,36,35
34,-0.0376,-0.0376,0.15,33,36,35
36,-0.0259,-0.0259,0.12,32,36,34
38,-0.0259,-0.0259,0.06,32,36,34
40,-0.0259,-0.0259,0.16,32,36,34
42,-0.0259,-0.0259,0.19,32,36,34
44,-0.0259,-0.0259,0.22,32,36,34
46,-0.0259,-0.0259,0.09,32,36,34
48,-0.0259,-0.0259,0.03,32,36,34
50,-0.0259,-0.0259,0.12,32,36,34
52,-0.0259,-0.0259,0.12,32,36,34
54,-0.0259,-0.0259,0.16,32,36,34
56,-0.0259,-0.0112,0.09,32,36,34
58,-0.0259,-0.0259,0.22,32,36,34
60,-0.0259,-0.0259,0.09,32,36,34
62,-0.0259,-0.0259,0.12,32,36,34
64,-0.0259,-0.0259,0.19,32,36,34
66,-0.0259,-0.0259,0.03,32,36,34
68,-0.0259,-0.0259,0.09,32,36,34
70,-0.0259,-0.0259,0.06,32,36,34
72,-0.0259,-0.0259,0.16,32,36,34
74,-0.0259,-0.0259,0.09,32,36,34
76,-0.0259,-0.0259,0.03,32,36,34
78,-0.0259,-0.0259,0.16,32,36,34
80,-0.0259,-0.0112,0.09,32,36,34
82,-0.0259,-0.0259,0.16,32,36,34
84,-0.0259,-0.0259,0.22,32,36,34
86,-0.0259,-0.0259,0.12,32,36,34
88,-0.0259,-0.0112,0.06,32,36,34
90,-0.0259,-0.0259,0.03,32,36,34
92,-0.0259,-0.0112,0.16,32,36,34
94,-0.0259,-0.0259,0.12,32,36,34
96,-0.0259,-0.0259,0.09,32,36,34
98,-0.0259,-0.0259,0.09,32,36,34
100,-0.0259,-0.0259,0.25,32,36,34
102,-0.0259,-0.0259,0.19,32,36,34
104,-0.0259,-0.0259,0.12,32,36,34
106,-0.0259,-0.0259,0.19,32,36,34
108,-0.0259,-0.0259,0.09,32,36,34
110,-0.0259,-0.0259,0.09,32,36,34
112,-0.0259,-0.0259,0.12,32,36,34
114,-0.0259,-0.0259,0.03,32,36,34
116,-0.0259,-0.0259,0.22,32,36,34
118,-0.0259,-0.0259,0.12,32,36,34
120,-0.0259,-0.0259,0.06,32,36,34
122,-0.0259,-0.0259,0.12,32,36,34
124,-0.0259,-0.0259,0.09,32,36,34
126,-0.0259,-0.0259,0.03,32,36,34
128,-0.0259,-0.0259,0.25,32,36,34
130,-0.0259,-0.0259,0.03,32,36,34
132,-0.0259,-0.0259,0.16,32,36,34
134,-0.0259,-0.0259,0.12,32,36,34
136,-0.0259,-0.0259,0.09,32,36,34
138,-0.0259,-0.0259,0.12,32,36,34
140,-0.0259,-0.0112,0.16,32,36,34
142,-0.0259,-0.0259,0.06,32,36,34
144,-0.0259,-0.0259,0.06,32,36,34
146,-0.0259,-0.0259,0.06,32,36,34
148,-0.0259,-0.0259,0.09,32,36,34
150,-0.0259,-0.0259,0.09,32,36,34
152,-0.0259,-0.0259,0.09,32,36,34
154,-0.0259,-0.0259,0.12,32,36,34
156,-0.0259,-0.0259,0.19,32,36,34
158,-0.0259,-0.0259,0.12,32,36,34
160,-0.0259,-0.0259,0.12,32,36,34
162,-0.0259,-0.0259,0.16,32,36,34
164,-0.0259,-0.0259,0.19,32,36,34
166,-0.0259,-0.0259,0.06,32,36,34
168,-0.0259,-0.0259,0.09,32,36,34
170,-0.0259,-0.0259,0.09,32,36,34
172,-0.0259,-0.0259,0.12,32,36,34
174,-0.0259,-0.0259,0.09,32,36,34
176,-0.0259,-0.0259,0.0,32,36,34
178,-0.0259,-0.0259,0.09,32,36,34
180,-0.0259,-0.0259,0.06,32,36,34
182,-0.0259,-0.0259,0.06,32,36,34
184,-0.0259,-0.0259,0.19,32,36,34
186,-0.0259,-0.0259,0.22,32,36,34
188,-0.0259,-0.0259,0.28,32,36,34
190,-0.0259,-0.0259,0.12,32,36,34
192,-0.0259,-0.0259,0.09,32,36,34
194,-0.0259,-0.0259,0.09,32,36,34
196,-0.0259,-0.0259,0.12,32,36,34
198,-0.0259,-0.0259,0.19,32,36,34
200,-0.0259,-0.0259,0.09,32,36,34
202,-0.0259,-0.0259,0.09,32,36,34
204,-0.0259,-0.0259,0.16,32,36,34
206,-0.0259,-0.0259,0.09,32,36,34
208,-0.0259,-0.0259,0.16,32,36,34
210,-0.0259,-0.0259,0.19,32,36,34
212,-0.0259,-0.0259,0.12,32,36,34
214,-0.0259,-0.0259,0.12,32,36,34
216,-0.0259,-0.0259,0.16,32,36,34
218,-0.0259,-0.0259,0.19,32,36,34
220,-0.0259,-0.0259,0.12,32,36,34
222,-0.0259,-0.0259,0.03,32,36,34
224,-0.0259,-0.0259,0.09,32,36,34
226,-0.0259,-0.0259,0.12,32,36,34
228,-0.0259,-0.0259,0.06,32,36,34
230,-0.0259,-0.0259,0.09,32,36,34
232,-0.0259,-0.0259,0.06,32,36,34
234,-0.0259,-0.0259,0.25,32,36,34
236,-0.0259,-0.0259,0.12,32,36,34
238,-0.0259,-0.0259,0.19,32,36,34
240,-0.0259,-0.0259,0.22,32,36,34
242,-0.0259,-0.0259,0.31,32,36,34
244,-0.0259,-0.0259,0.12,32,36,34
246,-0.0259,-0.0259,0.19,32,36,34
248,-0.0259,-0.0259,0.16,32,36,34
250,-0.0259,-0.0259,0.06,32,36,34
252,-0.0259,-0.0259,0.09,32,36,34
254,-0.0259,-0.0259,0.16,32,36,34
256,-0.0259,-0.0259,0.06,32,36,34
258,-0.0259,-0.0259,0.16,32,36,34
260,-0.0259,-0.0259,0.12,32,36,34
262,-0.0259,-0.0259,0.06,32,36,34
264,-0.0259,-0.0259,0.12,32,36,34
266,-0.0259,-0.0259,0.12,32,36,34
268,-0.0259,-0.0259,0.19,32,36,34
270,-0.0259,-0.0259,0.03,32,36,34
272,-0.0259,-0.0259,0.22,32,36,34
274,-0.0259,-0.0259,0.19,32,36,34
276,-0.0259,-0.0259,0.12,32,36,34
278,-0.0259,-0.0259,0.06,32,36,34
280,-0.0259,-0.0259,0.12,32,36,34
282,-0.0259,-0.0259,0.03,32,36,34
284,-0.0259,-0.0259,0.09,32,36,34
286,-0.0259,-0.0259,0.16,32,36,34
288,-0.0259,-0.0259,0.06,32,36,34
290,-0.0259,-0.0259,0.12,32,36,34
292,-0.0259,-0.0259,0.06,32,36,34
294,-0.0259,-0.0259,0.06,32,36,34
296,-0.0259,-0.0259,0.12,32,36,34
298,-0.0259,-0.0259,0.19,32,36,34
300,-0.0259,-0.0259,0.09,32,36,34
302,-0.0259,-0.0259,0.22,32,36,34
304,-0.0259,-0.0259,0.22,32,36,34
306,-0.0259,-0.0259,0.06,32,36,34
308,-0.0259,-0.0259,0.09,32,36,34
310,-0.0259,-0.0259,0.19,32,36,34
312,-0.0259,-0.0259,0.06,32,36,34
314,-0.0259,-0.0259,0.12,32,36,34
316,-0.0259,-0.0259,0.03,32,36,34
318,-0.0259,-0.0259,0.12,32,36,34
320,-0.0259,-0.0259,0.16,32,36,34
322,-0.0259,-0.0112,0.12,32,36,34
324,-0.0259,-0.0259,0.12,32,36,34
326,-0.0259,-0.0259,0.09,32,36,34
328,-0.0259,-0.0259,0.19,32,36,34
330,-0.0259,-0.0259,0.12,32,36,34
332,-0.0259,-0.0259,0.09,32,36,34
334,-0.0259,-0.0259,0.19,32,36,34
336,-0.0259,-0.0259,0.12,32,36,34
338,-0.0635,-0.0635,0.03,32,35,34
