move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.12,40,40,40
2,0.0,0.0,0.15,40,40,40
4,0.0,0.0,0.15,40,40,40
6,0.0,0.0,0.2,40,40,40
8,0.0,0.0,0.17,40,40,40
10,0.0,0.0,0.2,40,40,40
12,-0.0353,-0.0353,0.21,39,39,40
14,-0.0353,-0.0353,0.13,39,39,40
16,-0.0,-0.0,0.21,39,39,39
18,-0.0,-0.0,0.13,39,39,39
20,0.0024,0.0024,0.13,39,39,39
22,0.0024,0.0024,0.18,39,39,39
24,0.0,0.0,0.26,38,38,38
26,0.0118,0.0118,0.19,37,38,37
28,0.0118,0.0118,0.16,37,38,37
30,-0.0118,-0.0118,0.2,35,37,36
32,-0.0118,-0.0118,0.09,35,37,36
34,-0.0118,-0.0118,0.14,35,37,36
36,-0.0118,-0.0118,0.14,35,37,36
38,-0.0118,-0.0118,0.09,35,37,36
40,-0.0118,-0.0118,0.14,35,37,36
42,-0.0118,-0.0118,0.26,35,37,36
44,-0.0118,-0.0118,0.17,35,37,36
46,-0.0141,-0.0141,0.17,35,37,36
48,-0.0729,-0.0729,0.09,35,36,36
50,-0.0729,-0.0729,0.03,35,36,36
52,0.0235,0.0235,0.06,35,36,35
54,0.0118,0.0118,0.21,34,35,35
56,0.0471,0.0471,0.12,34,35,34
58,0.0471,0.0618,0.18,34,35,34
60,0.0471,0.0471,0.12,34,35,34
62,-0.0471,-0.0471,0.21,33,34,34
64,-0.0824,-0.0824,0.06,33,33,34
66,-0.0824,-0.0824,0.18,33,33,34
68,-0.0847,-0.0847,0.18,33,33,34
70,-0.1435,-0.1435,0.15,33,32,34
72,-0.2612,-0.2612,0.12,33,31,34
74,-0.1412,-0.1412,0.21,33,31,33
76,-0.1412,-0.1412,0.06,33,31,33
78,-0.1765,-0.1765,0.22,32,30,33
80,-0.1765,-0.1765,0.09,32,30,33
82,-0.1765,-0.1765,0.16,32,30,33
84,-0.1765,-0.1765,0.16,32,30,33
86,-0.1765,-0.1765,0.06,32,30,33
88,-0.1788,-0.1788,0.22,32,30,33
90,-0.1647,-0.1647,0.19,31,30,32
92,-0.1647,-0.1647,0.16,31,30,32
94,-0.1624,-0.1624,0.16,31,30,32
96,-0.1624,-0.1624,0.1,31,30,32
98,-0.1624,-0.1624,0.1,31,30,32
100,-0.1624,-0.1624,0.1,31,30,32
102,-0.1624,-0.1624,0.1,31,30,32
104,-0.1624,-0.1624,0.03,31,30,32
106,-0.1624,-0.1624,0.16,31,30,32
108,-0.1647,-0.1647,0.13,31,30,32
110,-0.1647,-0.1647,0.17,29,29,31
112,-0.2235,-0.2235,0.25,28,28,30
114,-0.2235,-0.2235,0.11,28,28,30
116,-0.2235,-0.2235,0.32,28,28,30
118,-0.2235,-0.2235,0.07,28,28,30
120,-0.2235,-0.2235,0.39,28,28,30
122,-0.2235,-0.2235,0.25,28,28,30
124,-0.2235,-0.2235,0.18,28,28,30
126,-0.2235,-0.2235,0.07,28,28,30
128,-0.2235,-0.2235,0.14,28,28,30
130,-0.2235,-0.2235,0.11,28,28,30
132,-0.2353,-0.2353,0.04,27,27,30
134,-0.2376,-0.2253,0.26,27,27,30
136,-0.2235,-0.2235,0.04,26,27,29
138,-0.2235,-0.2235,0.19,26,27,29
140,-0.2235,-0.2235,0.19,26,27,29
142,-0.2824,-0.2824,0.28,25,26,29
144,-0.2847,-0.27,0.28,25,26,29
146,-0.2847,-0.2847,0.28,25,26,29
148,-0.2847,-0.2847,0.12,25,26,29
150,-0.2965,-0.2965,0.32,25,25,29
152,-0.2965,-0.2965,0.2,25,25,29
154,-0.3059,-0.3059,0.24,25,24,29
156,-0.3082,-0.3082,0.08,25,24,29
158,-0.3059,-0.3059,0.16,25,24,29
160,-0.3082,-0.3082,0.12,25,24,29
162,-0.3082,-0.3082,0.16,25,24,29
164,-0.3082,-0.3082,0.32,25,24,29
166,-0.32,-0.32,0.16,25,23,29
168,-0.3788,-0.3641,0.2,25,22,29
170,-0.3788,-0.3788,0.08,25,22,29
172,-0.3929,-0.3782,0.17,24,21,29
174,-0.3929,-0.3929,0.12,24,21,29
176,-0.3929,-0.3929,0.17,24,21,29
178,-0.3929,-0.3929,0.33,24,21,29
180,-0.3929,-0.3929,0.08,24,21,29
182,-0.3929,-0.3929,0.17,24,21,29
184,-0.3906,-0.3906,0.17,24,21,29
186,-0.3929,-0.3929,0.33,24,21,29
188,-0.3929,-0.3929,0.17,24,21,29
190,-0.3929,-0.3929,0.21,24,21,29
192,-0.3929,-0.3929,0.25,24,21,29
194,-0.3929,-0.3782,0.17,24,21,29
196,-0.3929,-0.3929,0.33,24,21,29
198,-0.3929,-0.3929,0.21,24,21,29
200,-0.3929,-0.3929,0.12,24,21,29
202,-0.3929,-0.3929,0.29,24,21,29
204,-0.3929,-0.3929,0.17,24,21,29
206,-0.3906,-0.3906,0.17,24,21,29
208,-0.3882,-0.3882,0.17,24,21,29
