move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.17,40,40,40
2,0.0,0.0,0.17,40,40,40
4,0.0,0.0,0.1,40,40,40
6,-0.0118,-0.0118,0.15,39,39,40
8,0.0235,0.0235,0.18,39,39,39
10,0.0588,0.0588,0.08,38,39,38
12,0.0565,0.0565,0.26,38,39,38
14,0.0,0.0,0.24,37,38,38
16,0.0,0.0,0.14,37,38,38
18,0.0,0.0,0.11,37,38,38
20,-0.0588,-0.0588,0.22,36,37,38
22,-0.0588,-0.0588,0.14,35,36,37
24,-0.0588,-0.0588,0.14,35,36,37
26,-0.0588,-0.0588,0.14,35,35,36
28,-0.0588,-0.0588,0.21,34,34,35
30,-0.0588,-0.0588,0.15,34,34,35
32,-0.0588,-0.0588,0.18,34,34,35
34,-0.0235,-0.0235,0.24,33,34,34
36,-0.0235,-0.0235,0.06,33,34,34
38,-0.0588,-0.0588,0.19,32,33,34
40,0.0024,0.0024,0.09,32,33,33
42,0.0024,0.0024,0.28,32,33,33
44,-0.1153,-0.1153,0.16,31,32,33
46,-0.1176,-0.1176,0.23,31,32,33
48,-0.1765,-0.1765,0.23,31,31,33
50,-0.0565,-0.0565,0.13,31,31,32
52,-0.0588,-0.0588,0.23,31,31,32
54,-0.0706,-0.0706,0.1,30,30,32
56,-0.0588,-0.0588,0.13,30,30,31
58,-0.0447,-0.0447,0.1,29,30,30
60,-0.0565,-0.0565,0.14,29,29,30
62,0.0376,0.0376,0.14,29,29,29
64,0.0376,0.0376,0.14,29,29,29
66,0.04,0.04,0.21,29,29,29
68,0.04,0.04,0.07,29,29,29
70,0.0753,0.0753,0.07,28,29,28
72,0.0753,0.1194,0.11,28,29,28
74,0.0753,0.0753,0.14,28,29,28
76,0.0871,0.1018,0.19,27,29,27
78,0.0871,0.0871,0.19,27,29,27
80,0.0871,0.0871,0.0,27,29,27
82,0.0894,0.1041,0.19,27,29,27
84,0.1482,0.1482,0.19,26,29,26
86,0.1835,0.1835,0.16,25,29,25
88,0.1694,0.1694,0.21,24,28,25
90,0.1082,0.1082,0.14,22,27,24
92,0.1059,0.1059,0.23,22,27,24
94,0.1082,0.1082,0.14,22,27,24
96,0.1082,0.1376,0.27,22,27,24
98,0.1082,0.1082,0.41,22,27,24
100,0.1082,0.1376,0.27,22,27,24
102,0.1059,0.1353,0.36,22,27,24
104,0.1059,0.1353,0.18,22,27,24
106,0.0706,0.0706,0.19,21,26,24
108,0.0706,0.1,0.14,21,26,24
110,0.1318,0.1612,0.24,21,26,23
112,0.1318,0.1612,0.29,21,26,23
114,0.1318,0.1612,0.24,21,26,23
116,0.1294,0.1588,0.38,21,26,23
118,0.1435,0.1435,0.1,20,26,22
120,0.1435,0.1729,0.2,20,26,22
122,0.1435,0.1435,0.2,20,26,22
124,0.1412,0.1706,0.1,20,26,22
126,0.1294,0.1588,0.1,20,25,22
128,0.1294,0.1588,0.25,20,25,22
130,0.1294,0.1588,0.45,20,25,22
132,0.1294,0.1294,0.25,20,25,22
134,0.0847,0.0847,0.2,20,24,21
136,0.2047,0.2047,0.15,20,24,20
138,0.1906,0.1906,0.21,19,23,20
140,0.1906,0.2053,0.32,19,23,20
142,0.1906,0.22,0.21,19,23,20
144,0.1906,0.22,0.26,19,23,20
146,0.1906,0.1906,0.05,19,23,20
148,0.2259,0.2259,0.11,19,23,19
150,0.2259,0.2553,0.21,19,23,19
152,0.2259,0.2259,0.11,19,23,19
154,0.2259,0.2553,0.16,19,23,19
156,0.2259,0.2259,0.21,19,23,19
158,0.2847,0.3141,0.17,18,23,18
160,0.2847,0.2847,0.11,18,23,18
162,0.2847,0.2847,0.11,18,23,18
164,0.2847,0.2847,0.11,18,23,18
166,0.2847,0.2847,0.22,18,23,18
168,0.2847,0.2847,0.06,18,23,18
170,0.2847,0.2847,0.28,18,23,18
172,0.2847,0.2847,0.17,18,23,18
174,0.2871,0.2871,0.22,18,23,18
176,0.3224,0.3224,0.18,17,23,17
178,0.2847,0.2994,0.19,16,22,17
180,0.2847,0.2847,0.12,16,22,17
182,0.2847,0.3141,0.38,16,22,17
184,0.32,0.32,0.33,15,22,16
186,0.32,0.3494,0.4,15,22,16
188,0.32,0.32,0.13,15,22,16
190,0.3347,0.3494,0.2,15,22,16
192,0.37,0.3553,0.29,14,22,15
194,0.37,0.3553,0.5,14,22,15
196,0.37,0.37,0.36,14,22,15
198,0.37,0.3553,0.43,14,22,15
200,0.37,0.3553,0.57,14,22,15
202,0.37,0.3553,0.5,14,22,15
204,0.3818,0.3671,0.62,13,22,14
206,0.3818,0.3671,0.38,13,22,14
208,0.4406,0.4553,0.58,12,22,13
210,0.4406,0.47,0.42,12,22,13
212,0.4429,0.4282,0.67,12,22,13
214,0.4429,0.4282,0.58,12,22,13
216,0.4429,0.4724,0.58,12,22,13
218,0.4406,0.4259,0.5,12,22,13
220,0.4406,0.4406,0.75,12,22,13
222,0.4406,0.4259,0.5,12,22,13
224,0.4406,0.47,0.45,11,21,12
226,0.4406,0.47,0.45,11,21,12
228,0.4406,0.4259,0.45,11,21,12
230,0.4406,0.47,0.55,11,21,12
232,0.4406,0.47,0.27,11,21,12
234,0.4406,0.47,0.55,11,21,12
236,0.4406,0.4259,0.45,11,21,12
238,0.4259,0.4259,0.45,11,21,12
240,0.4259,0.4259,0.45,11,21,12
242,0.4259,0.4259,0.45,11,21,12
244,0.4259,0.4259,0.45,11,21,12
246,0.4259,0.4259,0.45,11,21,12
248,0.4406,0.47,0.64,11,21,12
