move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,0.0,0.0,0.2,40,40,40
2,0.0,0.0,0.1,39,39,39
4,0.0,0.0,0.21,39,39,39
6,0.0,0.0,0.21,39,39,39
8,0.0353,0.0353,0.21,38,39,38
10,-0.0235,-0.0235,0.11,37,38,38
12,-0.0235,-0.0235,0.22,37,38,38
14,-0.0235,-0.0235,0.08,37,38,38
16,-0.0235,-0.0235,0.16,37,38,38
18,-0.0235,-0.0235,0.19,37,38,38
20,0.0118,0.0118,0.14,36,38,37
22,0.0118,0.0118,0.14,36,38,37
24,0.0118,0.0118,0.08,36,38,37
26,0.0141,0.0141,0.17,36,38,37
28,-0.0471,-0.0471,0.09,35,37,37
30,-0.0471,-0.0471,0.17,35,37,37
32,-0.0471,-0.0471,0.11,35,37,37
34,-0.0588,-0.0588,0.11,35,36,37
36,-0.0588,-0.0588,0.06,35,36,37
38,-0.0588,-0.0588,0.23,35,36,37
40,-0.0,-0.0,0.11,35,36,36
42,-0.0,-0.0,0.14,35,36,36
44,-0.0,-0.0,0.17,35,36,36
46,0.0376,0.0524,0.24,34,36,35
48,-0.0588,-0.0588,0.3,33,35,35
50,-0.0588,-0.0588,0.12,33,35,35
52,-0.0588,-0.0441,0.12,33,35,35
54,-0.0588,-0.0441,0.09,33,35,35
56,-0.0588,-0.0588,0.15,33,35,35
58,-0.0588,-0.0588,0.21,33,35,35
60,-0.0588,-0.0588,0.12,33,35,35
62,-0.0588,-0.0588,0.12,33,35,35
64,-0.0588,-0.0588,0.18,33,35,35
66,-0.0588,-0.0588,0.03,33,35,35
68,-0.0706,-0.0706,0.06,32,34,35
70,-0.0706,-0.0559,0.06,32,34,35
72,-0.0118,0.0029,0.09,32,34,34
74,-0.0118,0.0029,0.09,32,34,34
76,-0.0118,-0.0118,0.16,32,34,34
78,0.0259,0.0259,0.32,31,34,33
80,0.0259,0.0406,0.13,31,34,33
82,-0.0353,-0.0206,0.17,30,33,33
84,-0.0353,-0.0353,0.1,30,33,33
86,-0.0353,-0.0353,0.2,30,33,33
88,-0.0235,-0.0235,0.17,29,33,32
90,-0.0235,-0.0235,0.17,29,33,32
92,-0.0235,-0.0088,0.03,29,33,32
94,-0.0235,-0.0235,0.14,29,33,32
96,-0.0235,-0.0235,0.17,29,33,32
98,-0.0235,-0.0235,0.1,29,33,32
100,-0.0235,-0.0235,0.07,29,33,32
102,-0.0259,-0.0112,0.24,29,33,32
104,-0.0118,-0.0118,0.21,28,33,31
106,-0.0118,0.0176,0.18,28,33,31
108,-0.0118,-0.0118,0.07,28,33,31
110,-0.0118,-0.0118,0.11,28,33,31
112,-0.0118,-0.0118,0.11,28,33,31
114,-0.0118,-0.0118,0.11,28,33,31
116,-0.0118,-0.0118,0.32,28,33,31
118,-0.0118,-0.0118,0.18,28,33,31
120,-0.0118,-0.0118,0.18,28,33,31
122,-0.0471,-0.0471,0.15,27,32,31
124,-0.0471,-0.0324,0.19,27,32,31
126,-0.0471,-0.0471,0.15,27,32,31
128,-0.0471,-0.0471,0.19,27,32,31
130,-0.0471,-0.0324,0.07,27,32,31
132,-0.0471,-0.0471,0.15,27,32,31
134,-0.0471,-0.0471,0.07,27,32,31
136,-0.0471,-0.0471,0.15,27,32,31
138,-0.0471,-0.0471,0.04,27,32,31
140,-0.0471,-0.0471,0.22,27,32,31
142,-0.0471,-0.0471,0.19,27,32,31
144,-0.0471,-0.0471,0.15,27,32,31
146,-0.0471,-0.0471,0.11,27,32,31
148,-0.0324,-0.0471,0.11,27,32,31
150,-0.0324,-0.0471,0.07,27,32,31
152,-0.0324,-0.0324,0.15,27,32,31
154,-0.03,-0.0447,0.04,27,32,31
156,0.0876,0.0729,0.22,27,32,30
158,0.0876,0.0876,0.07,27,32,30
160,0.0876,0.0729,0.07,27,32,30
162,0.0729,0.0729,0.22,27,32,30
164,0.0729,0.0729,0.19,27,32,30
166,0.0729,0.0729,0.07,27,32,30
168,0.0729,0.0729,0.11,27,32,30
170,0.0706,0.0706,0.26,27,32,30
172,0.0706,0.0706,0.19,27,32,30
174,0.0706,0.0706,0.22,27,32,30
176,0.0706,0.0706,0.15,27,32,30
178,0.0706,0.0853,0.07,27,32,30
180,0.0706,0.0706,0.07,27,32,30
182,0.0706,0.0706,0.15,27,32,30
184,0.0706,0.0706,0.19,27,32,30
186,0.0706,0.0706,0.22,27,32,30
188,0.0706,0.0853,0.33,27,32,30
190,0.0706,0.0706,0.15,27,32,30
192,0.0706,0.0706,0.19,27,32,30
194,0.0824,0.0824,0.31,26,32,29
196,0.0824,0.0824,0.15,26,32,29
198,0.0824,0.0824,0.15,26,32,29
200,0.0824,0.0824,0.19,26,32,29
202,0.0824,0.0971,0.15,26,32,29
204,0.0824,0.0824,0.12,26,32,29
206,0.0824,0.0971,0.27,26,32,29
208,0.0824,0.0824,0.15,26,32,29
210,0.0824,0.0824,0.27,26,32,29
212,0.0824,0.0824,0.12,26,32,29
214,0.0824,0.0824,0.19,26,32,29
216,0.0824,0.0971,0.15,26,32,29
218,0.0824,0.0824,0.12,26,32,29
220,0.0824,0.0971,0.23,26,32,29
222,0.0824,0.0971,0.19,26,32,29
224,0.0824,0.0971,0.19,26,32,29
226,0.0824,0.0971,0.15,26,32,29
228,0.0847,0.0994,0.19,26,32,29
230,0.0847,0.0994,0.19,26,32,29
232,0.0847,0.0994,0.12,26,32,29
234,0.0871,0.0871,0.19,26,32,29
236,0.0847,0.0847,0.15,26,32,29
238,0.0871,0.1165,0.23,26,32,29
240,0.0871,0.1018,0.23,26,32,29
242,0.0847,0.0847,0.23,26,32,29
244,0.0847,0.0994,0.19,26,32,29
