move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0,0.07,40,40,40
3,0.0,0.0,0.12,40,40,40
5,0.0353,0.05,0.13,39,40,39
7,0.0353,0.0353,0.08,39,40,39
9,0.0706,0.0853,0.13,38,40,38
11,0.0118,0.0265,0.14,37,39,38
13,0.0118,0.0265,0.22,37,39,38
15,0.0118,0.0412,0.14,37,39,38
17,0.0118,0.0118,0.05,37,39,38
19,0.0,0.0,0.22,36,38,38
21,0.0588,0.0588,0.23,35,38,37
23,0.0,0.0,0.12,34,37,37
25,0.0,0.0294,0.26,34,37,37
27,0.0588,0.0588,0.18,34,37,36
29,0.0588,0.0588,0.18,34,37,36
31,0.0588,0.0882,0.12,34,37,36
33,0.0588,0.0588,0.18,34,37,36
35,0.0588,0.0588,0.18,34,37,36
37,0.0588,0.0588,0.18,34,37,36
39,0.0612,0.0612,0.18,34,37,36
41,0.0612,0.0759,0.15,34,37,36
43,0.0588,0.0588,0.09,34,37,36
45,0.0565,0.0565,0.09,33,36,35
47,0.0941,0.1088,0.03,32,36,34
49,0.0941,0.0941,0.19,32,36,34
51,0.0941,0.0941,0.19,32,36,34
53,0.0941,0.0941,0.12,32,36,34
55,0.0941,0.1088,0.09,32,36,34
57,0.0941,0.1088,0.16,32,36,34
59,0.0941,0.0941,0.12,32,36,34
61,0.0941,0.1088,0.16,32,36,34
63,0.0941,0.0941,0.06,32,36,34
65,0.0941,0.0941,0.09,32,36,34
67,0.0965,0.0965,0.06,32,36,34
69,0.0965,0.0965,0.25,32,36,34
71,0.0965,0.0965,0.19,32,36,34
73,0.0965,0.0965,0.19,32,36,34
75,0.1318,0.1318,0.16,31,36,33
77,0.1318,0.1318,0.16,31,36,33
79,0.1318,0.1465,0.16,31,36,33
81,0.1435,0.1435,0.2,30,36,32
83,0.1435,0.1435,0.27,30,36,32
85,0.1435,0.1435,0.23,30,36,32
87,0.1412,0.1412,0.2,30,36,32
89,0.0471,0.0471,0.31,29,35,32
91,0.1671,0.1671,0.17,29,35,31
93,0.1671,0.1671,0.21,29,35,31
95,0.1671,0.1671,0.24,29,35,31
97,0.1671,0.1818,0.14,29,35,31
99,0.1671,0.1671,0.17,29,35,31
101,0.1671,0.1818,0.17,29,35,31
103,0.1671,0.1671,0.17,29,35,31
105,0.1671,0.1671,0.31,29,35,31
107,0.1671,0.1671,0.14,29,35,31
109,0.1671,0.1818,0.14,29,35,31
111,0.1671,0.1671,0.21,29,35,31
113,0.1671,0.1671,0.17,29,35,31
115,0.1671,0.1671,0.07,29,35,31
117,0.1671,0.1671,0.14,29,35,31
119,0.1671,0.1818,0.03,29,35,31
121,0.1671,0.1671,0.17,29,35,31
123,0.2024,0.2171,0.18,28,35,30
125,0.2024,0.2024,0.14,28,35,30
127,0.2024,0.2024,0.11,28,35,30
129,0.2024,0.2024,0.25,28,35,30
131,0.2024,0.2171,0.14,28,35,30
133,0.2024,0.2171,0.14,28,35,30
135,0.2024,0.2171,0.25,28,35,30
137,0.2024,0.2024,0.07,28,35,30
139,0.2024,0.2024,0.14,28,35,30
141,0.2024,0.2171,0.07,28,35,30
143,0.2,0.2147,0.21,28,35,30
145,0.2376,0.2524,0.19,27,35,29
147,0.2376,0.2376,0.19,27,35,29
149,0.2376,0.2524,0.04,27,35,29
151,0.2376,0.2376,0.15,27,35,29
153,0.2376,0.2524,0.15,27,35,29
155,0.2376,0.2376,0.15,27,35,29
157,0.2376,0.2524,0.07,27,35,29
159,0.2376,0.2524,0.11,27,35,29
161,0.2376,0.2524,0.11,27,35,29
163,0.2376,0.2376,0.19,27,35,29
165,0.2259,0.2259,0.19,26,34,29
167,0.2282,0.2282,0.04,26,34,29
169,0.2282,0.2429,0.12,26,34,29
171,0.1788,0.1935,0.29,24,33,28
173,0.1788,0.1788,0.21,24,33,28
175,0.1788,0.1788,0.25,24,33,28
177,0.1788,0.1788,0.21,24,33,28
179,0.1671,0.1818,0.08,24,32,28
181,0.1529,0.1529,0.21,24,31,28
183,0.1294,0.1294,0.26,23,30,27
185,0.0353,0.0353,0.13,23,29,27
187,0.0376,0.0524,0.22,23,29,27
189,0.0235,0.0382,0.17,23,28,27
191,0.0235,0.0382,0.04,23,28,27
193,0.0235,0.0235,0.09,23,28,27
195,0.0235,0.0235,0.17,23,28,27
197,0.0235,0.0382,0.0,23,28,27
199,0.0259,0.0406,0.13,23,28,27
201,0.0141,0.0141,0.22,23,27,27
203,0.0141,0.0141,0.04,23,27,27
205,0.0118,0.0265,0.04,23,27,27
207,0.0118,0.0265,0.3,23,27,27
209,0.0118,0.0265,0.13,23,27,27
211,0.0118,0.0118,0.17,23,27,27
213,0.0118,0.0265,0.17,23,27,27
215,0.0118,0.0118,0.17,23,27,27
217,0.0118,0.0118,0.13,23,27,27
219,-0.0235,-0.0235,0.22,23,26,27
221,-0.0235,-0.0088,0.0,23,26,27
223,-0.0235,-0.0088,0.3,23,26,27
225,-0.0588,-0.0588,0.13,23,25,27
227,-0.0588,-0.0588,0.17,23,25,27
229,-0.0588,-0.0588,0.09,23,25,27
231,-0.0941,-0.0794,0.17,23,24,27
233,-0.0941,-0.0941,0.09,23,24,27
235,-0.0941,-0.0794,0.13,23,24,27
237,-0.0941,-0.0941,0.17,23,24,27
239,-0.1294,-0.1294,0.09,23,23,27
241,-0.0094,-0.0094,0.17,23,23,26
243,-0.0094,0.0053,0.13,23,23,26
245,-0.0094,-0.0094,0.09,23,23,26
247,-0.0094,-0.0094,0.22,23,23,26
249,-0.0094,0.0053,0.09,23,23,26
251,-0.0094,-0.0094,0.17,23,23,26
253,-0.0094,-0.0094,0.09,23,23,26
255,-0.0094,-0.0094,0.17,23,23,26
257,0.0494,0.0641,0.27,22,23,25
259,0.0494,0.0641,0.14,22,23,25
261,0.0494,0.0494,0.18,22,23,25
263,0.0494,0.0494,0.36,22,23,25
265,0.0471,0.0765,0.14,22,23,25
267,0.0471,0.0618,0.18,22,23,25
269,0.0494,0.0494,0.24,21,22,24
271,0.0494,0.0641,0.1,21,22,24
273,0.0494,0.0494,0.14,21,22,24
275,0.0494,0.0494,0.24,21,22,24
277,0.0494,0.0494,0.05,21,22,24
279,0.0494,0.0494,0.14,21,22,24
281,0.0494,0.0641,0.05,21,22,24
283,0.0471,0.0447,0.14,21,22,24
285,0.0471,0.0618,0.29,21,22,24
287,0.0471,0.0471,0.05,21,22,24
289,0.0471,0.0471,0.19,21,22,24
291,0.0988,0.0988,0.3,20,21,23
293,0.0588,0.0735,0.26,19,20,23
295,0.0588,0.0588,0.16,19,20,23
297,0.0588,0.0588,0.21,19,20,23
299,0.0588,0.0588,0.26,19,20,23
301,0.0588,0.0588,0.11,19,20,23
303,0.0588,0.0882,0.16,19,20,23
305,0.0024,0.0318,0.16,19,19,23
307,-0.0329,-0.0035,0.11,19,18,23
309,-0.0476,-0.0182,0.05,19,18,23
311,-0.0335,-0.0041,0.21,19,18,22
313,-0.0335,-0.0335,0.05,19,18,22
315,-0.0335,-0.0335,0.05,19,18,22
317,-0.0712,-0.0418,0.16,19,17,22
319,-0.0712,-0.0418,0.05,19,17,22
321,-0.0712,-0.0418,0.16,19,17,22
323,-0.0712,-0.0418,0.16,19,17,22
325,-0.0688,-0.0394,0.11,19,17,22
