move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
1,0.0,0.0147,0.2,40,40,40
3,0.0,0.0147,0.1,40,40,40
5,0.0353,0.0353,0.1,39,40,39
7,0.0353,0.0353,0.13,39,40,39
9,0.0471,0.0618,0.13,38,40,38
11,0.0471,0.0471,0.21,38,40,38
13,0.0471,0.0618,0.18,38,40,38
15,0.0471,0.0471,0.21,38,40,38
17,0.0471,0.0471,0.13,38,40,38
19,0.0471,0.0471,0.11,38,40,38
21,0.0471,0.0471,0.08,38,40,38
23,0.0471,0.0471,0.08,38,40,38
25,0.0471,0.0471,0.18,38,40,38
27,0.0471,0.0618,0.05,38,40,38
29,0.0471,0.0471,0.11,38,40,38
31,0.0471,0.0471,0.11,38,40,38
33,0.0471,0.0471,0.0,38,40,38
35,0.0471,0.0471,0.16,37,39,37
37,0.0824,0.0824,0.17,36,39,36
39,0.0824,0.0824,0.17,36,39,36
41,0.0847,0.0847,0.25,36,39,36
43,0.0847,0.0847,0.19,36,39,36
45,0.0824,0.0824,0.09,35,38,35
47,0.0824,0.0824,0.09,35,38,35
49,0.0824,0.0824,0.11,35,38,35
51,0.0824,0.0824,0.17,35,38,35
53,0.0824,0.0971,0.26,35,38,35
55,0.0824,0.0971,0.09,35,38,35
57,0.0824,0.0824,0.14,35,38,35
59,0.0824,0.0971,0.23,35,38,35
61,0.0824,0.0824,0.14,35,38,35
63,0.1176,0.1324,0.15,34,38,34
65,0.1553,0.1553,0.18,33,38,33
67,0.1671,0.1671,0.12,32,38,32
69,0.1671,0.1818,0.22,32,38,32
71,0.1671,0.1818,0.03,32,38,32
73,0.1671,0.1671,0.25,32,38,32
75,0.2024,0.2171,0.16,31,38,31
77,0.1671,0.1671,0.07,30,37,31
79,0.1647,0.1794,0.21,29,36,30
81,0.1647,0.1647,0.07,29,36,30
83,0.1647,0.1794,0.21,29,36,30
85,0.1647,0.1647,0.17,29,36,30
87,0.1647,0.1647,0.03,29,36,30
89,0.1647,0.1647,0.1,29,36,30
91,0.2259,0.2259,0.18,28,36,29
93,0.2259,0.2406,0.18,28,36,29
95,0.1294,0.1441,0.22,27,35,29
97,0.1647,0.1794,0.15,26,35,28
99,0.1647,0.1794,0.15,26,35,28
101,0.1647,0.1794,0.35,26,35,28
103,0.1647,0.1794,0.19,26,35,28
105,0.1647,0.1941,0.23,26,35,28
107,0.1647,0.1794,0.15,26,35,28
109,0.1647,0.1647,0.19,26,34,27
111,0.1647,0.1647,0.19,26,34,27
113,0.2259,0.2259,0.2,25,34,26
115,0.2259,0.2259,0.28,25,34,26
117,0.2259,0.2553,0.2,25,34,26
119,0.2259,0.2259,0.16,25,34,26
121,0.2141,0.2435,0.21,24,33,26
123,0.2118,0.2118,0.17,24,33,26
125,0.2118,0.2118,0.21,24,33,26
127,0.2259,0.2259,0.22,23,33,25
129,0.2259,0.2259,0.22,23,33,25
131,0.2259,0.2406,0.17,23,33,25
133,0.2259,0.2406,0.17,23,33,25
135,0.2282,0.2429,0.26,23,33,25
137,0.2282,0.2429,0.09,23,33,25
139,0.2635,0.2635,0.18,22,33,24
141,0.2753,0.3047,0.19,21,33,23
143,0.2776,0.2924,0.24,21,33,23
145,0.2776,0.2776,0.24,21,33,23
147,0.2894,0.3188,0.15,20,33,22
149,0.2894,0.3188,0.2,20,33,22
151,0.2871,0.2871,0.21,19,32,21
