move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.3202,7.9867,0.2,40,40,40
2,7.5432,7.9319,0.2,40,40,40
4,7.8378,7.292,0.17,40,40,40
6,7.1069,8.0559,0.28,39,39,39
8,7.3341,10.8293,0.05,39,39,39
10,7.3756,7.8485,0.13,38,38,38
12,7.1069,7.0398,0.22,37,38,37
14,6.6909,7.0995,0.22,36,37,37
16,7.0214,7.4799,0.14,36,37,37
18,7.0251,6.8368,0.17,36,37,37
20,7.778,7.5445,0.17,35,37,36
22,8.7976,8.5799,0.21,34,37,35
24,8.2361,9.4229,0.12,34,37,34
26,7.4441,7.9093,0.09,33,36,34
28,7.3466,8.1785,0.09,33,36,34
30,6.8809,7.0,0.09,32,35,34
32,6.6464,6.7488,0.22,32,35,34
34,6.6182,7.2054,0.09,32,35,34
36,6.8135,6.9257,0.1,31,34,34
38,7.1853,7.3988,0.19,31,34,33
40,6.9442,6.9388,0.13,31,34,33
42,7.0607,7.5447,0.26,31,34,33
44,6.9127,7.696,0.39,31,34,33
46,6.0225,5.9663,0.2,30,33,33
48,6.3055,6.2618,0.17,30,33,33
50,6.1521,6.1722,0.17,30,33,33
52,6.7432,6.769,0.2,30,33,33
54,7.1826,7.5571,0.1,29,33,32
56,7.9435,7.7683,0.21,29,33,31
58,7.9363,7.916,0.24,29,32,30
60,7.9285,7.8833,0.14,29,32,30
62,7.8139,8.1622,0.14,29,32,30
64,7.2442,7.537,0.29,28,31,30
66,7.4797,7.9835,0.21,28,31,30
68,7.4067,7.3838,0.14,28,31,30
70,7.0395,6.9099,0.0,28,30,30
72,7.1687,6.6415,0.21,28,29,30
74,6.1924,6.1073,0.18,28,28,30
76,6.8672,6.908,0.21,28,28,29
78,6.9755,6.8534,0.07,28,28,29
80,6.9714,6.9047,0.07,28,28,29
82,7.0182,6.5357,0.21,28,28,29
84,7.0295,36.692,0.22,27,27,28
86,6.7621,7.2281,0.27,26,26,28
88,7.5416,7.2107,0.23,26,26,28
90,7.9169,8.1139,0.36,25,26,27
92,8.8237,8.7299,0.08,25,26,27
94,8.9917,13.1356,0.12,24,26,26
96,9.0281,9.5292,0.12,24,26,26
98,9.0131,14.7551,0.04,24,26,26
100,7.0887,7.3334,0.3,23,25,26
102,7.6632,7.19,0.13,23,25,26
104,7.6108,7.1903,0.26,23,25,26
106,7.2908,7.5725,0.18,22,25,25
108,8.255,7.4921,0.36,22,25,25
110,7.5942,13.9716,0.27,22,25,25
112,7.7603,8.0784,0.23,22,25,25
114,8.3089,17.8302,0.24,21,25,24
116,7.6944,8.1937,0.24,21,25,24
118,7.8783,7.6913,0.1,21,25,24
120,8.035,7.8259,0.1,21,25,24
122,7.5532,7.989,0.19,21,25,24
124,7.8311,11.907,0.24,21,25,24
126,7.5804,8.3137,0.24,21,25,24
128,6.9192,7.0835,0.25,20,24,24
130,6.9046,7.2332,0.35,20,24,24
132,6.8616,7.0516,0.2,20,24,24
134,7.7947,7.8634,0.25,20,24,23
136,7.6247,7.9174,0.2,20,24,23
138,7.5687,7.878,0.15,20,24,23
140,7.5357,7.7625,0.3,20,24,23
142,6.7411,6.8893,0.16,19,23,23
144,6.8059,6.5111,0.22,18,22,23
146,6.4386,6.4925,0.06,18,22,23
148,6.3941,6.5111,0.28,18,22,23
150,5.9176,5.7225,0.17,18,21,23
152,6.4774,6.1404,0.11,18,20,22
154,6.1404,6.2221,0.17,18,20,22
156,6.5271,6.0588,0.17,18,20,22
158,6.4985,9.7529,0.11,18,20,22
160,6.2469,5.9875,0.11,18,20,22
162,6.2154,6.0588,0.28,18,20,22
164,5.7774,5.6603,0.0,18,20,22
166,4.6956,5.0853,0.17,18,19,22
168,5.5663,5.4738,0.61,18,19,22
170,5.2539,5.341,0.44,18,19,22
172,5.4444,4.8207,0.28,18,19,22
174,5.4941,5.2901,0.06,18,19,22
176,5.6073,5.0394,0.11,18,19,22
178,6.0378,5.899,0.28,18,19,22
180,6.377,5.3813,0.06,18,19,22
182,5.9266,5.847,0.17,18,19,22
184,5.8425,6.1717,0.24,17,19,21
186,5.8488,5.9417,0.12,17,19,21
188,6.0843,6.4285,0.24,17,19,21
190,5.675,5.95,0.06,17,19,21
192,5.9696,6.1459,0.35,17,19,21
194,5.8296,5.39,0.35,17,19,21
196,5.8135,6.0552,0.0,17,19,21
198,4.7125,8.8569,0.31,16,18,21
200,5.1229,5.6638,0.31,16,18,21
202,4.7238,4.7479,0.2,15,17,21
204,4.515,4.945,0.27,15,17,21
206,5.6743,5.0329,0.4,15,17,21
208,5.2385,11.7229,0.2,15,17,21
210,5.6339,5.4288,0.07,15,17,21
212,5.7486,5.3393,0.21,14,16,21
214,5.2742,4.928,0.43,14,16,21
216,5.5218,5.1171,0.43,14,16,21
218,5.075,5.6307,0.07,14,16,20
220,5.5581,29.665,0.36,14,16,20
222,5.745,5.6992,0.31,13,15,20
224,6.321,7.115,0.46,13,15,20
226,6.9361,6.5151,0.08,13,15,20
228,7.235,8.0696,0.38,13,15,20
230,8.2897,12.2654,0.15,13,15,19
232,7.8422,13.3385,0.5,12,15,18
234,9.8882,7.7706,0.45,11,14,17
236,9.012,8.2467,0.45,11,14,17
238,8.5224,8.8455,0.45,11,14,17
240,9.3389,16.1045,0.27,11,14,16
242,10.1949,12.6986,0.27,11,14,16
244,10.3034,10.2069,0.45,11,14,16
246,9.5231,12.6005,0.36,11,14,16
248,9.6999,10.4823,0.18,11,14,16
250,10.3198,19.1482,0.18,11,14,16
252,9.6319,30.6777,0.09,11,14,16
254,10.5906,13.6254,0.27,11,14,16
256,10.6506,11.3602,0.09,11,14,16
258,9.7122,8.5391,0.2,10,13,16
260,9.3772,18.2364,0.2,10,13,16
262,9.5872,21.1782,0.2,10,13,16
264,10.2472,9.1418,0.4,10,13,16
266,10.8855,9.3227,0.2,10,13,16
268,7.9455,8.2455,0.4,10,12,16
270,9.4332,9.0686,0.3,10,12,16
272,8.8827,9.1505,0.3,10,12,16
274,8.4414,9.4741,0.4,10,12,16
276,9.3105,9.2595,0.2,10,12,16
278,7.9777,11.2595,0.3,10,12,16
280,8.8059,8.8877,0.4,10,12,16
282,7.1818,7.0727,0.4,10,11,16
284,7.0777,7.1991,0.3,10,11,16
286,7.2191,7.045,0.3,10,11,16
288,7.3202,7.2786,0.6,10,11,16
290,7.5245,11.4772,0.1,10,11,16
292,7.5659,7.5092,0.3,10,11,16
294,8.945,15.4883,0.3,10,11,15
296,9.3333,9.0,0.2,10,10,14
298,9.2667,9.1333,0.2,10,10,14
300,9.2,9.3333,0.3,10,10,14
302,9.3333,9.3333,0.1,10,10,14
304,9.3333,9.3333,0.1,10,10,14
306,9.3333,9.3333,0.4,10,10,14
308,9.3433,9.2667,0.7,10,10,14
310,9.3833,9.3333,0.5,10,10,14
312,9.4167,9.3167,0.3,10,10,14
314,9.45,9.4833,0.4,10,10,14
316,9.5,9.5,0.56,9,10,13
318,9.5,9.5,0.22,9,10,13
320,9.5,9.505,0.33,9,10,13
322,9.5,9.4444,0.44,9,10,13
324,9.5,9.5,0.44,9,10,13
326,9.4444,9.5,0.44,9,10,13
328,9.505,9.3444,0.22,9,10,13
330,9.3333,9.4167,0.44,9,10,13
332,9.4444,9.4222,0.33,9,10,13
334,9.5,9.51,0.67,9,10,13
336,9.4494,9.515,0.56,9,10,13
338,9.515,9.4494,0.22,9,10,13
340,9.6828,9.4494,0.33,9,10,13
342,10.0056,9.7222,0.33,9,10,13
344,9.5267,10.0828,0.44,9,10,13
346,10.1778,10.1778,0.75,8,10,12
348,10.0889,10.0333,0.75,8,10,12
350,10.0889,9.9889,0.75,8,10,12
352,10.0939,10.0889,0.75,8,10,12
354,9.6944,10.0,0.62,8,10,12
356,9.7444,9.8056,0.5,8,10,12
358,9.9444,9.6167,0.5,8,10,12
360,9.8944,9.95,0.75,8,10,12
362,9.8606,9.7556,0.5,8,10,12
364,9.0611,9.1106,0.57,7,9,12
366,8.6656,8.4939,0.57,7,8,12
368,8.6778,14.9778,0.71,7,8,11
370,8.6333,8.505,0.57,7,8,11
372,8.7222,8.6828,0.71,7,8,11
374,8.6206,8.6044,0.71,7,8,11
376,8.6333,8.655,0.71,7,8,11
378,8.4328,3.6133,0.57,7,8,11
380,3.4594,24.155,0.71,7,8,11
382,8.3028,30.4828,0.71,7,8,11
384,3.4317,40.0,0.43,7,8,11
386,8.4211,21.0917,0.5,6,8,10
388,8.4744,8.4361,1.0,6,8,10
390,3.5583,3.4533,0.5,6,8,10
392,-1.2578,3.3867,0.5,6,8,10
394,8.3922,11.5817,0.33,6,8,10
396,-6.2839,3.5333,0.5,6,8,10
398,-1.5339,3.2761,0.5,6,7,10
400,3.2883,30.4483,0.5,6,7,10
402,3.2717,8.11,0.67,6,7,10
404,3.2883,3.2667,0.67,6,7,10
406,-6.3456,3.2978,0.33,6,7,10
408,8.0656,8.0439,0.5,6,7,9
410,-1.5456,-1.5456,1.0,6,7,9
412,3.265,8.0606,1.0,6,7,9
414,8.0656,3.255,1.0,6,7,9
416,3.255,8.0689,0.67,6,7,9
418,3.255,3.2383,1.0,6,7,9
420,8.0606,8.0439,1.0,6,7,9
422,8.0606,3.255,1.0,6,7,9
424,8.0606,8.0556,1.0,6,7,9
426,-6.3411,3.26,1.0,6,7,9
428,8.0106,3.28,0.67,6,7,9
430,8.0106,8.0322,1.0,6,7,9
432,3.1667,3.2267,0.67,6,7,9
434,7.9606,3.1483,1.0,6,7,9
436,7.9089,7.8939,1.0,5,7,8
438,-6.4728,-6.4628,1.0,5,7,8
440,7.8989,11.1756,0.6,5,7,8
442,-6.4728,36.7939,0.6,5,7,8
444,-16.0556,-1.6839,1.0,5,7,8
446,-6.4778,8.0,0.6,5,7,8
448,-3.2567,-1.6839,1.0,5,7,8
450,-8.0556,-11.2061,0.6,5,7,8
452,4.7433,-9.6283,1.0,5,7,8
454,-8.0506,4.7939,1.0,5,7,8
456,20.7889,22.3767,0.6,5,7,8
458,16.0,0.0,1.0,5,7,8
460,24.0,32.0,1.0,5,7,8
