move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,6.8407,6.9071,0.15,40,40,40
2,7.5608,7.4457,0.1,40,40,40
4,7.6309,8.1203,0.18,39,40,39
6,7.5547,8.4582,0.15,39,40,39
8,7.1804,6.9441,0.16,38,39,39
10,6.4706,7.3288,0.14,37,38,38
12,6.4458,7.0049,0.19,37,38,38
14,6.9761,7.5357,0.22,37,38,38
16,6.8179,8.0261,0.11,37,38,38
18,5.6958,6.909,0.14,37,38,38
20,6.7687,7.8158,0.08,37,38,38
22,7.3704,8.2532,0.17,36,38,37
24,7.411,8.0315,0.11,36,38,37
26,8.2834,15.1542,0.08,36,38,37
28,7.891,12.3513,0.2,35,38,36
30,7.4824,7.8423,0.09,34,37,36
32,8.0236,7.877,0.12,33,36,36
34,7.0069,7.8065,0.18,33,36,36
36,7.7997,7.8918,0.09,33,36,35
38,8.2726,7.9339,0.09,33,36,35
40,8.2693,8.0329,0.09,32,35,35
42,7.6776,7.3868,0.16,32,35,35
44,7.745,7.8633,0.12,32,35,35
46,8.0402,8.4916,0.12,32,35,35
48,8.1375,7.9171,0.28,32,35,35
50,8.2423,9.4398,0.09,32,35,35
52,9.0449,8.5848,0.25,32,35,35
54,8.8893,8.053,0.26,31,35,34
56,8.1658,9.6779,0.19,31,35,34
58,10.2387,8.9933,0.16,31,35,34
60,8.8882,8.6966,0.32,31,35,34
62,8.4991,9.3688,0.1,31,35,34
64,8.1201,7.8319,0.17,30,34,34
66,7.6913,8.151,0.2,30,34,34
68,7.891,8.4916,0.2,30,34,34
70,7.4746,8.6024,0.27,30,34,34
72,8.6174,12.3612,0.1,30,34,34
74,9.7713,16.9012,0.24,29,34,33
76,8.109,8.9191,0.24,29,33,33
78,9.0091,9.4539,0.14,28,33,32
80,7.044,7.2912,0.22,27,32,31
82,7.0082,7.5805,0.26,27,32,31
84,7.2775,11.0465,0.15,27,32,31
86,6.8974,6.9441,0.15,26,31,31
88,7.0137,7.1701,0.08,26,31,31
90,6.9034,7.0778,0.23,26,31,31
92,7.505,8.2508,0.27,26,31,31
94,7.7333,7.8845,0.12,26,31,30
96,8.0641,8.2916,0.15,26,31,30
98,7.6671,16.0303,0.19,26,31,30
100,7.834,8.561,0.23,26,31,30
102,6.863,6.808,0.2,25,30,30
104,6.8568,6.8992,0.16,25,30,30
106,6.9307,7.0081,0.12,25,30,30
108,6.9692,7.036,0.4,25,29,29
110,6.9628,6.9831,0.2,25,29,29
112,7.0603,7.1115,0.38,24,28,28
114,6.8927,7.0657,0.21,24,28,28
116,6.8104,10.3228,0.21,24,28,28
118,7.0621,20.3049,0.17,24,28,28
120,6.9112,26.9584,0.25,24,28,28
122,6.7406,7.2473,0.29,24,28,28
124,6.8087,7.377,0.21,24,28,28
126,6.9439,7.0371,0.33,24,28,28
128,8.0557,24.1091,0.21,24,28,28
130,12.0575,27.0016,0.21,24,28,28
132,8.2654,9.2697,0.17,23,28,27
