move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.3425,7.8246,0.1,40,40,40
2,7.214,8.5915,0.17,40,40,40
4,8.0615,9.5626,0.18,39,40,39
6,8.3943,9.4661,0.13,38,40,38
8,9.0972,9.5602,0.16,37,40,37
10,8.2601,8.6878,0.14,36,39,37
12,7.2418,7.5457,0.17,35,38,37
14,8.6953,8.6319,0.14,35,38,37
16,8.1755,9.4507,0.11,35,38,36
18,7.7953,7.4163,0.06,34,37,36
20,7.1456,8.1253,0.12,34,37,36
22,7.5698,7.9219,0.18,33,36,35
24,7.5395,7.6833,0.06,33,36,35
26,7.9033,7.5248,0.15,33,36,35
28,6.7347,6.8514,0.19,32,35,35
30,6.933,6.62,0.28,32,35,35
32,8.0646,7.678,0.22,32,35,35
34,8.07,8.1466,0.34,32,35,34
36,8.2919,8.7314,0.28,32,35,34
38,8.4956,8.7404,0.16,32,35,34
40,8.3186,18.3088,0.16,32,35,34
42,8.7926,8.6053,0.22,32,35,34
44,9.2328,8.7954,0.31,32,35,34
46,8.375,10.458,0.19,32,35,34
48,9.3402,9.2993,0.13,31,35,33
50,10.2469,10.1471,0.2,30,35,32
52,8.3469,8.2786,0.28,29,34,32
54,8.0592,8.0361,0.17,29,34,32
56,8.5246,8.401,0.17,29,34,32
58,7.3617,8.2007,0.1,29,34,32
60,8.9378,9.6086,0.07,29,34,31
62,8.4873,7.9843,0.18,28,33,31
64,8.5849,7.8636,0.25,28,33,31
66,8.6087,8.302,0.21,28,33,31
68,8.4953,8.3952,0.15,27,32,31
70,9.6192,8.4816,0.11,27,32,30
72,9.8302,9.2641,0.22,27,32,30
74,10.0424,9.8179,0.15,27,32,30
76,13.155,10.4812,0.26,27,31,30
78,9.6542,8.741,0.26,27,31,30
80,7.8339,8.0847,0.31,26,30,30
82,8.2798,8.5789,0.27,26,30,29
84,8.4145,8.7055,0.27,26,30,29
86,8.4872,8.4821,0.19,26,30,29
88,9.8075,9.7608,0.12,26,30,28
90,9.7752,9.7464,0.15,26,30,28
92,9.8704,9.8171,0.27,26,30,28
94,9.6329,9.5185,0.27,26,30,28
96,9.4994,9.6177,0.19,26,30,28
98,8.7945,8.6756,0.12,25,29,28
100,8.604,11.9588,0.24,25,29,28
102,8.4574,8.1667,0.12,25,28,28
104,7.7207,8.667,0.24,25,27,28
106,7.0343,7.1619,0.08,25,26,28
108,7.1401,7.1156,0.2,25,26,28
110,7.1566,1.7658,0.2,25,26,28
112,6.593,6.4377,0.28,25,25,28
114,6.7981,7.5842,0.28,25,25,27
116,6.9004,7.3785,0.32,25,24,27
118,7.1894,6.5955,0.12,25,24,27
120,6.9489,6.7027,0.12,25,24,27
122,6.2013,6.2397,0.32,25,23,27
124,6.9661,7.2491,0.33,24,23,26
126,6.3289,10.0191,0.22,23,23,25
128,6.8198,7.5364,0.04,23,23,25
130,7.0764,27.2438,0.26,23,23,25
132,6.1621,6.9303,0.13,23,23,25
134,6.2873,23.2452,0.39,23,23,25
136,6.7097,7.2955,0.22,23,23,25
138,5.0411,5.3111,0.27,22,22,25
140,5.0792,12.0949,0.32,22,22,25
142,5.0892,8.5034,0.23,22,22,25
144,5.1025,4.8953,0.23,22,21,25
146,5.1018,4.7418,0.23,22,21,25
148,4.7358,4.6805,0.38,21,20,25
150,4.2295,4.6772,0.33,21,19,25
152,3.9529,4.4613,0.35,20,18,24
154,3.8932,3.8454,0.2,20,18,24
156,4.075,4.619,0.15,20,18,24
158,4.0898,4.1556,0.15,20,18,24
160,3.5884,4.4482,0.05,20,18,24
162,4.2264,4.2475,0.2,20,18,24
164,4.5287,3.9004,0.25,20,18,24
166,4.1747,11.3593,0.25,20,18,24
168,4.4515,4.5964,0.05,20,18,24
170,3.8803,7.6156,0.2,20,18,24
172,3.9516,4.3268,0.1,20,18,24
174,3.7556,3.845,0.37,19,17,24
176,3.9795,4.0754,0.47,19,17,24
178,3.5957,3.5472,0.11,19,17,24
180,4.2701,7.5866,0.16,19,17,24
182,3.7963,3.2303,0.26,19,16,24
184,3.729,3.4196,0.21,19,16,24
186,2.7137,2.884,0.11,19,15,24
188,2.782,2.7897,0.21,19,15,24
190,2.3374,2.6273,0.37,19,14,24
192,3.2112,2.718,0.21,19,14,24
194,2.8689,13.5817,0.32,19,14,24
196,2.9356,2.6481,0.26,19,14,24
198,2.7583,6.9564,0.32,19,14,24
200,2.4695,2.4322,0.26,19,14,24
202,3.1915,3.055,0.11,19,14,24
204,2.8666,10.3352,0.37,19,14,24
206,2.6223,4.0354,0.26,19,14,24
208,3.369,4.5797,0.16,19,14,24
210,2.6282,8.0817,0.11,19,14,24
212,2.2938,3.5426,0.21,19,14,24
214,2.3256,3.2324,0.16,19,14,24
216,2.6294,3.4977,0.26,19,14,24
218,2.4848,4.6367,0.26,19,14,24
220,1.6463,2.1853,0.47,19,13,24
222,2.8756,3.3099,0.05,19,13,24
224,2.1156,9.9633,0.32,19,13,24
226,2.3779,7.1647,0.26,19,13,24
228,2.1678,2.5212,0.11,19,13,24
230,1.5415,1.2012,0.37,19,13,24
232,1.7196,17.2181,0.11,19,13,24
234,2.2745,5.6097,0.21,19,13,24
236,1.2215,11.839,0.11,19,13,24
238,1.251,1.0802,0.26,19,13,24
240,1.6313,2.0882,0.21,19,13,24
242,1.4793,2.8937,0.05,19,13,24
244,0.7796,1.4729,0.28,18,12,24
246,1.4192,2.4077,0.39,18,12,24
248,1.1138,1.7226,0.28,18,12,24
250,1.9326,1.5268,0.17,18,12,24
252,1.137,13.3092,0.28,18,12,24
254,1.6281,1.9064,0.18,17,12,23
256,1.0487,1.7426,0.12,16,11,23
258,1.6278,1.7279,0.06,16,11,23
260,2.16,1.6619,0.38,16,11,23
262,2.2537,2.0446,0.25,16,11,23
264,3.248,6.2419,0.25,16,11,23
266,2.5738,1.7397,0.25,16,11,23
268,2.4565,2.6466,0.25,16,11,23
270,2.4289,6.1404,0.12,16,11,23
272,2.3672,3.1976,0.19,16,11,23
274,3.6341,2.8769,0.19,16,11,23
276,3.0085,15.5738,0.25,16,11,23
278,3.1738,3.5422,0.31,16,11,23
280,3.5915,9.3101,0.25,16,11,23
282,3.9792,26.2593,0.31,16,11,23
284,3.6332,3.1131,0.12,16,11,23
286,3.4858,6.1177,0.31,16,11,23
288,4.5667,20.5227,0.56,16,11,23
290,3.6568,12.5629,0.33,15,11,22
292,4.1976,36.2567,0.47,15,11,22
294,4.54,3.1121,0.36,14,10,22
296,1.161,2.6322,0.29,14,10,22
298,9.6277,10.3532,0.07,14,10,22
300,8.1526,2.5421,0.07,14,10,22
302,4.1809,2.7961,0.21,14,10,22
304,1.397,3.5612,0.36,14,10,22
306,6.3429,3.3507,0.29,14,10,22
308,3.3275,3.6358,0.36,14,10,21
310,2.9812,3.7158,0.29,14,10,21
312,3.0863,3.9658,0.57,14,10,21
314,2.8292,7.7548,0.21,14,10,21
316,2.7526,4.2691,0.36,14,10,21
318,4.3475,5.7766,0.29,14,10,21
320,7.5127,4.6072,0.21,14,10,21
322,3.912,4.7511,0.14,14,10,21
324,7.3325,4.1289,0.5,14,10,21
326,3.7942,5.4512,0.29,14,10,21
328,4.1811,3.8561,0.29,14,10,21
330,3.4072,7.038,0.14,14,10,21
332,2.565,3.5943,0.29,14,10,21
334,1.7757,4.2663,0.43,14,10,21
336,2.7782,15.5295,0.14,14,10,21
338,-0.9559,4.5056,0.29,14,10,21
340,2.5401,6.9213,0.36,14,10,21
342,3.215,11.2686,0.36,14,10,21
344,-0.7716,3.9006,0.14,14,10,21
346,2.679,8.8905,0.14,14,10,21
348,2.6152,22.4877,0.36,14,10,21
350,3.9635,11.8509,0.29,14,10,21
352,5.3298,15.527,0.14,14,10,21
354,4.5401,5.7386,0.29,14,10,21
356,4.5522,11.99,0.43,14,10,21
358,4.3019,20.166,0.07,14,10,21
360,4.4317,4.5227,0.43,14,10,21
362,4.6585,8.235,0.29,14,10,21
364,4.8241,11.8362,0.0,14,10,21
366,4.4875,19.0185,0.21,14,10,21
368,4.1062,3.8481,0.29,14,10,21
370,4.5509,25.16,0.21,14,10,21
372,7.622,-0.2933,0.21,14,10,21
374,-0.6208,-4.2998,0.07,14,10,21
376,3.9335,12.0417,0.21,14,10,21
378,7.7582,25.9552,0.29,14,10,21
380,11.1547,15.2173,0.29,14,10,21
382,10.6916,4.0464,0.29,14,10,21
384,6.5504,22.0449,0.36,14,10,21
386,2.1649,36.0433,0.29,14,10,21
388,-10.5996,22.06,0.14,14,10,21
390,-1.757,14.1076,0.36,14,10,21
392,13.0752,7.5873,0.43,14,10,21
394,3.42,3.8469,0.36,14,10,21
396,4.7012,18.57,0.57,14,10,21
398,11.5052,15.039,0.07,14,10,21
400,3.7654,5.7792,0.36,14,10,21
402,4.8897,15.5432,0.07,14,10,21
404,7.5348,3.6368,0.43,14,10,21
406,4.0035,29.4513,0.21,14,10,21
408,4.716,4.4197,0.43,14,10,21
410,2.6491,29.4236,0.29,14,10,21
412,-10.1958,6.154,0.36,14,10,21
414,-5.8807,22.7508,0.36,14,10,21
416,-13.2096,18.9095,0.21,14,10,21
418,4.0248,11.4779,0.36,14,10,21
420,-0.6598,7.9348,0.21,14,10,21
422,4.5233,5.3199,0.36,14,10,21
424,0.159,3.1627,0.36,14,10,21
426,4.7457,20.1454,0.36,14,10,21
428,4.3668,33.3458,0.36,14,10,21
