move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,7.8507,7.8134,0.05,40,40,40
1,6.8297,7.1036,0.28,40,40,40
2,8.5202,8.3936,0.07,40,40,40
0,7.2839,7.5828,0.33,40,40,40
1,7.1575,36.6882,0.2,40,40,40
0,7.2766,7.3183,0.05,40,40,40
1,7.4762,7.6701,0.1,40,40,40
2,7.3683,7.0296,0.2,40,40,40
3,7.1757,7.3125,0.1,40,40,40
4,7.7413,7.5759,0.12,40,40,40
5,6.5637,36.6781,0.17,40,40,40
6,7.6634,7.4283,0.05,39,39,39
7,7.1862,7.5156,0.15,39,39,39
8,7.6886,7.8889,0.16,38,39,38
9,6.9022,7.4732,0.13,38,38,39
10,7.7993,7.8135,0.26,38,39,38
11,7.2583,7.6738,0.16,38,38,39
12,7.8251,7.8049,0.11,37,38,38
13,7.0393,6.8563,0.16,37,38,38
14,7.9402,8.1963,0.05,37,38,38
15,6.9303,13.3431,0.16,37,38,38
16,7.8833,7.5296,0.11,37,38,38
17,7.2741,6.475,0.14,37,38,38
18,8.07,7.9344,0.19,37,38,38
19,6.9066,6.682,0.14,37,38,38
20,7.6592,8.8824,0.05,37,38,38
21,7.9612,8.4733,0.14,37,38,38
22,7.8586,8.0016,0.11,37,38,38
23,7.023,6.9133,0.16,37,38,38
24,7.7136,8.0271,0.22,37,38,38
25,7.3154,7.6337,0.11,37,38,38
26,8.2001,8.8398,0.19,37,38,38
27,7.0785,6.451,0.19,36,37,38
28,8.4558,9.3693,0.03,37,38,37
29,6.3262,6.4663,0.14,36,37,38
30,9.5092,8.6952,0.14,37,38,37
31,6.8818,6.6286,0.08,36,37,38
32,8.5255,8.4916,0.14,37,38,37
33,6.7899,7.2734,0.17,36,37,38
34,8.549,11.0728,0.08,37,38,37
35,6.6967,6.2434,0.14,36,37,38
36,8.8806,9.7802,0.14,37,38,37
37,6.3036,6.4526,0.06,36,37,38
38,10.9592,10.4664,0.14,36,38,36
39,6.7275,6.656,0.26,35,36,38
40,9.5634,10.2777,0.08,36,38,36
41,7.0495,6.9357,0.17,35,36,38
42,10.444,10.4076,0.06,36,38,36
43,7.0526,6.728,0.2,35,36,38
44,11.3389,11.8084,0.08,36,38,36
45,6.5626,6.8401,0.23,35,36,38
46,11.979,10.9059,0.06,36,38,36
47,6.5266,6.8445,0.2,35,36,38
48,10.4425,12.3641,0.28,36,38,36
49,6.659,6.3457,0.14,35,35,38
50,9.5892,11.4583,0.14,35,38,35
51,6.6383,6.4756,0.14,35,35,38
52,10.25,11.8328,0.2,35,38,35
53,7.1352,7.1685,0.06,34,35,37
54,9.9998,10.9481,0.09,34,37,35
55,7.6232,10.5713,0.15,34,35,36
56,7.7658,9.2533,0.15,33,36,35
57,8.1058,7.5323,0.18,34,35,36
58,7.7442,8.8872,0.24,33,36,35
59,7.8189,7.94,0.15,34,35,36
60,8.9814,9.4594,0.09,33,36,35
61,8.0448,7.6719,0.06,34,35,36
62,9.2397,9.7921,0.09,33,36,35
63,7.2085,9.9581,0.12,34,35,36
64,8.7497,9.8432,0.12,33,36,35
65,7.4976,7.1753,0.18,34,35,36
66,8.9301,9.7899,0.15,33,36,35
67,8.1761,7.8356,0.18,34,35,36
68,8.3178,8.7851,0.18,33,36,35
69,7.7791,7.0518,0.21,34,35,36
70,7.6147,9.4215,0.18,33,36,35
71,7.974,7.131,0.18,34,35,36
72,8.7597,9.7278,0.06,33,36,35
73,7.4463,7.6429,0.12,34,35,36
74,9.0143,10.3425,0.09,33,36,35
75,7.0048,7.5925,0.21,33,34,36
76,9.6857,10.4582,0.19,32,36,34
77,6.6754,7.3894,0.09,33,33,36
78,11.039,11.3922,0.16,31,36,33
79,6.6214,6.3545,0.33,33,33,36
80,11.1072,11.0806,0.13,31,36,33
81,7.5026,7.064,0.09,33,33,36
82,11.7415,11.0126,0.06,31,36,33
83,10.4751,6.4471,0.12,33,33,36
84,11.447,11.3639,0.03,31,36,33
85,6.1624,5.6205,0.09,33,32,36
86,12.8839,11.9176,0.07,30,36,32
87,7.13,6.4917,0.12,33,32,36
88,12.5331,34.2952,0.2,30,36,32
89,6.5617,6.8171,0.09,33,31,36
90,11.7497,20.4417,0.1,29,36,31
91,6.0515,8.8768,0.21,33,30,36
92,11.7849,13.2397,0.14,28,36,30
93,7.2654,6.8376,0.21,33,30,35
94,11.4575,12.6876,0.15,27,35,30
95,7.4053,7.107,0.27,33,30,35
96,12.1792,11.6492,0.04,27,35,30
97,7.7839,7.8272,0.19,32,30,34
98,11.663,11.6545,0.23,26,34,30
99,6.9702,6.4028,0.12,32,29,34
100,12.081,12.2813,0.16,25,34,29
101,7.02,9.7675,0.19,32,29,34
102,11.7017,12.0577,0.16,25,34,29
103,7.169,7.1352,0.12,32,28,34
104,11.7465,15.7268,0.04,24,34,28
105,7.0437,6.4747,0.16,32,28,33
106,10.9867,14.1877,0.09,23,33,28
107,6.8556,7.2373,0.34,32,28,33
108,11.1279,11.5123,0.22,23,33,28
109,7.3698,7.2124,0.16,32,28,33
110,11.2446,10.5389,0.09,23,33,28
111,7.7531,10.1737,0.16,32,28,33
112,11.4451,14.1026,0.13,23,33,28
113,7.2205,7.1831,0.12,32,28,33
114,11.0216,11.3237,0.09,23,33,28
115,6.9187,7.2795,0.16,32,28,33
116,11.0317,11.038,0.13,23,33,28
117,7.239,6.8927,0.19,32,28,33
118,13.6225,10.6215,0.13,23,33,28
119,7.3284,10.3256,0.31,32,28,33
120,11.3318,11.2665,0.13,23,33,28
121,7.7344,7.8382,0.16,32,28,33
122,10.8745,11.0842,0.17,23,33,28
123,8.1708,8.1048,0.19,32,28,33
124,11.0879,10.2764,0.09,23,33,28
125,7.7834,20.7914,0.09,32,28,33
126,11.2314,11.0542,0.09,23,33,28
