move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,6.9294,7.456,0.07,40,40,40
2,6.8861,8.0043,0.13,39,40,39
4,6.7491,7.5869,0.03,39,40,39
6,8.095,8.1141,0.15,39,40,39
8,8.0614,7.9166,0.16,38,40,38
10,7.1273,7.1041,0.16,37,39,38
12,7.4135,6.8761,0.16,37,39,38
14,7.7658,6.8629,0.08,37,39,38
16,7.4978,7.6223,0.3,37,39,38
18,7.6492,7.534,0.16,37,39,38
20,7.2525,8.5191,0.22,36,39,37
22,6.5346,6.7724,0.17,35,38,37
24,6.8727,6.5158,0.17,35,38,37
26,6.7844,6.6876,0.26,35,38,37
28,6.5822,6.7663,0.11,35,38,37
30,6.8509,6.97,0.23,35,38,37
32,6.8612,6.8649,0.23,35,38,37
34,7.2882,7.1475,0.11,35,38,37
36,6.6579,7.2453,0.17,35,38,37
38,7.2252,10.3626,0.12,34,38,36
40,7.3794,9.3201,0.18,33,38,35
42,6.8044,6.7311,0.19,31,37,34
44,6.6549,6.7333,0.13,31,37,34
46,6.6428,6.5123,0.06,31,37,34
48,6.7894,6.7263,0.23,31,37,34
50,6.8524,6.7344,0.1,31,37,34
52,7.1981,6.5703,0.1,31,37,34
54,6.9157,7.1961,0.23,31,37,34
56,7.4308,6.769,0.19,31,37,34
58,7.4182,7.6424,0.19,31,37,34
60,7.599,8.1553,0.13,30,37,33
62,8.1118,7.54,0.24,29,36,32
64,7.9002,7.9199,0.14,29,36,32
66,7.9175,7.731,0.1,29,36,32
68,7.8888,7.6757,0.14,29,36,32
70,7.9514,7.5251,0.14,29,36,32
72,7.7515,7.9756,0.21,29,36,32
74,8.1705,8.2549,0.34,29,36,32
76,8.4143,8.1591,0.29,28,36,31
78,8.3228,8.3301,0.18,28,36,31
80,8.4797,7.9947,0.14,28,36,31
82,8.2093,8.5462,0.18,28,36,31
84,8.2291,8.4202,0.29,28,36,31
86,8.3974,8.5035,0.18,28,36,31
88,8.3314,8.6052,0.11,28,36,31
90,8.5273,8.5767,0.29,28,36,31
92,8.3422,8.3815,0.29,28,36,31
94,8.4668,8.5708,0.21,28,36,31
96,8.3927,8.7727,0.15,27,36,30
98,8.381,8.438,0.22,27,36,30
100,8.5053,8.6008,0.19,27,36,30
102,8.48,8.9894,0.19,27,36,30
104,8.202,8.5445,0.26,27,36,30
106,8.2251,8.3983,0.19,26,35,30
108,8.8147,8.7931,0.15,26,35,30
