move,eval_real,eval_generated,unknow_acc,unk_pieces,our_pieces,ennemy_pieces
0,-0.1361,-0.1378,0.05,40,40,40
2,-0.1148,-0.1366,0.1,40,40,40
4,-0.1176,-0.0884,0.15,40,40,40
6,-0.1017,-0.1127,0.13,39,40,39
8,-0.1201,-0.179,0.15,39,40,39
10,-0.1328,-0.1262,0.19,37,39,38
12,-0.1319,0.6062,0.08,37,39,38
14,-0.1318,-0.034,0.05,37,39,38
16,-0.1491,-0.1334,0.08,36,38,38
18,-0.1971,-0.1979,0.12,34,37,37
20,-0.1999,-0.1812,0.18,34,37,37
22,-0.1959,0.5612,0.12,34,36,37
24,-0.1992,-0.1945,0.18,34,36,37
26,-0.1778,-0.2095,0.15,34,36,37
28,-0.1967,-0.1989,0.18,34,36,37
30,-0.1888,-0.2044,0.09,33,36,36
32,-0.1756,4.2597,0.15,33,36,36
34,-0.1829,-0.187,0.09,32,35,35
36,-0.1814,1.2858,0.16,32,34,35
38,-0.1535,-0.1406,0.03,31,34,34
40,-0.1727,-0.1195,0.19,31,34,34
42,-0.2173,-0.1964,0.14,29,32,33
44,-0.1619,-0.1646,0.14,29,32,32
46,-0.1542,-0.1645,0.03,29,32,32
48,-0.1443,-0.1651,0.14,29,32,32
50,-0.1566,-0.1611,0.1,29,32,32
52,-0.1542,-0.1362,0.1,29,32,32
54,-0.1396,-0.1353,0.18,28,32,31
56,-0.1392,-0.1484,0.04,28,32,31
58,-0.1382,-0.1598,0.18,28,32,31
60,-0.1479,-0.1693,0.14,28,32,31
62,-0.1897,-0.1961,0.14,28,31,31
64,-0.1932,-0.2003,0.14,28,31,31
66,-0.193,-0.1981,0.32,28,31,31
68,-0.1945,-0.2106,0.11,28,31,31
70,-0.1897,-0.1905,0.19,27,31,30
72,-0.2105,-0.2062,0.15,27,31,30
74,-0.2194,-0.1893,0.19,27,31,30
76,-0.202,-0.1972,0.15,27,31,30
78,-0.1874,-0.1761,0.07,27,31,30
80,-0.2633,-0.2301,0.11,27,30,30
82,-0.2645,-0.2397,0.07,27,30,30
84,-0.2312,-0.2644,0.04,27,30,30
86,-0.2374,-0.2592,0.07,27,29,30
88,-0.2723,-0.2719,0.07,27,28,30
90,-0.2532,-0.2373,0.0,26,28,29
92,-0.1884,-0.2109,0.15,26,28,29
94,-0.1912,-0.1776,0.04,26,28,28
96,-0.1688,0.5798,0.2,25,27,27
98,-0.1634,-0.1685,0.2,25,27,27
100,-0.1519,-0.1509,0.16,25,27,27
102,-0.1632,-0.1792,0.16,25,27,27
104,-0.157,-0.136,0.2,25,27,27
106,-0.1551,-0.1452,0.21,24,27,26
108,-0.1466,-0.1463,0.08,24,27,26
110,-0.1474,-0.1625,0.08,24,27,26
112,-0.1662,-0.1468,0.13,23,26,26
114,-0.1626,-0.1554,0.22,23,26,26
116,-0.1695,-0.1521,0.05,22,25,26
118,-0.1327,-0.1326,0.18,22,25,26
120,-0.1104,-0.1169,0.14,22,25,25
122,-0.0971,-0.0694,0.18,22,25,25
124,-0.0561,-0.0885,0.24,21,24,24
126,-0.0601,-0.049,0.24,21,24,24
128,-0.1056,0.6567,0.24,21,23,24
130,-0.0271,-0.0773,0.43,21,22,24
132,-0.0193,-0.0309,0.14,21,21,24
134,-0.0699,1.3864,0.14,21,20,23
136,-0.001,0.0291,0.25,20,20,22
138,-0.0153,-0.0185,0.3,20,20,22
140,0.0071,0.7435,0.2,20,20,21
142,-0.0825,0.6085,0.26,19,19,21
144,-0.0952,0.6435,0.32,19,19,21
146,-0.0571,0.6391,0.05,19,19,21
148,-0.0443,0.0949,0.16,19,19,21
150,0.0196,0.0007,0.11,18,19,20
152,-0.0119,1.3949,0.35,17,18,20
154,0.0444,0.0493,0.24,17,17,20
156,0.0474,4.2791,0.35,17,16,19
158,0.1072,0.1432,0.12,16,16,17
160,0.1995,0.1507,0.21,14,16,15
162,0.17,0.1564,0.43,14,16,15
164,0.17,0.1732,0.29,14,16,15
166,0.1944,1.5615,0.21,14,16,15
168,0.17,0.1571,0.21,14,16,15
170,0.2026,0.1479,0.5,14,16,15
172,0.1747,4.31,0.21,14,16,15
174,0.1264,0.1964,0.29,14,16,15
176,0.1179,1.5186,0.29,14,16,15
178,0.1114,0.0543,0.31,13,15,15
180,0.0621,0.7504,0.23,13,14,15
182,0.0593,0.0479,0.15,13,14,14
184,0.0743,0.0879,0.38,13,14,14
186,0.085,0.1212,0.23,13,14,14
188,0.0786,0.0364,0.23,13,14,14
190,0.0786,1.5152,0.31,13,14,14
192,0.0721,0.0636,0.23,13,14,14
194,0.0979,0.1119,0.38,13,14,14
196,0.0457,0.0443,0.31,13,14,14
198,0.005,1.4393,0.25,12,13,13
200,0.0371,0.0164,0.17,12,13,13
202,0.0143,0.7157,0.25,12,13,13
204,0.0143,-0.0,0.25,12,13,13
206,0.0351,0.7243,0.33,12,13,13
208,0.1,-0.0186,0.17,12,13,13
210,0.0783,5.0,0.33,12,13,13
212,0.0656,1.4143,0.25,12,13,13
214,0.0842,4.2886,0.25,12,13,13
216,0.0628,-0.0182,0.0,12,13,13
218,0.0818,0.0184,0.25,12,13,13
220,0.0659,1.4321,0.25,12,13,13
222,0.0944,0.0062,0.17,12,13,13
224,0.1033,3.577,0.25,12,13,13
226,0.1258,4.3119,0.27,11,13,12
228,0.0237,-0.0614,0.0,10,12,12
230,0.0361,-0.0643,0.3,10,12,12
232,0.0252,0.0129,0.3,10,12,12
234,0.0361,0.0361,0.44,9,12,11
236,0.0361,0.0361,0.44,9,12,11
238,0.0579,0.029,0.22,9,12,11
240,0.1543,0.0579,0.33,9,12,11
242,0.1833,0.0793,0.44,9,12,11
244,0.1429,3.6425,0.56,9,12,11
246,0.8588,1.5587,0.44,9,12,11
248,0.13,0.2455,0.44,9,12,11
250,0.153,0.8355,0.33,9,12,11
252,0.2374,0.1657,0.22,9,12,11
254,0.2916,0.1578,0.44,9,12,11
256,0.2576,0.138,0.33,9,12,11
258,0.2429,0.2589,0.33,9,12,11
260,-0.4877,0.1697,0.22,9,12,11
262,-1.2782,0.1617,0.22,9,12,11
264,-2.0502,2.262,0.38,8,11,11
266,0.201,0.2599,0.38,8,11,10
268,0.2021,0.1746,0.5,8,11,10
270,0.1732,0.2032,0.38,8,11,10
272,0.1457,0.1454,0.5,8,11,10
274,0.1735,0.8678,0.38,8,11,10
276,0.1442,0.1946,0.5,8,11,10
278,0.1973,0.8753,0.25,8,11,10
280,1.5445,0.1371,0.5,8,11,10
282,0.136,2.2218,0.25,8,11,10
284,0.1153,0.8138,0.38,8,11,10
286,0.9324,0.8423,0.38,8,11,10
288,0.9039,0.8468,0.38,8,11,10
290,0.0875,0.0879,0.29,7,10,10
292,0.0882,0.0879,0.43,7,10,10
294,0.0745,0.08,0.43,7,10,10
296,0.0761,0.0652,0.29,7,10,10
298,0.0704,0.0655,0.29,7,10,10
300,0.0607,0.0611,0.29,7,10,10
302,0.0566,0.0625,0.43,7,10,10
304,0.0611,0.7632,0.29,7,10,10
306,0.057,1.4695,0.29,7,10,9
308,0.0479,0.0491,0.57,7,10,9
310,0.0459,0.0429,0.71,7,10,9
312,0.0477,0.0473,0.71,7,10,9
314,0.0436,0.0482,0.43,7,10,9
316,0.0343,0.0455,0.29,7,10,9
318,0.0295,0.0411,0.29,7,10,9
320,0.025,0.025,0.33,6,10,8
322,0.025,0.025,0.67,6,10,8
324,0.025,0.0232,0.67,6,10,8
326,0.025,0.025,0.67,6,10,8
328,0.0232,0.7321,0.67,6,10,8
330,0.0214,0.7357,0.67,6,10,8
332,0.0214,0.7357,1.0,6,10,8
334,0.7339,2.1554,0.67,6,10,8
336,0.7286,2.1536,0.67,6,10,8
338,2.8625,3.5732,1.0,5,9,8
340,3.575,3.5754,1.0,5,9,8
342,5.0,5.0,0.6,5,9,7
